bhsa_node,mother_clause,mother_cl_atom,mother_clause_atom,mother_rela,mother_domain2,mother_verbtype,mother_type,mother_verb_ps,mother_verb_lex,mother_verbplain,mother_intertext,daught_clause,daught_cl_atom,daught_clause_atom,daught_rela,daught_domain2,daught_verbtype,daught_type,daught_verb_ps,daught_verb_lex,daught_verbplain,daught_intertext
35,וַיֹּ֥אמֶר אֱלֹהִ֖ים ,515678,וַיֹּ֥אמֶר אֱלֹהִ֖ים ,Main,N,wayq,WayX,p3,>MR[,יאמר,וַיֹּ֥אמֶר אֱלֹהִ֖ים ,,,,,,,,,,,
82,וַיֹּ֣אמֶר אֱלֹהִ֔ים ,515689,וַיֹּ֣אמֶר אֱלֹהִ֔ים ,Main,N,wayq,WayX,p3,>MR[,יאמר,וַיֹּ֣אמֶר אֱלֹהִ֔ים ,וִיהִ֣י מַבְדִּ֔יל בֵּ֥ין מַ֖יִם לָמָֽיִם׃ ,515691,וִיהִ֣י מַבְדִּ֔יל בֵּ֥ין מַ֖יִם לָמָֽיִם׃ ,Main,Q,jussF,WYq0,p3,HJH[,יהי,וִיהִ֣י מַבְדִּ֔יל בֵּ֥ין מַ֖יִם לָמָֽיִם׃ 
89,יְהִ֥י רָקִ֖יעַ בְּתֹ֣וךְ הַמָּ֑יִם ,515690,יְהִ֥י רָקִ֖יעַ בְּתֹ֣וךְ הַמָּ֑יִם ,Main,Q,jussF,ZYqX,p3,HJH[,יהי,יְהִ֥י רָקִ֖יעַ בְּתֹ֣וךְ הַמָּ֑יִם ,,,,,,,,,,,
182,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,515710,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,Main,N,wayq,WayX,p3,>MR[,יאמר,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,מַזְרִ֣יעַ זֶ֔רַע ,515712,מַזְרִ֣יעַ זֶ֔רַע ,SubMod,Q,ptcp,Ptcp,unknown,ZR<[,מזריע,מַזְרִ֣יעַ זֶ֔רַע 
239,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,515729,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,Main,N,wayq,WayX,p3,>MR[,יאמר,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,לְהַבְדִּ֕יל בֵּ֥ין הַיֹּ֖ום וּבֵ֣ין הַלָּ֑יְלָה ,515731,לְהַבְדִּ֕יל בֵּ֥ין הַיֹּ֖ום וּבֵ֣ין הַלָּ֑יְלָה ,SubAdv,Q,infc,InfC,unknown,BDL[,הבדיל,לְהַבְדִּ֕יל בֵּ֥ין הַיֹּ֖ום וּבֵ֣ין הַלָּ֑יְלָה 
434,פְּר֣וּ ,515759,פְּר֣וּ ,Main,Q,impv,ZIm0,p2,PRH[,פרו,פְּר֣וּ וּרְב֗וּ וּמִלְא֤וּ אֶת־הַמַּ֨יִם֙ בַּיַּמִּ֔ים ,,,,,,,,,,,
449,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,515766,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,Main,N,wayq,WayX,p3,>MR[,יאמר,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,בְּהֵמָ֥ה וָרֶ֛מֶשׂ וְחַֽיְתֹו־אֶ֖רֶץ לְמִינָ֑הּ ,515768,בְּהֵמָ֥ה וָרֶ֛מֶשׂ וְחַֽיְתֹו־אֶ֖רֶץ לְמִינָ֑הּ ,Main,Q,Ø,Ellp,,,,בְּהֵמָ֥ה וָרֶ֛מֶשׂ וְחַֽיְתֹו־אֶ֖רֶץ לְמִינָ֑הּ 
4496,בָּר֥וּךְ יְהֹוָ֖ה אֱלֹ֣הֵי שֵׁ֑ם ,516513,בָּר֥וּךְ יְהֹוָ֖ה אֱלֹ֣הֵי שֵׁ֑ם ,Main,Q,ptcp,Ptcp,unknown,BRK[,ברוך,בָּר֥וּךְ יְהֹוָ֖ה אֱלֹ֣הֵי שֵׁ֑ם ,,,,,,,,,,,
4500,בָּר֥וּךְ יְהֹוָ֖ה אֱלֹ֣הֵי שֵׁ֑ם ,516513,בָּר֥וּךְ יְהֹוָ֖ה אֱלֹ֣הֵי שֵׁ֑ם ,Main,Q,ptcp,Ptcp,unknown,BRK[,ברוך,בָּר֥וּךְ יְהֹוָ֖ה אֱלֹ֣הֵי שֵׁ֑ם וִיהִ֥י כְנַ֖עַן עֶ֥בֶד לָֽמֹו׃ ,וְיִשְׁכֹּ֖ן בְּאָֽהֳלֵי־שֵׁ֑ם ,516516,וְיִשְׁכֹּ֖ן בְּאָֽהֳלֵי־שֵׁ֑ם ,Main,Q,yqtl,WYq0,p3,CKN[,ישׁכן,וְיִשְׁכֹּ֖ן בְּאָֽהֳלֵי־שֵׁ֑ם 
4510,וְיִשְׁכֹּ֖ן בְּאָֽהֳלֵי־שֵׁ֑ם ,516516,וְיִשְׁכֹּ֖ן בְּאָֽהֳלֵי־שֵׁ֑ם ,Main,Q,yqtl,WYq0,p3,CKN[,ישׁכן,וְיִשְׁכֹּ֖ן בְּאָֽהֳלֵי־שֵׁ֑ם ,,,,,,,,,,,
