bhsa_node,ref,book,book_super,canon_part,period,genre,domain2,text_full,text_plain,lex,lex_etcbc,gloss,verb_form,stem,person,gender,number,valence,clause_atom,clause,verse,sentence,txt_type,clause_type,cltype_simp,clause_rela,cl_args,is_question,prec_lexes,prec_pos,prec_part,ref_sbl,ref_abbr,has_objc,objc_pos,has_loca,loca_type,loca_heads,has_time
35,Genesis 1:3,Genesis,Genesis,Law,SBH,prose,Q,יְהִ֣י,יהי,היה,HJH[,be,jussF,qal,p3,m,sg,--,יְהִ֣י אֹ֑ור ,יְהִ֣י אֹ֑ור ,וַיֹּ֥אמֶר אֱלֹהִ֖ים יְהִ֣י אֹ֑ור וַֽיְהִי־אֹֽור׃ ,יְהִ֣י אֹ֑ור ,?NQ,ZYqX,Ø,Main,V,0,Ø,Ø,Ø,Gen 1:3,Gen. 1:3,0,,0,,,0
82,Genesis 1:6,Genesis,Genesis,Law,SBH,prose,Q,יְהִ֥י,יהי,היה,HJH[,be,jussF,qal,p3,m,sg,--,יְהִ֥י רָקִ֖יעַ בְּתֹ֣וךְ הַמָּ֑יִם ,יְהִ֥י רָקִ֖יעַ בְּתֹ֣וךְ הַמָּ֑יִם ,וַיֹּ֣אמֶר אֱלֹהִ֔ים יְהִ֥י רָקִ֖יעַ בְּתֹ֣וךְ הַמָּ֑יִם וִיהִ֣י מַבְדִּ֔יל בֵּ֥ין מַ֖יִם לָמָֽיִם׃ ,יְהִ֥י רָקִ֖יעַ בְּתֹ֣וךְ הַמָּ֑יִם ,?NQ,ZYqX,Ø,Main,V,0,Ø,Ø,Ø,Gen 1:6,Gen. 1:6,0,,0,,,0
89,Genesis 1:6,Genesis,Genesis,Law,SBH,prose,Q,יהִ֣י,יהי,היה,HJH[,be,jussF,qal,p3,m,sg,-p,וִיהִ֣י מַבְדִּ֔יל בֵּ֥ין מַ֖יִם לָמָֽיִם׃ ,וִיהִ֣י מַבְדִּ֔יל בֵּ֥ין מַ֖יִם לָמָֽיִם׃ ,וַיֹּ֣אמֶר אֱלֹהִ֔ים יְהִ֥י רָקִ֖יעַ בְּתֹ֣וךְ הַמָּ֑יִם וִיהִ֣י מַבְדִּ֔יל בֵּ֥ין מַ֖יִם לָמָֽיִם׃ ,וִיהִ֣י מַבְדִּ֔יל בֵּ֥ין מַ֖יִם לָמָֽיִם׃ ,?NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 1:6,Gen. 1:6,0,,0,,,0
182,Genesis 1:11,Genesis,Genesis,Law,SBH,prose,Q,תַּֽדְשֵׁ֤א,תדשׁא,דשׁא,DC>[,grow green,jussF,hif,p3,f,sg,,תַּֽדְשֵׁ֤א הָאָ֨רֶץ֙ דֶּ֔שֶׁא עֵ֚שֶׂב ,תַּֽדְשֵׁ֤א הָאָ֨רֶץ֙ דֶּ֔שֶׁא עֵ֚שֶׂב עֵ֣ץ פְּרִ֞י ,וַיֹּ֣אמֶר אֱלֹהִ֗ים תַּֽדְשֵׁ֤א הָאָ֨רֶץ֙ דֶּ֔שֶׁא עֵ֚שֶׂב מַזְרִ֣יעַ זֶ֔רַע עֵ֣ץ פְּרִ֞י עֹ֤שֶׂה פְּרִי֙ לְמִינֹ֔ו אֲשֶׁ֥ר זַרְעֹו־בֹ֖ו עַל־הָאָ֑רֶץ וַֽיְהִי־כֵֽן׃ ,תַּֽדְשֵׁ֤א הָאָ֨רֶץ֙ דֶּ֔שֶׁא עֵ֚שֶׂב מַזְרִ֣יעַ זֶ֔רַע עֵ֣ץ פְּרִ֞י עֹ֤שֶׂה פְּרִי֙ לְמִינֹ֔ו אֲשֶׁ֥ר זַרְעֹו־בֹ֖ו עַל־הָאָ֑רֶץ ,?NQ,ZYqX,Ø,Main,V,0,Ø,Ø,Ø,Gen 1:11,Gen. 1:11,1,VO,0,,,0
239,Genesis 1:14,Genesis,Genesis,Law,SBH,prose,Q,יְהִ֤י,יהי,היה,HJH[,be,jussF,qal,p3,m,sg,-p,יְהִ֤י מְאֹרֹת֙ בִּרְקִ֣יעַ הַשָּׁמַ֔יִם ,יְהִ֤י מְאֹרֹת֙ בִּרְקִ֣יעַ הַשָּׁמַ֔יִם ,וַיֹּ֣אמֶר אֱלֹהִ֗ים יְהִ֤י מְאֹרֹת֙ בִּרְקִ֣יעַ הַשָּׁמַ֔יִם לְהַבְדִּ֕יל בֵּ֥ין הַיֹּ֖ום וּבֵ֣ין הַלָּ֑יְלָה וְהָי֤וּ לְאֹתֹת֙ וּלְמֹ֣ועֲדִ֔ים וּלְיָמִ֖ים וְשָׁנִֽים׃ ,יְהִ֤י מְאֹרֹת֙ בִּרְקִ֣יעַ הַשָּׁמַ֔יִם לְהַבְדִּ֕יל בֵּ֥ין הַיֹּ֖ום וּבֵ֣ין הַלָּ֑יְלָה ,?NQ,ZYqX,Ø,Main,V,0,Ø,Ø,Ø,Gen 1:14,Gen. 1:14,0,,1,PP,RQJ</,0
434,Genesis 1:22,Genesis,Genesis,Law,SBH,prose,Q,יִ֥רֶב,ירב,רבה,RBH[,be many,jussF,qal,p3,m,sg,-p,וְהָעֹ֖וף יִ֥רֶב בָּאָֽרֶץ׃ ,וְהָעֹ֖וף יִ֥רֶב בָּאָֽרֶץ׃ ,וַיְבָ֧רֶךְ אֹתָ֛ם אֱלֹהִ֖ים לֵאמֹ֑ר פְּר֣וּ וּרְב֗וּ וּמִלְא֤וּ אֶת־הַמַּ֨יִם֙ בַּיַּמִּ֔ים וְהָעֹ֖וף יִ֥רֶב בָּאָֽרֶץ׃ ,וְהָעֹ֖וף יִ֥רֶב בָּאָֽרֶץ׃ ,?NQ,WXYq,Wx,Main,_W_SV,0,_W_H_<WP/_,_conj_art_subs_,_W_,Gen 1:22,Gen. 1:22,0,,1,PP,>RY/,0
449,Genesis 1:24,Genesis,Genesis,Law,SBH,prose,Q,תֹּוצֵ֨א,תוצא,יצא,JY>[,go out,jussF,hif,p3,f,sg,,תֹּוצֵ֨א הָאָ֜רֶץ נֶ֤פֶשׁ חַיָּה֙ לְמִינָ֔הּ ,תֹּוצֵ֨א הָאָ֜רֶץ נֶ֤פֶשׁ חַיָּה֙ לְמִינָ֔הּ ,וַיֹּ֣אמֶר אֱלֹהִ֗ים תֹּוצֵ֨א הָאָ֜רֶץ נֶ֤פֶשׁ חַיָּה֙ לְמִינָ֔הּ בְּהֵמָ֥ה וָרֶ֛מֶשׂ וְחַֽיְתֹו־אֶ֖רֶץ לְמִינָ֑הּ וַֽיְהִי־כֵֽן׃ ,תֹּוצֵ֨א הָאָ֜רֶץ נֶ֤פֶשׁ חַיָּה֙ לְמִינָ֔הּ בְּהֵמָ֥ה וָרֶ֛מֶשׂ וְחַֽיְתֹו־אֶ֖רֶץ לְמִינָ֑הּ ,?NQ,ZYqX,Ø,Main,V,0,Ø,Ø,Ø,Gen 1:24,Gen. 1:24,1,VO,0,,,0
4496,Genesis 9:26,Genesis,Genesis,Law,SBH,prose,Q,יהִ֥י,יהי,היה,HJH[,be,jussF,qal,p3,m,sg,-i,וִיהִ֥י כְנַ֖עַן עֶ֥בֶד לָֽמֹו׃ ,וִיהִ֥י כְנַ֖עַן עֶ֥בֶד לָֽמֹו׃ ,וַיֹּ֕אמֶר בָּר֥וּךְ יְהֹוָ֖ה אֱלֹ֣הֵי שֵׁ֑ם וִיהִ֥י כְנַ֖עַן עֶ֥בֶד לָֽמֹו׃ ,וִיהִ֥י כְנַ֖עַן עֶ֥בֶד לָֽמֹו׃ ,NQ,WYqX,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 9:26,Gen. 9:26,0,,0,,,0
4500,Genesis 9:27,Genesis,Genesis,Law,SBH,prose,Q,יַ֤פְתְּ,יפת,פתה,PTH=[,be spacious,jussF,hif,p3,m,sg,,יַ֤פְתְּ אֱלֹהִים֙ לְיֶ֔פֶת ,יַ֤פְתְּ אֱלֹהִים֙ לְיֶ֔פֶת ,יַ֤פְתְּ אֱלֹהִים֙ לְיֶ֔פֶת וְיִשְׁכֹּ֖ן בְּאָֽהֳלֵי־שֵׁ֑ם וִיהִ֥י כְנַ֖עַן עֶ֥בֶד לָֽמֹו׃ ,יַ֤פְתְּ אֱלֹהִים֙ לְיֶ֔פֶת ,NQ,ZYqX,Ø,Main,V,0,Ø,Ø,Ø,Gen 9:27,Gen. 9:27,0,,0,,,0
4510,Genesis 9:27,Genesis,Genesis,Law,SBH,prose,Q,יהִ֥י,יהי,היה,HJH[,be,jussF,qal,p3,m,sg,-i,וִיהִ֥י כְנַ֖עַן עֶ֥בֶד לָֽמֹו׃ ,וִיהִ֥י כְנַ֖עַן עֶ֥בֶד לָֽמֹו׃ ,יַ֤פְתְּ אֱלֹהִים֙ לְיֶ֔פֶת וְיִשְׁכֹּ֖ן בְּאָֽהֳלֵי־שֵׁ֑ם וִיהִ֥י כְנַ֖עַן עֶ֥בֶד לָֽמֹו׃ ,וִיהִ֥י כְנַ֖עַן עֶ֥בֶד לָֽמֹו׃ ,NQ,WYqX,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 9:27,Gen. 9:27,0,,0,,,0
