bhsa_node,esv_tags,esv_VBtags,esv_TAM,esv_TAMsimp,niv_tags,niv_VBtags,niv_TAM,niv_TAMsimp,eng_fullparse,eng_TAM,eng_TAMsimp,eng_agree,eng_simp_agree,is_progressive
35,VB|EX|VB,VB|VB,MOD let,MOD let,VB|EX|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
82,VB|EX|VB,VB|VB,MOD let,MOD let,VB|EX|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
89,,,,,,,,,0,,,0,0,0
182,VB|IN,VB,IMPV,IMPV,VB|VB,VB|VB,MOD let,MOD let,1,IMPV ~ MOD let,IMPV ~ MOD let,0,0,0
239,VB|EX|VB,VB|VB,MOD let,MOD let,VB|EX|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
434,VB|VB,VB|VB,MOD let,MOD let,VB|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
449,VB|VB|RB,VB|VB,MOD let,MOD let,VB|NN,VB,IMPV,IMPV,1,IMPV ~ MOD let,IMPV ~ MOD let,0,0,0
4496,VB|VB,VB|VB,MOD let,MOD let,MD|VB,VB,MOD may,MOD may,1,MOD let ~ MOD may,MOD let ~ MOD may,0,0,0
4500,MD|VB,VB,MOD may,MOD may,MD|VB,VB,MOD may,MOD may,1,MOD may,MOD may,1,1,0
4510,VB|VB,VB|VB,MOD let,MOD let,MD|VB,VB,MOD may,MOD may,1,MOD let ~ MOD may,MOD let ~ MOD may,0,0,0
6002,VB|EX|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
8347,VB|VB|JJ,VB|VB,MOD let,MOD let,MD|VB|JJ,VB,MOD may,MOD may,1,MOD let ~ MOD may,MOD let ~ MOD may,0,0,0
8389,VB|VB|JJ,VB|VB,MOD let,MOD let,MD|VB|JJ,VB,MOD may,MOD may,1,MOD let ~ MOD may,MOD let ~ MOD may,0,0,0
8889,MD|VB|VBN,VB|VBN,FUT,FUT,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT,FUT,1,1,0
10495,VB,VB,IMPV do not,IMPV,VB|VB,VB|VB,IMPV do not,IMPV,1,IMPV do not,IMPV,1,1,0
10869,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD may,FUT ~ MOD may,0,0,0
12131,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
13502,,,,,EX|MD|TO|VB,VB,TO INF,TO INF,0,,,0,0,0
15962,MD|VB,VB,MOD may,MOD may,MD|VB,VB,MOD may,MOD may,1,MOD may,MOD may,1,1,0
