bhsa_node,lxx,lxx_tense,lxx_voice,lxx_mood,lxx_person,lxx_number,lxx_verse,lxx_tm
35,γενηθήτω,aorist,passsive,impv,3,sg,GEN 1:3,aorist impv
82,γενηθήτω,aorist,passsive,impv,3,sg,GEN 1:6,aorist impv
89,ἔστω,present,active,impv,3,sg,GEN 1:6,present impv
182,βλαστησάτω,aorist,active,impv,3,sg,GEN 1:11,aorist impv
239,γενηθήτωσαν,aorist,passsive,impv,3,pl,GEN 1:14,aorist impv
434,πληθυνέσθωσαν,aorist,middle,impv,3,pl,GEN 1:22,aorist impv
449,ἐξαγαγέτω,aorist,active,impv,3,sg,GEN 1:24,aorist impv
4496,ἔσται,future,middle,indc,3,sg,GEN 9:26,future indc
4500,πλατύναι,present,active,indc,3,sg,GEN 9:27,present indc
4510,γενηθήτω,aorist,passsive,impv,3,sg,GEN 9:27,aorist impv
6002,ἔστω,present,active,impv,3,sg,GEN 13:8,present impv
8347,,,,,,,,
8389,,,,,,,,
8889,ζήσεται,future,middle,indc,3,sg,GEN 19:20,future indc
10495,ποιήσῃς,aorist,active,subj,2,sg,GEN 22:12,aorist subj
10869,δότω,aorist,active,impv,3,sg,GEN 23:9,aorist impv
12131,ἔστω,present,active,impv,3,sg,GEN 24:51,present impv
13502,γενέσθω,aorist,middle,impv,3,sg,GEN 26:28,aorist impv
15962,προσθέτω,aorist,middle,impv,3,sg,GEN 30:24,aorist impv
16158,ἔστω,present,active,impv,3,sg,GEN 30:34,present impv
17033,φέρε,present,active,impv,2,sg,GEN 31:35,present impv
17307,ἐπίδοι,aorist,active,optv,2,sg,GEN 31:49,aorist optv
18235,ἔστω,present,active,impv,3,sg,GEN 33:9,present impv
20671,ἔστωσαν,present,active,impv,3,pl,GEN 37:27,present impv
22947,σκέψαι,aorist,middle,impv,2,sg,GEN 41:33,aorist impv
22961,καταστησάτω,aorist,active,impv,3,sg,GEN 41:34,aorist impv
25173,θυμωθῇς,aorist,passsive,subj,2,sg,GEN 44:18,aorist subj
25418,παραμενῶ,future,active,indc,1,sg,GEN 44:33,future indc
25430,ἀναβήτω,aorist,active,impv,3,sg,GEN 44:33,aorist impv
25540,φανήτω,aorist,passsive,impv,3,sg,GEN 45:5,aorist impv
25830,φείσησθε,aorist,middle,subj,2,pl,GEN 45:20,aorist subj
27823,ἐκζέσῃς,aorist,active,subj,2,sg,GEN 49:4,aorist subj
31186,ἴδοι,aorist,active,optv,3,sg,EXO 5:21,aorist optv
31937,ἔσται,future,middle,indc,3,sg,EXO 7:9,future indc
32466,περιελέτω,aorist,active,impv,3,sg,EXO 8:4,aorist impv
32961,προσθῇς,aorist,active,subj,2,sg,EXO 8:25,aorist subj
33488,ἔσται,future,middle,indc,3,sg,EXO 9:22,future indc
34023,ἔστω,present,active,impv,3,sg,EXO 10:10,present impv
34074,,,,,,,,
34232,περιελέτω,aorist,active,impv,3,sg,EXO 10:17,aorist impv
34297,γενηθήτω,aorist,passsive,impv,3,sg,EXO 10:21,aorist impv
34429,προσθεῖναι,aorist,active,infv,,,EXO 10:28,aorist infv
37776,καταλιπέτω,aorist,active,impv,3,sg,EXO 16:19,aorist impv
38856,ἔσται,future,middle,indc,3,sg,EXO 18:19,future indc
41067,συγκαταθήσῃ,future,middle,indc,2,sg,EXO 23:1,future indc
46709,θυμωθεὶς,aorist,passsive,ptcp,,sg,EXO 32:10,aorist ptcp
46987,ὀργίζου,present,middle,impv,2,sg,EXO 32:22,present impv
47825,ὀφθήτω,aorist,passsive,impv,3,sg,EXO 34:3,aorist impv
54666,προσθήσει,future,active,indc,3,sg,LEV 5:16,future indc
54847,προσθήσει,future,active,indc,3,sg,LEV 5:24,future indc
56991,ὀφθήσεται,future,passsive,indc,3,sg,LEV 9:6,future indc
57567,πίεσθε,aorist,middle,impv,2,pl,LEV 10:9,aorist impv
61973,γένηται,aorist,middle,subj,3,sg,LEV 15:24,aorist subj
68874,προσδέξεται,future,middle,indc,3,sg,LEV 26:43,future indc
69555,προσθήσει,future,active,indc,3,sg,LEV 27:31,future indc
72842,προσθήσει,future,active,indc,3,sg,NUM 5:7,future indc
73862,ἐπιφάναι,aorist,active,optv,3,sg,NUM 6:25,aorist optv
77770,συνεπιθῇ,present,active,subj,3,sg,NUM 12:11,present subj
77780,γένηται,aorist,middle,subj,3,sg,NUM 12:12,aorist subj
80149,ἔγνω,aorist,active,indc,3,sg,NUM 16:5,aorist indc
80343,προσχῇς,aorist,active,subj,2,sg,NUM 16:15,aorist subj
80759,ἀνέλεσθε,aorist,middle,impv,2,pl,NUM 17:2,aorist impv
81257,παυσάσθω,aorist,middle,impv,3,sg,NUM 17:25,aorist impv
83288,ἀφελέτω,aorist,active,impv,3,sg,NUM 21:7,aorist impv
84861,ἀποθάνοι,aorist,active,optv,3,sg,NUM 23:10,aorist optv
84866,γένοιτο,aorist,middle,optv,3,sg,NUM 23:10,aorist optv
85312,ὑψωθήσεται,future,passsive,indc,3,sg,NUM 24:7,future indc
85682,ἀποστραφήσεται,future,passsive,indc,3,sg,NUM 25:4,future indc
93033,προσθείη,aorist,active,optv,3,sg,DEU 1:11,aorist optv
93910,ἐχθραίνετε,present,active,impv,2,pl,DEU 2:9,present impv
