eng_TAM,sum
PAST..IND,344
PRES.PERF.IND,206
PRES..IND,249
PAST.PERF.IND,38
FUT..IND,11
PAST..SUBJ,6
PRES..MOD,3
PRES..,5
PRES.PROG.IND,3
PAST.PROG.IND,0
..,1
past.PERF_PROG.IND,0
FUT.PERF.IND,0
PRES.PERF_PROG.IND,0
