eng_TAM,sum
PAST..IND,0.48
PRES.PERF.IND,0.41
PRES..IND,0.47
PAST.PERF.IND,0.16
FUT..IND,0.2
PAST..SUBJ,0.18
PRES..MOD,0.12
PRES..,0.17
PRES.PROG.IND,0.21
PAST.PROG.IND,0.0
..,0.25
past.PERF_PROG.IND,0.0
FUT.PERF.IND,0.0
PRES.PERF_PROG.IND,0.0
