esv_TAM,x,Wx,Ø,W
MOD shall,0.54,0.32,0.11,0.04
PRES,0.59,0.2,0.16,0.05
FUT,0.48,0.25,0.17,0.1
MOD let,0.19,0.11,0.45,0.25
MOD may,0.37,0.14,0.1,0.39
PAST,0.42,0.23,0.27,0.08
IMPV,0.48,0.3,0.16,0.05
IMPV do not,0.67,0.32,0.01,0.0
MOD can,0.64,0.31,0.03,0.01
PRES do not,0.51,0.48,0.01,0.0
MOD would,0.53,0.16,0.19,0.12
MOD should,0.72,0.17,0.04,0.07
MOD lest,0.7,0.29,0.0,0.01
TO INF,0.33,0.19,0.14,0.34
PRES PERF,0.62,0.18,0.15,0.04
PRES PART,0.54,0.27,0.15,0.05
FUT question,0.77,0.06,0.16,0.01
PRES wh-question,0.66,0.16,0.14,0.04
MOD must,0.66,0.19,0.12,0.03
PRES question,0.72,0.14,0.11,0.03
MOD quest shall,0.85,0.05,0.05,0.04
MOD quest can,0.81,0.13,0.06,0.0
MOD could,0.65,0.25,0.04,0.06
MOD might,0.44,0.18,0.11,0.27
PAST did not,0.36,0.64,0.0,0.0
MOD is to,0.83,0.0,0.17,0.0
MOD quest should,0.79,0.05,0.11,0.05
FUT wh-question,0.58,0.37,0.05,0.0
HAB used to,0.65,0.29,0.06,0.0
PAST PERF,0.54,0.38,0.08,0.0
MOD was to,0.67,0.25,0.0,0.08
PRES do-support,0.44,0.44,0.11,0.0
MOD that be,0.38,0.5,0.0,0.12
MOD VB,0.62,0.25,0.12,0.0
PRES PROG,0.62,0.12,0.12,0.12
PAST PROG,0.33,0.67,0.0,0.0
MOD quest would,1.0,0.0,0.0,0.0
?VB,0.5,0.5,0.0,0.0
MOD,0.5,0.0,0.0,0.5
PRES PERF question,1.0,0.0,0.0,0.0
PRES shall,0.33,0.67,0.0,0.0
FUT PROG,0.33,0.67,0.0,0.0
PAST question,0.67,0.33,0.0,0.0
PRES PERF wh-question,1.0,0.0,0.0,0.0
FUT PERF,0.5,0.5,0.0,0.0
PRES do,0.0,1.0,0.0,0.0
MOD need not,1.0,0.0,0.0,0.0
MOD quest could,1.0,0.0,0.0,0.0
PAST wh-question,0.5,0.0,0.0,0.5
IMPV not,0.0,1.0,0.0,0.0
PRES can,1.0,0.0,0.0,0.0
JJ,0.0,1.0,0.0,0.0
PAST PROG keep,1.0,0.0,0.0,0.0
MOD that,0.0,0.0,0.0,1.0
MOD quest must,0.0,1.0,0.0,0.0
