,x,Wx,Ø,W
MOD shall,2.84,34.62,-21.1,-44.59
PRES,23.0,-11.63,0.5,-18.55
FUT,-4.88,0.53,2.52,1.57
MOD let,-99.49,-27.27,116.17,52.1
MOD may,-17.59,-11.43,-5.45,130.16
PAST,-5.21,-0.25,12.26,-0.42
IMPV,-0.7,2.39,0.17,-2.17
IMPV do not,9.7,3.34,-24.12,-15.85
MOD can,5.15,2.09,-10.84,-7.32
PRES do not,0.0,12.49,-12.03,-8.12
MOD would,0.14,-2.33,0.78,0.89
MOD should,7.46,-1.64,-5.67,-0.24
MOD lest,4.92,0.63,-9.9,-3.35
TO INF,-4.71,-0.88,-0.09,15.8
PRES PERF,1.67,-0.79,0.0,-1.0
PRES PART,0.15,0.3,-0.05,-0.89
FUT question,6.05,-5.11,0.05,-2.17
PRES wh-question,1.86,-0.87,-0.13,-0.67
MOD must,1.69,-0.4,-0.3,-0.9
PRES question,3.14,-1.23,-0.41,-0.91
MOD quest shall,6.72,-3.4,-1.41,-0.63
MOD quest can,4.74,-1.13,-1.27,-1.88
MOD could,1.17,0.06,-1.73,-0.21
MOD might,-0.43,-0.41,-0.27,3.43
PAST did not,-0.89,5.08,-1.8,-0.77
MOD is to,2.76,-2.55,0.11,-0.58
MOD quest should,1.69,-1.22,-0.12,0.0
FUT wh-question,0.19,0.55,-0.47,-0.39
HAB used to,0.47,0.24,-0.3,-0.41
PAST PERF,-0.0,0.49,-0.15,-0.21
MOD was to,0.41,-0.0,-0.63,0.0
PRES do-support,-0.13,0.63,0.0,0.0
MOD that be,-0.3,0.98,-0.21,0.28
MOD VB,0.14,-0.0,0.0,0.0
PRES PROG,0.14,-0.16,0.0,0.28
PAST PROG,-0.36,1.47,-0.22,0.0
MOD quest would,1.2,-0.46,0.0,0.0
?VB,0.0,0.6,0.0,0.0
MOD,0.0,-0.24,0.0,1.39
PRES PERF question,0.6,0.0,0.0,0.0
PRES shall,-0.21,0.83,0.0,0.0
FUT PROG,-0.21,0.83,0.0,0.0
PAST question,-0.0,0.25,0.0,0.0
PRES PERF wh-question,0.6,0.0,0.0,0.0
FUT PERF,0.0,0.37,0.0,0.0
PRES do,-0.63,1.23,0.0,0.0
MOD need not,0.3,0.0,0.0,0.0
MOD quest could,0.3,0.0,0.0,0.0
PAST wh-question,0.0,0.0,0.0,0.77
IMPV not,-0.31,0.61,0.0,0.0
PRES can,-0.0,0.0,0.0,0.0
JJ,-0.31,0.61,0.0,0.0
PAST PROG keep,-0.0,0.0,0.0,0.0
MOD that,-0.31,0.0,0.0,1.06
MOD quest must,-0.31,0.61,0.0,0.0
