,x,Wx,Ø,W
MOD shall,1.13,1.7,0.58,0.31
PRES,1.5,0.71,1.06,0.48
FUT,0.84,1.05,1.18,1.17
MOD let,0.21,0.35,5.4,3.93
MOD may,0.52,0.51,0.58,8.47
PAST,0.68,0.94,2.07,0.86
IMPV,0.88,1.37,1.05,0.56
IMPV do not,1.96,1.48,0.04,0.0
MOD can,1.71,1.41,0.18,0.14
PRES do not,0.99,2.88,0.05,0.0
MOD would,1.06,0.59,1.3,1.42
MOD should,2.49,0.62,0.2,0.8
MOD lest,2.21,1.25,0.0,0.15
TO INF,0.47,0.71,0.9,5.53
PRES PERF,1.55,0.7,0.98,0.45
PRES PART,1.09,1.17,0.94,0.49
FUT question,3.21,0.19,1.04,0.12
PRES wh-question,1.85,0.6,0.86,0.44
MOD must,1.84,0.73,0.73,0.31
PRES question,2.46,0.5,0.67,0.33
MOD quest shall,5.55,0.18,0.32,0.39
MOD quest can,3.96,0.48,0.34,0.0
MOD could,1.72,1.07,0.22,0.65
MOD might,0.75,0.67,0.69,3.8
PAST did not,0.52,5.63,0.0,0.0
MOD is to,4.71,0.0,1.1,0.0
MOD quest should,3.53,0.17,0.65,0.58
FUT wh-question,1.29,1.82,0.31,0.0
HAB used to,1.72,1.3,0.34,0.0
PAST PERF,1.1,1.95,0.46,0.0
MOD was to,1.88,1.04,0.0,0.94
PRES do-support,0.75,2.49,0.69,0.0
MOD that be,0.56,3.12,0.0,1.48
MOD VB,1.57,1.04,0.79,0.0
PRES PROG,1.57,0.44,0.79,1.48
PAST PROG,0.47,6.23,0.0,0.0
MOD quest would,inf,0.0,0.0,0.0
?VB,0.94,3.11,0.0,0.0
MOD,0.94,0.0,0.0,10.4
PRES PERF question,inf,0.0,0.0,0.0
PRES shall,0.47,6.23,0.0,0.0
FUT PROG,0.47,6.23,0.0,0.0
PAST question,1.88,1.56,0.0,0.0
PRES PERF wh-question,inf,0.0,0.0,0.0
FUT PERF,0.94,3.11,0.0,0.0
PRES do,0.0,inf,0.0,0.0
MOD need not,inf,0.0,0.0,0.0
MOD quest could,inf,0.0,0.0,0.0
PAST wh-question,0.94,0.0,0.0,10.4
IMPV not,0.0,inf,0.0,0.0
PRES can,inf,0.0,0.0,0.0
JJ,0.0,inf,0.0,0.0
PAST PROG keep,inf,0.0,0.0,0.0
MOD that,0.0,0.0,0.0,inf
MOD quest must,0.0,inf,0.0,0.0
