,V,RV,_KJ_V,_W_SV,SV,_W_V,_>R_V,_W_OV,OV,_KJ_SV,QV,_KJ_OV,IV,_>M_V,_W_RV,ISV,_W_IV,_W__>M_V,_W__KJ_V,RSV,_J<N/_V,_W_SOV,_KJ__>M_V,_>W_V,IIV,IOV,_W_QV,_<D_V,_W__>R_V,_W_ISV,_>M_IV,_LW_V,SOV,_>M_SV,QSV,__V,OSV,_LWL>_SV,_J<N/_OV,QOV,_>XR/_V,_>M_OV,_>R__>M_V,_LWL>_V,_W_OSV,_KJ__LWL>_V,_LM<N_V,_KJ_IV,_>W_SV,_KJ_VSV,_W__LW_V,_KJ_ISV,_>R_SV,_W__KJ_OV,_W__>M_SV,_W__>M_OV,_W_QSV,ROV,_ZWLH/_OV,_PN_V,_KJ_QV,VSV,_<D_SV,_K_V,_<L_OV,__SV,_<QB/_V,_>LW_V,_KMW_V,_KJ__>M_SV,_KJ__>M_OV,_>W_QV,_BLT/_V,_KJ_SOV,_<L_V
PAST..IND,0.56,1.22,0.57,3.01,1.0,2.44,1.94,3.77,0.73,0.3,0.18,0.25,0.35,0.22,1.88,0.33,0.66,0.14,1.06,0.2,1.55,0.59,0.44,0.13,0.0,0.33,0.38,1.06,1.06,9.29,0.0,0.22,0.99,0.99,0.66,1.99,0.0,0.66,0.0,0.0,0.0,0.66,0.0,0.0,inf,0.0,0.0,0.0,inf,inf,0.0,1.33,1.33,0.0,0.0,0.0,inf,0.0,inf,0.0,0.0,inf,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf
PRES.PERF.IND,0.89,1.04,1.38,0.36,1.2,0.6,0.88,0.46,1.98,2.97,2.7,3.96,3.19,3.0,0.8,1.73,1.84,1.23,0.88,0.22,2.63,0.56,0.61,0.31,3.69,1.31,0.88,0.38,0.88,0.0,inf,0.0,0.0,0.51,0.61,0.0,1.02,0.0,6.14,1.53,0.0,6.14,6.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,inf,0.0,0.0,0.0,inf,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
PRES..IND,4.05,0.18,1.16,0.51,1.2,0.28,0.09,0.37,1.06,1.0,0.6,0.56,0.98,1.7,0.13,2.05,0.33,4.88,0.0,14.65,0.0,2.28,1.21,9.75,3.04,0.91,0.46,1.04,0.0,0.52,0.0,0.0,4.86,1.46,0.0,0.91,3.65,0.0,0.0,0.0,0.0,0.0,1.82,3.64,0.0,0.0,0.0,3.64,0.0,0.0,0.0,3.64,0.0,0.0,inf,0.0,0.0,inf,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,0.08,4.77,1.79,0.82,0.23,0.24,2.23,0.32,0.1,1.04,4.03,1.35,0.0,0.56,2.35,0.0,1.02,0.56,4.35,0.0,0.0,0.0,0.0,1.12,0.0,1.25,9.03,1.41,5.64,0.0,0.0,28.28,0.0,1.87,11.28,2.81,0.0,22.54,5.63,22.54,inf,0.0,0.0,11.25,0.0,inf,0.0,0.0,0.0,0.0,inf,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,2.05,0.0,0.4,0.57,1.69,1.04,0.0,0.38,1.23,1.59,0.99,3.86,1.98,0.0,0.0,0.0,20.53,0.0,0.0,0.0,0.0,0.0,47.95,0.0,0.0,15.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,0.8,0.24,0.94,0.31,0.65,11.36,0.0,0.43,0.44,0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.31,0.0,0.0,0.0,0.0,0.0,25.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,0.31,0.18,0.5,0.54,0.74,13.29,0.0,0.99,1.02,3.1,1.25,0.0,0.0,0.0,0.0,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,2.22,0.68,0.28,0.62,0.0,2.47,0.83,0.84,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.07,0.0,0.0,0.0,27.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,0.5,0.6,0.52,0.0,1.61,1.66,0.0,0.0,1.59,0.0,0.0,0.0,40.46,0.0,0.0,23.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,0.0,0.0,2.64,8.04,2.34,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
