eng_TAM,V,RV,_KJ_V,_W_SV,SV,_W_V,_>R_V,_W_OV,OV,_KJ_SV,QV,_KJ_OV,IV,_>M_V,_W_RV,ISV,_W_IV,_W__>M_V,_W__KJ_V,RSV,_J<N/_V,_W_SOV,_KJ__>M_V,_>W_V,IIV,IOV,_W_QV,_<D_V,_W__>R_V,_W_ISV,_>M_IV,_LW_V,SOV,_>M_SV,QSV,__V,OSV,_LWL>_SV,_J<N/_OV,QOV,_>XR/_V,_>M_OV,_>R__>M_V,_LWL>_V,_W_OSV,_KJ__LWL>_V,_LM<N_V,_KJ_IV,_>W_SV,_KJ_VSV,_W__LW_V,_KJ_ISV,_>R_SV,_W__KJ_OV,_W__>M_SV,_W__>M_OV,_W_QSV,ROV,_ZWLH/_OV,_PN_V,_KJ_QV,VSV,_<D_SV,_K_V,_<L_OV,__SV,_<QB/_V,_>LW_V,_KMW_V,_KJ__>M_SV,_KJ__>M_OV,_>W_QV,_BLT/_V,_KJ_SOV,_<L_V
PAST..IND,907,778,306,622,297,425,210,258,122,33,17,12,15,9,17,5,8,2,8,2,7,4,3,1,0,2,2,4,4,7,0,1,3,3,2,3,0,1,0,0,0,1,0,0,2,0,0,0,2,2,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1
PRES.PERF.IND,631,416,296,104,192,113,80,47,132,86,65,42,36,31,6,9,9,6,4,1,6,2,2,1,6,3,2,1,2,0,8,0,0,1,1,0,1,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
PRES..IND,1094,93,233,120,169,50,9,33,77,38,20,10,15,20,1,9,2,12,0,12,0,5,3,8,5,2,1,2,0,1,0,0,4,2,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
PAST.PERF.IND,26,354,126,64,15,15,57,10,3,15,36,8,0,3,5,0,2,1,5,0,0,0,0,1,0,1,4,1,3,0,0,5,0,1,3,1,0,2,1,2,3,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
FUT..IND,31,0,3,4,8,5,0,1,3,2,1,2,1,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST..SUBJ,15,3,6,2,3,28,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES..MOD,6,2,3,3,3,27,0,2,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES..,15,4,1,2,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES.PROG.IND,3,2,1,0,2,2,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PAST.PROG.IND,0,0,3,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
..,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
past.PERF_PROG.IND,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT.PERF.IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES.PERF_PROG.IND,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
