cl_args_simp,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
V,-0.14,-0.02,0.26,-0.1,0.01,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
RV,0.05,0.01,-0.19,0.16,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
_KJ_V,-0.13,0.06,0.03,0.05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
_W_SV,0.27,-0.15,-0.1,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
SV,-0.0,0.03,0.03,-0.06,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
_W_V,0.22,-0.08,-0.15,-0.06,0.0,0.04,0.04,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
_>R_V,0.16,-0.02,-0.2,0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OV,0.31,-0.12,-0.13,-0.06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OV,-0.08,0.15,0.01,-0.08,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_SV,-0.25,0.24,-0.0,0.0,0.0,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
QV,-0.31,0.22,-0.07,0.18,-0.0,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_OV,-0.27,0.32,-0.08,0.03,0.02,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
