cltype_simp,FUT,PRES,IMPV do not,MOD may,IMPV,MOD let,PAST,MOD can,MOD must,MOD is to,TO INF,PRES PART,MOD would,PRES do not,MOD shall,PRES PERF,MOD should,FUT question,PRES wh-question,PRES question,MOD could,MOD quest can,MOD might,MOD quest should,PAST did not,MOD quest shall,PRES PROG,FUT wh-question,MOD was to,MOD quest would,PAST PERF,FUT going-to,MOD lest,PAST PROG,HAB used to,MOD VB,PRES do-support,PRES PERF wh-question,PAST wh-question,PRES PERF question,MOD need not,MOD quest must,MOD that be,PAST question,MOD quest could,FUT PROG,FUT PERF,JJ,PAST do-support,VB
x,0.3,0.25,0.07,0.03,0.04,0.01,0.04,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wx,0.38,0.17,0.07,0.03,0.05,0.02,0.04,0.04,0.04,0.02,0.02,0.02,0.01,0.03,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ø,0.31,0.22,0.0,0.07,0.05,0.13,0.07,0.01,0.03,0.02,0.01,0.01,0.02,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,0.33,0.11,0.0,0.15,0.03,0.14,0.04,0.03,0.01,0.0,0.07,0.01,0.02,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
