,x,Wx,Ø,W
FUT,-9.7,16.18,-0.94,0.21
PRES,25.19,-11.14,0.44,-23.43
IMPV do not,19.63,6.35,-50.54,-30.61
MOD may,-16.71,-10.15,6.04,48.67
IMPV,-1.51,2.96,0.26,-1.31
MOD let,-81.16,-25.26,82.06,51.21
PAST,-4.61,-0.35,12.42,-0.66
MOD can,3.65,1.25,-18.61,0.13
MOD must,1.12,1.13,-0.37,-7.39
MOD is to,4.38,0.25,-2.03,-7.82
TO INF,-5.73,-1.1,-1.88,29.78
PRES PART,-0.23,0.47,0.03,-0.14
MOD would,0.0,-1.03,0.4,0.93
PRES do not,0.14,12.16,-13.99,-8.48
MOD shall,4.03,-0.33,-0.82,-4.92
PRES PERF,1.88,-2.85,0.31,-0.18
MOD should,5.0,-0.69,-4.45,-0.43
FUT question,5.07,-3.4,-0.11,-1.47
PRES wh-question,1.44,-0.16,-1.11,-0.17
PRES question,1.44,-0.05,-0.47,-1.19
MOD could,1.12,0.31,-3.05,-0.08
MOD quest can,4.52,-2.7,-0.64,-0.36
MOD might,0.99,-1.07,0.0,0.13
MOD quest should,4.15,-1.52,-0.51,-0.97
PAST did not,-2.03,7.71,-1.99,-0.97
MOD quest shall,3.22,-1.97,-0.1,-0.79
PRES PROG,0.57,-0.1,-0.12,0.0
FUT wh-question,-0.09,0.72,-0.47,0.17
MOD was to,1.01,-0.23,-0.47,0.0
MOD quest would,1.3,-1.04,0.0,0.0
PAST PERF,-0.64,0.57,0.49,0.0
FUT going-to,1.66,-1.75,-0.81,0.79
MOD lest,1.18,-1.11,-0.63,0.6
PAST PROG,-0.13,1.37,-0.43,0.0
HAB used to,0.29,0.34,-0.43,0.0
MOD VB,0.0,0.8,-0.22,0.0
PRES do-support,-0.36,0.8,-0.0,0.0
PRES PERF wh-question,1.5,-0.46,-0.22,0.0
PAST wh-question,-0.36,0.8,-0.22,0.37
PRES PERF question,-0.17,0.22,0.25,0.0
MOD need not,-0.17,0.22,0.25,0.0
MOD quest must,-0.44,0.6,0.31,0.0
MOD that be,-0.94,0.83,0.0,0.62
PAST question,-0.0,0.25,0.0,0.0
MOD quest could,-0.21,0.25,0.4,0.0
FUT PROG,-0.0,0.0,0.4,0.0
FUT PERF,-0.63,0.37,0.54,0.0
JJ,-0.31,0.0,0.0,1.05
PAST do-support,-0.31,0.62,0.0,0.0
VB,-0.31,0.0,0.0,1.05
