niv_TAM,x,Wx,Ø,W
FUT,2272,1360,705,429
PRES,1885,620,505,144
IMPV do not,533,253,5,1
MOD may,249,100,156,191
IMPV,311,195,107,44
MOD let,106,56,304,188
PAST,270,143,166,46
MOD can,284,133,14,44
MOD must,250,125,63,11
MOD is to,210,86,35,5
TO INF,116,61,32,97
PRES PART,108,59,34,17
MOD would,112,42,38,26
PRES do not,113,100,1,0
MOD shall,137,46,25,3
PRES PERF,92,20,26,11
MOD should,100,28,6,9
FUT question,74,10,14,3
PRES wh-question,48,16,6,5
PRES question,48,17,8,2
MOD could,45,20,2,5
MOD quest can,39,3,4,2
MOD might,20,3,4,3
MOD quest should,26,2,2,0
PAST did not,8,22,0,0
MOD quest shall,22,1,3,0
PRES PROG,13,4,2,1
FUT wh-question,9,7,1,2
MOD was to,13,3,1,1
MOD quest would,13,1,2,1
PAST PERF,6,6,4,1
FUT going-to,13,0,0,3
MOD lest,9,0,0,2
PAST PROG,4,5,0,0
HAB used to,6,3,0,0
MOD VB,3,3,0,0
PRES do-support,2,3,1,0
PRES PERF wh-question,6,0,0,0
PAST wh-question,2,3,0,1
PRES PERF question,2,2,1,0
MOD need not,2,2,1,0
MOD quest must,1,2,1,0
MOD that be,0,2,0,1
PAST question,2,1,0,0
MOD quest could,1,1,1,0
FUT PROG,2,0,1,0
FUT PERF,0,1,1,0
JJ,0,0,0,1
PAST do-support,0,1,0,0
VB,0,0,0,1
