period,SBH,SBH,LBH,LBH,SBH,SBH,SBH,LBH,LBH,LBH,SBH,SBH,LBH,SBH,SBH,SBH,SBH,SBH,SBH,SBH,LBH,LBH
genre,prose,prose,prose,prose,instruction,prose,poetry,list,prose,list,instruction,list,poetry,instruction,prose,list,instruction,prophetic,list,poetry,list,prose
domain2,Q,N,N,Q,Q,?,Q,N,?,?,N,N,Q,D,D,?,?,Q,Q,N,Q,D
eng_TAM,,,,,,,,,,,,,,,,,,,,,,
PAST..IND,667,1041,361,109,56,129,68,84,67,75,68,50,29,13,15,18,1,2,3,8,2,1
PRES.PERF.IND,814,5,0,163,109,0,12,1,0,0,0,0,6,11,2,0,7,6,6,0,1,0
PAST.PERF.IND,68,363,150,12,0,18,4,6,13,3,8,6,2,0,5,0,0,0,0,0,2,1
PRES..IND,275,4,2,52,35,0,12,1,0,0,0,0,2,5,0,0,2,2,0,0,0,0
PRES..MOD,8,19,4,1,0,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0
PAST..SUBJ,17,14,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FUT..IND,9,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES..,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST.PROG.IND,2,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES.PROG.IND,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
past.PERF_PROG.IND,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES.PERF_PROG.IND,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
..,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
