,SBH,SBH,LBH,LBH,SBH,SBH,SBH,LBH,LBH,LBH,SBH,SBH,LBH,SBH,SBH,SBH,SBH,SBH,SBH,SBH,LBH,LBH
,prose,prose,prose,prose,instruction,prose,poetry,list,prose,list,instruction,list,poetry,instruction,prose,list,instruction,prophetic,list,poetry,list,prose
,Q,N,N,Q,Q,?,Q,N,?,?,N,N,Q,D,D,?,?,Q,Q,N,Q,D
PAST..IND,-100.41,48.32,11.03,-19.34,-15.3,15.8,2.56,11.47,5.95,15.57,9.94,6.6,1.81,-0.7,0.55,4.47,-2.16,-1.3,-0.5,1.99,-0.38,0.0
PRES.PERF.IND,167.63,-177.91,-59.54,26.16,23.11,-16.05,-1.73,-8.72,-8.86,-8.23,-8.03,-6.0,-0.36,1.13,-0.7,-1.71,2.8,1.98,2.29,-0.67,0.0,0.0
PAST.PERF.IND,-57.07,53.83,24.44,-8.79,-11.93,-0.05,-2.09,-1.21,0.39,-1.82,-0.14,-0.08,-0.65,-1.58,0.73,-0.81,-0.2,-0.2,-0.21,-0.22,0.77,0.62
PRES..IND,45.56,-51.17,-15.49,6.09,5.62,-4.94,1.1,-2.03,-2.59,-2.41,-2.41,-1.69,-0.12,1.15,-0.39,-0.41,0.77,0.77,0.0,0.0,0.0,0.0
PRES..MOD,-1.34,1.92,0.0,-0.29,-0.39,0.0,0.27,0.28,1.59,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0
PAST..SUBJ,0.49,0.54,-0.0,0.0,-0.39,-0.2,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,1.33,-1.83,-0.41,0.62,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,-0.12,1.83,-0.21,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,-0.46,1.07,-0.21,0.79,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,1.38,-1.15,-0.21,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,-0.27,0.32,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
