eng_TAM,sum
PAST..IND,713
PRES.PERF.IND,499
PRES..IND,526
PAST.PERF.IND,231
FUT..IND,54
PAST..SUBJ,33
PRES..MOD,25
PRES..,29
PRES.PROG.IND,14
PAST.PROG.IND,6
..,4
past.PERF_PROG.IND,1
FUT.PERF.IND,1
PRES.PERF_PROG.IND,1
