eng_TAM,prose,prophetic,poetry,instruction,list
PAST..IND,0.6,0.17,0.14,0.04,0.06
PRES.PERF.IND,0.44,0.31,0.2,0.05,0.0
PRES..IND,0.17,0.46,0.35,0.02,0.0
PAST.PERF.IND,0.84,0.09,0.04,0.01,0.02
FUT..IND,0.16,0.65,0.14,0.04,0.0
PAST..SUBJ,0.6,0.13,0.24,0.02,0.02
PRES..MOD,0.65,0.13,0.16,0.0,0.05
PRES..,0.31,0.38,0.28,0.0,0.03
PRES.PROG.IND,0.67,0.28,0.06,0.0,0.0
PAST.PROG.IND,0.92,0.08,0.0,0.0,0.0
..,0.6,0.4,0.0,0.0,0.0
past.PERF_PROG.IND,1.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,0.0,1.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,1.0,0.0,0.0,0.0,0.0
