eng_TAM,sum
PAST..IND,2548
PRES.PERF.IND,1123
PAST.PERF.IND,621
PRES..IND,385
PAST..SUBJ,38
PRES..MOD,36
FUT..IND,14
PRES..,11
PAST.PROG.IND,10
PRES.PROG.IND,10
past.PERF_PROG.IND,2
..,1
PRES.PERF_PROG.IND,1
