eng_TAMsimp,Q,N,?,D
PRES,0.21,-0.3,0.07,0.02
PAST,-0.41,0.41,0.0,0.0
PRES PART,-0.15,0.16,-0.02,0.01
PRES PROG,0.29,-0.23,-0.07,0.01
PRES ~ PRES PART,0.17,-0.16,0.0,-0.02
FUT,0.32,-0.23,-0.07,-0.03
PRES ~ PRES PROG,0.29,-0.22,-0.04,-0.02
PAST PROG,-0.56,0.61,-0.02,-0.03
PAST ~ PAST PROG,-0.52,0.58,-0.06,-0.01
PAST ~ PRES PART,-0.52,0.53,-0.02,0.01
PAST ~ PRES,0.08,-0.11,0.01,0.02
FUT ~ PRES,0.24,-0.23,-0.02,0.01
FUT ~ MOD shall,0.19,-0.23,0.04,-0.01
PRES ~ PRES PERF,0.27,-0.23,-0.03,-0.0
PAST PERF,-0.54,0.62,-0.08,-0.0
TO INF,0.14,-0.11,-0.01,-0.03
PRES PERF,0.31,-0.23,-0.05,-0.03
PAST PROG ~ PRES PART,-0.55,0.63,-0.05,-0.02
FUT ~ FUT going-to,0.27,-0.23,-0.02,-0.02
PAST ~ PRES PERF,0.33,-0.23,-0.08,-0.02
FUT ~ PRES PROG,0.3,-0.23,-0.08,0.01
PRES PART ~ PRES PROG,0.26,-0.19,-0.08,0.01
PAST ~ PAST PERF,-0.56,0.62,-0.04,-0.02
PAST ~ TO INF,-0.49,0.59,-0.08,-0.02
FUT ~ TO INF,0.24,-0.23,0.01,-0.02
MOD may ~ PRES,0.33,-0.23,-0.08,-0.02
MOD could ~ PAST,-0.68,0.5,0.2,-0.02
FUT going-to ~ PRES,0.33,-0.23,-0.08,-0.02
FUT going-to ~ PRES PROG,0.33,-0.23,-0.08,-0.02
PRES ~ TO INF,-0.17,-0.13,0.33,-0.02
FUT ~ PRES PART,0.33,-0.23,-0.08,-0.02
PRES PART ~ TO INF,-0.12,0.22,-0.08,-0.02
MOD is to ~ PRES,0.2,-0.23,0.05,-0.02
IMPV ~ PRES,0.33,-0.23,-0.08,-0.02
MOD could,-0.1,0.2,-0.08,-0.02
MOD can ~ PRES,0.33,-0.23,-0.08,-0.02
PRES PERF ~ PRES PROG,0.16,-0.23,0.09,-0.02
IMPV,-0.07,-0.03,0.12,-0.02
PAST PERF ~ PAST PROG,-0.47,0.58,-0.08,-0.02
MOD shall ~ PRES,0.33,-0.23,-0.08,-0.02
MOD should,0.13,-0.03,-0.08,-0.02
MOD can,0.33,-0.23,-0.08,-0.02
FUT going-to ~ MOD shall,0.33,-0.23,-0.08,-0.02
MOD would ~ PRES,0.33,-0.23,-0.08,-0.02
MOD would ~ PAST,-0.67,0.78,-0.08,-0.02
PRES PERF PROG ~ PRES PROG,0.33,-0.23,-0.08,-0.02
MOD would,-0.17,-0.23,-0.08,0.48
PAST PROG ~ PRES,0.08,-0.23,0.17,-0.02
MOD is to ~ MOD shall,0.08,0.02,-0.08,-0.02
PAST ~ PRES PROG,0.33,-0.23,-0.08,-0.02
IMPV ~ MOD may,0.33,-0.23,-0.08,-0.02
FUT ~ MOD must,0.33,-0.23,-0.08,-0.02
PAST ~ PAST PERF PROG,-0.67,0.78,-0.08,-0.02
MOD shall ~ TO INF,0.33,-0.23,-0.08,-0.02
PRES PART ~ PRES PERF,0.33,-0.23,-0.08,-0.02
MOD should ~ TO INF,0.33,-0.23,-0.08,-0.02
MOD should ~ MOD would,-0.01,0.11,-0.08,-0.02
MOD was to ~ PAST,-0.67,0.77,-0.08,-0.02
MOD can ~ TO INF,0.33,-0.23,-0.08,-0.02
PRES PERF PROG,0.33,-0.23,-0.08,-0.02
MOD let ~ PRES,-0.01,-0.23,-0.08,0.31
MOD is to ~ PRES PART,0.33,-0.23,-0.08,-0.02
FUT ~ MOD is to,0.33,-0.23,-0.08,-0.02
MOD is to,-0.01,0.11,-0.08,-0.02
MOD may,0.33,-0.23,-0.08,-0.02
MOD can ~ MOD shall,0.33,-0.23,-0.08,-0.02
PRES ~ PRES PERF PROG,0.33,-0.23,-0.08,-0.02
PAST PERF ~ PRES,-0.67,0.77,-0.08,-0.02
PAST PERF ~ PRES PART,-0.67,0.77,-0.08,-0.02
MOD was to ~ TO INF,-0.67,0.77,-0.08,-0.02
PAST PERF ~ PAST PERF PROG,-0.67,0.77,-0.08,-0.02
PAST PERF PROG ~ PAST PROG,-0.67,0.77,-0.08,-0.02
FUT PROG ~ PRES PART,0.33,-0.23,-0.08,-0.02
MOD was to ~ PAST PROG,-0.67,0.77,-0.08,-0.02
PRES ~ PRES PROG keep,0.33,-0.23,-0.08,-0.02
MOD may ~ PAST,0.33,-0.23,-0.08,-0.02
MOD must ~ PRES,0.33,-0.23,-0.08,-0.02
MOD must ~ MOD shall,0.33,-0.23,-0.08,-0.02
MOD may ~ TO INF,0.33,-0.23,-0.08,-0.02
MOD is to ~ TO INF,0.33,-0.23,-0.08,-0.02
MOD can ~ PRES PART,0.33,-0.23,-0.08,-0.02
PRES PROG ~ TO INF,0.33,-0.23,-0.08,-0.02
FUT ~ PAST PROG,0.33,-0.23,-0.08,-0.02
FUT ~ MOD may,0.33,-0.23,-0.08,-0.02
MOD let,0.33,-0.23,-0.08,-0.02
PAST ~ VB,0.33,-0.23,-0.08,-0.02
PRES PART ~ PRES PERF PROG,0.33,-0.23,-0.08,-0.02
PAST PROG ~ TO INF,-0.67,0.77,-0.08,-0.02
PRES PERF ~ PRES PERF PROG,0.33,-0.23,-0.08,-0.02
PRES PERF ~ TO INF,0.33,-0.23,-0.08,-0.02
PRES PROG ~ PRES PROG keep,0.33,-0.23,-0.08,-0.02
MOD shall ~ PRES PERF,0.33,-0.23,-0.08,-0.02
MOD would ~ PRES PROG,0.33,-0.23,-0.08,-0.02
HAB used to ~ PAST,-0.67,0.77,-0.08,-0.02
MOD is to ~ MOD would,0.33,-0.23,-0.08,-0.02
MOD could ~ PRES PART,-0.67,0.77,-0.08,-0.02
MOD can ~ MOD may,0.33,-0.23,-0.08,-0.02
IMPV ~ PRES PROG,0.33,-0.23,-0.08,-0.02
IMPV ~ PAST,-0.67,-0.23,0.92,-0.02
HAB used to ~ PAST PERF,-0.67,0.77,-0.08,-0.02
FUT ~ VB,0.33,-0.23,-0.08,-0.02
MOD would ~ PRES PERF,0.33,-0.23,-0.08,-0.02
FUT ~ PAST,0.33,-0.23,-0.08,-0.02
FUT ~ MOD would,0.33,-0.23,-0.08,-0.02
FUT ~ MOD can,0.33,-0.23,-0.08,-0.02
FUT ~ FUT PROG,0.33,-0.23,-0.08,-0.02
FUT going-to ~ PRES PART,0.33,-0.23,-0.08,-0.02
FUT PROG ~ PRES PROG,0.33,-0.23,-0.08,-0.02
MOD let ~ TO INF,0.33,-0.23,-0.08,-0.02
MOD may ~ PRES PART,0.33,-0.23,-0.08,-0.02
MOD might,-0.67,0.77,-0.08,-0.02
MOD must,0.33,-0.23,-0.08,-0.02
MOD must ~ PRES PROG,0.33,-0.23,-0.08,-0.02
MOD need not ~ TO INF,0.33,-0.23,-0.08,-0.02
MOD shall,0.33,-0.23,-0.08,-0.02
MOD shall ~ PAST,0.33,-0.23,-0.08,-0.02
MOD shall ~ PRES PART,0.33,-0.23,-0.08,-0.02
FUT PROG ~ MOD is to,0.33,-0.23,-0.08,-0.02
MOD should ~ MOD was to,-0.67,0.77,-0.08,-0.02
MOD should ~ PAST,-0.67,0.77,-0.08,-0.02
MOD should ~ PRES,0.33,-0.23,-0.08,-0.02
MOD should ~ PRES PERF,0.33,-0.23,-0.08,-0.02
MOD that VB ~ PRES PART,-0.67,0.77,-0.08,-0.02
MOD was to,-0.67,0.77,-0.08,-0.02
MOD was to ~ PRES PART,-0.67,0.77,-0.08,-0.02
TO INF ~ VB,-0.67,0.77,-0.08,-0.02
