,sum
FUT,2643
IMPV,832
PRES,674
MOD is to,347
PAST,345
MOD shall,222
MOD must,167
TO INF,131
MOD may,119
PRES PART,79
PRES PERF,68
MOD would,52
MOD let,44
MOD can,33
MOD should,12
PAST PERF,7
FUT going-to,5
PAST PROG,5
MOD was to,4
MOD could,4
MOD might,4
HAB used to,3
FUT PERF,3
PRES PROG,3
MOD that be,2
MOD VB,2
FUT PROG,1
MOD quest must,1
