eng_TAMsimp,poetry,prophetic,prose,instruction,list
PRES,0.22,-0.05,-0.15,-0.01,-0.0
FUT,-0.01,0.14,0.02,-0.14,-0.0
FUT ~ MOD shall,-0.21,0.3,-0.02,-0.08,0.0
IMPV,0.01,-0.02,0.12,-0.11,-0.0
IMPV ~ MOD shall,-0.3,-0.24,-0.03,0.57,0.01
PAST,0.19,-0.1,0.01,-0.13,0.02
FUT ~ PRES,0.17,0.02,-0.09,-0.1,-0.0
MOD let,0.08,-0.03,0.06,-0.12,-0.0
MOD must ~ MOD shall,-0.3,-0.22,-0.11,0.62,-0.0
MOD may,-0.09,-0.18,0.17,0.11,-0.0
MOD is to ~ MOD shall,-0.3,-0.19,-0.09,0.56,0.02
MOD can,0.17,-0.02,-0.04,-0.11,-0.0
MOD shall,-0.25,-0.19,0.17,0.27,-0.0
MOD shall ~ PRES,-0.15,-0.05,-0.05,0.23,0.02
FUT ~ MOD may,-0.04,-0.06,0.1,0.0,-0.0
MOD would,0.14,-0.07,0.06,-0.14,0.0
IMPV ~ MOD let,-0.04,-0.1,0.24,-0.1,-0.0
PAST ~ PRES,0.22,0.05,-0.16,-0.11,0.01
MOD let ~ MOD may,0.41,-0.24,-0.04,-0.13,-0.0
PRES ~ PRES PART,0.14,-0.01,-0.1,-0.03,-0.0
PRES ~ PRES PERF,0.06,-0.07,-0.04,0.05,-0.0
MOD should,-0.1,-0.13,0.36,-0.13,-0.0
FUT ~ MOD lest,-0.1,-0.15,0.18,0.07,-0.0
MOD can ~ PRES,0.2,-0.06,-0.01,-0.13,-0.0
TO INF,-0.05,-0.02,0.16,-0.08,-0.0
FUT ~ MOD can,0.05,0.07,0.0,-0.12,-0.0
MOD may ~ PRES,0.02,-0.11,0.08,0.02,-0.0
PRES PERF,0.14,-0.09,-0.02,-0.03,-0.0
MOD may ~ MOD shall,-0.03,-0.2,-0.0,0.24,-0.0
IMPV ~ PRES,0.18,0.0,-0.08,-0.1,-0.0
MOD can ~ MOD may,-0.15,-0.17,0.36,-0.04,-0.0
PRES PART,0.04,0.1,-0.03,-0.1,-0.0
PRES ~ TO INF,0.02,-0.13,-0.12,0.24,-0.0
MOD should ~ PRES,0.04,-0.09,0.14,-0.1,-0.0
MOD can ~ MOD shall,0.0,-0.01,0.11,-0.09,-0.0
FUT ~ MOD would,0.14,-0.05,0.05,-0.14,-0.0
MOD must,-0.16,0.03,0.12,0.02,-0.0
MOD shall ~ TO INF,-0.27,-0.02,0.3,-0.01,-0.0
MOD could,-0.03,-0.13,0.17,-0.01,-0.0
PAST ~ PRES PERF,0.38,-0.07,-0.22,-0.08,-0.0
