eng_TAMsimp,TOTAL,poetry,prose,prophetic,instruction,list
PRES,2696,1272,421,652,349,2
FUT,2518,752,736,967,62,1
FUT ~ MOD shall,1769,189,469,971,130,10
IMPV,678,224,270,165,19,0
MOD let,555,183,232,125,15,0
IMPV ~ MOD shall,510,0,127,28,349,6
PAST,452,219,131,86,5,11
FUT ~ PRES,443,206,85,133,19,0
MOD may,402,89,183,50,80,0
MOD must ~ MOD shall,341,1,60,24,255,1
MOD is to ~ MOD shall,295,0,55,29,204,7
MOD can,271,124,66,72,9,0
MOD shall,221,11,99,22,89,0
FUT ~ MOD may,165,42,69,35,19,0
MOD shall ~ PRES,153,24,35,36,55,3
IMPV ~ MOD let,140,37,76,22,5,0
MOD would,137,66,43,27,0,1
MOD let ~ MOD may,132,88,37,6,1,0
PAST ~ PRES,114,59,13,37,3,2
PRES ~ PRES PART,97,41,17,28,11,0
PRES ~ PRES PERF,88,31,21,19,17,0
MOD should,84,17,53,13,1,0
TO INF,79,17,37,21,4,0
FUT ~ MOD lest,72,14,33,10,15,0
MOD can ~ PRES,72,35,20,16,1,0
MOD can ~ MOD may,69,10,48,6,5,0
MOD may ~ PRES,68,20,27,11,10,0
FUT ~ MOD can,67,22,19,25,1,0
PRES PERF,61,26,16,12,7,0
IMPV ~ PRES,59,27,14,16,2,0
MOD may ~ MOD shall,58,15,16,5,22,0
PRES PART,50,16,12,20,2,0
MOD can ~ MOD shall,46,13,17,14,2,0
FUT ~ MOD would,46,20,16,10,0,0
MOD may ~ TO INF,46,2,38,3,3,0
MOD should ~ PRES,45,15,19,9,2,0
PRES ~ TO INF,45,14,7,7,17,0
MOD could,41,13,17,6,5,0
MOD must,40,6,15,13,6,0
MOD shall ~ TO INF,38,1,22,10,5,0
PAST ~ PRES PERF,34,22,2,8,2,0
IMPV ~ MOD may,34,8,22,1,3,0
FUT ~ MOD let,34,13,13,7,1,0
FUT ~ TO INF,31,9,15,7,0,0
MOD shall ~ MOD should,31,2,15,13,1,0
MOD let ~ PRES,29,15,8,6,0,0
MOD would ~ PAST,29,3,16,7,2,1
FUT ~ IMPV,24,8,8,7,1,0
MOD would ~ PRES,24,17,5,1,1,0
MOD let ~ TO INF,22,6,15,1,0,0
PAST ~ PRES PART,21,7,5,7,1,1
MOD shall ~ PRES PART,21,0,2,9,10,0
MOD must ~ PRES,19,7,5,2,5,0
MOD should ~ TO INF,19,5,10,3,0,1
FUT ~ PRES PART,19,2,6,11,0,0
FUT ~ PAST,17,4,5,8,0,0
MOD let ~ MOD shall,17,0,4,6,7,0
MOD lest ~ MOD may,16,4,3,2,7,0
PRES ~ PRES PROG,16,2,7,2,5,0
MOD let ~ MOD must,14,0,11,1,2,0
IMPV ~ MOD must,14,0,11,2,1,0
MOD lest ~ PRES,14,2,10,1,1,0
MOD should ~ MOD would,14,7,4,2,1,0
MOD shall ~ PAST,14,0,5,7,2,0
MOD might,13,6,4,3,0,0
PAST ~ TO INF,13,3,4,3,1,2
HAB used to ~ PAST,12,1,9,2,0,0
MOD let ~ PAST,12,9,1,1,1,0
MOD may ~ MOD must,12,1,6,0,5,0
FUT ~ MOD should,12,5,2,4,1,0
IMPV ~ MOD can,12,10,2,0,0,0
MOD let ~ MOD should,11,1,9,1,0,0
IMPV ~ MOD should,11,0,1,10,0,0
