genre,instruction,prophetic,prose,poetry,list,prophetic,instruction,instruction,prose,prophetic,prose,list,prophetic,instruction,poetry,list
domain2,Q,Q,Q,Q,N,?,?,D,N,D,D,Q,N,N,?,?
eng_TAMsimp,,,,,,,,,,,,,,,,
MOD let ~ MOD may,-0.34,-0.16,0.37,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.25,-0.0,-0.0,-0.0
MOD is to ~ PRES,0.16,-0.16,-0.0,-0.02,-0.02,-0.02,-0.01,0.11,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD let,0.54,-0.29,-0.13,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD lest ~ TO INF,-0.34,-0.15,0.6,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PROG,-0.34,-0.15,-0.11,-0.02,-0.02,-0.02,-0.01,-0.01,0.42,-0.01,0.14,-0.01,0.14,-0.0,-0.0,-0.0
MOD is to ~ PAST,0.23,-0.15,-0.25,-0.02,-0.02,-0.02,0.27,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD may,-0.34,-0.0,-0.11,0.55,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
PAST ~ TO INF,-0.34,-0.0,-0.25,0.12,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,0.43,-0.0,0.14
MOD shall ~ PRES PERF,-0.17,0.21,-0.09,-0.02,-0.02,-0.02,-0.01,0.16,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PERF,-0.34,0.38,0.08,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD must,0.46,-0.29,-0.05,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
IMPV ~ PAST,-0.14,-0.29,0.55,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD lest,-0.14,0.11,0.15,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD shall ~ MOD would,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES,-0.14,-0.29,0.15,0.38,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
FUT ~ FUT PERF,-0.34,-0.29,0.5,0.23,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD can,-0.34,0.21,-0.0,-0.02,-0.02,0.23,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
HAB used to ~ PAST,-0.34,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,0.74,-0.01,0.24,-0.01,-0.0,-0.0,-0.0,-0.0
MOD shall ~ MOD should,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD may,-0.09,-0.29,0.25,-0.02,-0.02,0.23,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD should ~ PRES,-0.09,-0.04,0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD let ~ TO INF,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD must,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD VB ~ PRES,0.33,0.04,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD is to ~ TO INF,0.33,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,0.32,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD may,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD would,-0.34,-0.29,0.08,-0.02,-0.02,-0.02,-0.01,-0.01,0.66,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
HAB used to ~ MOD would,-0.34,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,0.66,-0.01,0.33,-0.01,-0.0,-0.0,-0.0,-0.0
MOD can ~ PRES,-0.01,-0.29,0.08,0.31,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD should ~ TO INF,-0.34,0.04,-0.25,0.64,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PERF,-0.34,-0.29,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,0.66,-0.01,-0.01,-0.01,0.33,-0.0,-0.0,-0.0
FUT ~ FUT going-to,-0.34,0.38,0.08,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES PART,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD is to,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD must,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD let,0.16,-0.29,0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD might,0.16,-0.29,0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
FUT going-to ~ MOD shall,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD was to ~ PAST,-0.34,-0.29,-0.25,-0.02,0.98,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD should,-0.34,-0.29,-0.25,0.98,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PROG,-0.34,-0.29,0.75,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES PART,0.16,-0.29,0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES,-0.34,-0.29,-0.25,0.48,-0.02,-0.02,0.49,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
PRES PART ~ PRES PERF,-0.34,0.71,-0.25,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0
