genre,prose,prophetic,prose,poetry,prose,instruction,prophetic,list,poetry,prophetic,list,instruction,poetry,prophetic,instruction,poetry,prose,list,instruction
domain2,Q,Q,N,Q,?,Q,?,N,?,N,?,N,D,D,D,N,D,Q,?
eng_TAM,,,,,,,,,,,,,,,,,,,
PAST..IND,5.1,7.15,2.85,8.07,20.28,66.39,67.48,30.72,196.0,67.48,44.26,56.38,316.62,823.2,294.0,274.4,257.25,823.2,4116.0
PRES.PERF.IND,2.3,3.41,470.8,5.5,inf,21.6,138.47,2354.0,130.78,588.5,inf,inf,130.78,261.56,214.0,588.5,1177.0,336.29,336.29
PRES..IND,5.99,2.5,343.67,3.35,inf,54.26,25.15,2062.0,24.55,121.29,inf,2062.0,103.1,128.88,412.4,687.33,inf,inf,515.5
PAST.PERF.IND,9.54,23.0,1.46,31.28,25.23,inf,391.0,65.17,391.0,22.34,260.67,97.75,782.0,391.0,inf,391.0,130.33,391.0,inf
FUT..IND,6.27,1.77,inf,7.67,inf,23.0,17.25,inf,inf,inf,inf,inf,69.0,34.5,inf,inf,inf,inf,inf
PAST..SUBJ,3.26,10.33,3.44,4.13,inf,inf,inf,62.0,inf,62.0,inf,inf,inf,62.0,62.0,inf,inf,inf,inf
PRES..MOD,6.11,9.17,2.39,6.11,13.75,inf,inf,27.5,inf,55.0,inf,inf,inf,inf,inf,inf,inf,55.0,inf
PRES..,10.67,2.91,4.57,4.0,inf,inf,inf,32.0,32.0,32.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PROG.IND,1.5,3.6,inf,18.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST.PROG.IND,2.6,inf,2.17,inf,13.0,inf,inf,inf,inf,13.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
..,2.5,2.5,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
past.PERF_PROG.IND,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT.PERF.IND,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PERF_PROG.IND,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
