genre,prose,prose,prophetic,prose,prophetic,poetry,prophetic,prose,poetry,poetry,prose,prose,list,instruction,list,poetry,prophetic,prose,instruction,instruction,prophetic,prophetic,prophetic,instruction,prophetic,prophetic,prose,poetry,prose,poetry,poetry,prose,poetry,poetry,prose,prophetic,prophetic,prose,prophetic,poetry,poetry,instruction,poetry,list,prose,instruction,prose,prophetic,prophetic,prose,poetry,poetry,poetry,instruction,instruction,prose,list,prophetic,prose,prophetic,prose,prose,prophetic,prose,instruction,prose,list,prophetic,prophetic,prophetic,instruction,prose,poetry,instruction,list,poetry,prose,prose,list,prophetic,prose,prose,list,prophetic,prophetic,prophetic,prophetic,poetry,poetry,instruction,instruction,prophetic,prose,list,list,list,list,list,poetry,prophetic,poetry,poetry,prose,poetry,prose,prophetic,prophetic,prophetic,instruction
domain2,N,Q,Q,Q,Q,Q,Q,N,Q,Q,Q,?,N,Q,?,?,?,Q,N,Q,N,?,Q,Q,N,Q,?,Q,N,?,D,Q,D,?,N,N,?,D,D,Q,N,D,D,N,Q,D,Q,Q,D,Q,Q,Q,Q,N,?,N,Q,Q,D,Q,N,N,Q,N,D,Q,Q,D,?,N,?,?,N,Q,?,N,Q,D,Q,D,N,Q,N,D,?,Q,Q,?,N,D,N,N,N,N,N,N,N,Q,?,N,D,D,?,Q,Q,D,N,N,?
eng_TAM,PAST..IND,PRES.PERF.IND,PRES..IND,PAST..IND,PRES.PERF.IND,PRES..IND,PAST..IND,PAST.PERF.IND,PAST..IND,PRES.PERF.IND,PRES..IND,PAST..IND,PAST..IND,PRES.PERF.IND,PAST..IND,PRES..IND,PRES..IND,PAST.PERF.IND,PAST..IND,PAST..IND,PAST..IND,PAST..IND,FUT..IND,PRES..IND,PAST.PERF.IND,PAST.PERF.IND,PAST.PERF.IND,PAST.PERF.IND,PRES..MOD,PAST..IND,PRES..IND,PAST..SUBJ,PRES.PERF.IND,PRES.PERF.IND,PAST..SUBJ,PRES..IND,PRES.PERF.IND,PAST..IND,PRES..IND,PAST..SUBJ,PAST..IND,PAST..IND,PAST..IND,PAST.PERF.IND,PRES.PROG.IND,PRES.PERF.IND,FUT..IND,PRES..,PRES.PERF.IND,PRES..MOD,PRES..MOD,FUT..IND,PRES..,PAST.PERF.IND,PRES.PERF.IND,PRES..,PRES.PERF.IND,PAST..SUBJ,PAST.PERF.IND,PRES..MOD,PAST.PROG.IND,PRES..IND,PRES.PROG.IND,PRES.PERF.IND,PRES..IND,PAST.PROG.IND,PAST..IND,PAST..IND,FUT..IND,PRES.PERF.IND,PRES..IND,PRES..MOD,PRES.PERF.IND,FUT..IND,PAST.PERF.IND,PRES..IND,PRES..,PRES.PERF.IND,PAST.PERF.IND,PAST.PERF.IND,past.PERF_PROG.IND,..,PRES..MOD,FUT..IND,PAST.PERF.IND,..,FUT.PERF.IND,PAST.PERF.IND,PAST.PERF.IND,PAST..SUBJ,PRES..IND,PAST.PROG.IND,..,PAST..SUBJ,PRES..,PRES..IND,PRES.PERF.IND,PRES..MOD,PRES..,PAST..SUBJ,FUT..IND,PAST.PERF.IND,PAST.PROG.IND,PRES.PROG.IND,PRES.PERF_PROG.IND,PAST..SUBJ,PRES..MOD,PRES..,PAST..IND
prec_part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ø,16.58,10.76,9.71,19.41,11.13,7.7,15.99,126.17,9.12,11.83,24.96,141.94,151.4,81.11,189.25,44.53,58.23,324.43,162.21,1135.5,126.17,283.88,174.69,283.88,inf,inf,inf,1135.5,inf,227.1,206.45,454.2,141.94,189.25,inf,2271.0,252.33,2271.0,252.33,567.75,1135.5,inf,252.33,inf,454.2,inf,757.0,567.75,757.0,2271.0,2271.0,1135.5,1135.5,2271.0,inf,1135.5,2271.0,757.0,inf,757.0,2271.0,inf,inf,1135.5,2271.0,2271.0,2271.0,2271.0,757.0,1135.5,inf,inf,567.75,1135.5,inf,757.0,2271.0,inf,inf,inf,inf,1135.5,inf,2271.0,inf,2271.0,inf,inf,inf,inf,inf,inf,2271.0,inf,inf,inf,inf,inf,2271.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
_>CR_,11.36,7.11,58.48,5.16,15.95,58.48,13.38,6.34,52.63,56.39,63.16,45.11,98.69,56.39,112.79,1579.0,inf,112.79,105.27,65.79,157.9,41.55,inf,315.8,65.79,112.79,157.9,394.75,inf,394.75,1579.0,789.5,inf,inf,inf,inf,789.5,1579.0,inf,1579.0,inf,526.33,1579.0,315.8,1579.0,394.75,inf,1579.0,inf,inf,1579.0,inf,inf,315.8,263.17,inf,789.5,inf,1579.0,inf,inf,526.33,1579.0,inf,1579.0,inf,1579.0,inf,inf,inf,inf,inf,inf,inf,1579.0,inf,1579.0,inf,789.5,inf,789.5,inf,inf,inf,789.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1579.0,1579.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
_W_,2.89,15.34,21.22,26.52,22.33,25.98,20.53,25.46,25.98,42.43,67.0,19.89,39.78,106.08,33.5,70.72,424.33,636.5,115.73,1273.0,79.56,1273.0,424.33,636.5,636.5,212.17,159.12,636.5,63.65,1273.0,636.5,254.6,1273.0,1273.0,70.72,1273.0,inf,636.5,inf,636.5,1273.0,inf,inf,inf,636.5,inf,1273.0,1273.0,inf,1273.0,424.33,636.5,318.25,inf,inf,1273.0,1273.0,636.5,636.5,inf,636.5,1273.0,inf,1273.0,inf,424.33,inf,1273.0,1273.0,1273.0,636.5,424.33,inf,inf,inf,inf,inf,1273.0,inf,1273.0,inf,inf,636.5,inf,inf,inf,inf,inf,1273.0,1273.0,inf,1273.0,inf,1273.0,1273.0,inf,inf,1273.0,inf,1273.0,1273.0,inf,1273.0,inf,inf,1273.0,1273.0,inf,inf
_KJ_,6.67,6.24,14.98,17.09,7.85,13.72,48.7,8.85,36.07,19.48,28.65,324.67,139.14,139.14,194.8,243.5,974.0,194.8,inf,108.22,487.0,inf,243.5,243.5,243.5,inf,162.33,487.0,487.0,inf,974.0,inf,inf,487.0,inf,487.0,243.5,194.8,324.67,974.0,inf,243.5,inf,inf,inf,inf,974.0,974.0,194.8,487.0,inf,inf,inf,inf,inf,inf,974.0,inf,324.67,inf,487.0,inf,974.0,974.0,inf,974.0,974.0,inf,inf,974.0,inf,inf,inf,974.0,487.0,inf,inf,inf,inf,974.0,inf,inf,inf,974.0,inf,inf,inf,974.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,974.0,inf,inf,inf,inf,inf,inf,inf
_KH_,199.5,inf,1.51,199.5,inf,inf,66.5,inf,inf,inf,4.53,inf,inf,inf,inf,inf,16.62,inf,inf,inf,inf,inf,inf,133.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,66.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,199.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,399.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
_K_>CR_,4.23,15.41,262.0,3.91,18.71,262.0,16.38,7.49,131.0,65.5,65.5,inf,52.4,65.5,262.0,inf,inf,inf,52.4,37.43,131.0,262.0,inf,262.0,262.0,131.0,131.0,262.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,131.0,inf,131.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,262.0,inf,inf,262.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,262.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
_W_>T_,1.84,13.36,29.4,14.7,49.0,147.0,12.25,49.0,29.4,inf,147.0,147.0,29.4,inf,inf,inf,inf,inf,49.0,147.0,147.0,inf,inf,inf,inf,147.0,inf,inf,147.0,inf,inf,inf,inf,inf,inf,147.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,73.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
_B_,6.95,24.33,13.27,20.86,14.6,10.43,7.68,inf,9.73,16.22,146.0,29.2,inf,73.0,inf,73.0,146.0,inf,73.0,146.0,146.0,73.0,48.67,inf,146.0,inf,inf,inf,inf,inf,inf,inf,146.0,146.0,inf,inf,inf,inf,146.0,inf,146.0,inf,73.0,inf,inf,146.0,146.0,146.0,inf,inf,inf,146.0,inf,inf,inf,146.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,146.0,146.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
_W_B_,5.62,10.0,22.5,22.5,15.0,30.0,9.0,inf,12.86,18.0,inf,12.86,22.5,30.0,22.5,inf,90.0,inf,inf,90.0,90.0,90.0,90.0,inf,inf,90.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,90.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,90.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
_HNH_,inf,2.95,13.0,10.83,9.29,inf,32.5,inf,65.0,32.5,9.29,inf,inf,21.67,inf,inf,inf,inf,inf,inf,inf,inf,32.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,65.0,inf,inf,inf,inf,16.25,inf,inf,inf,inf,65.0,inf,inf,inf,inf,inf,inf,65.0,inf,inf,inf,inf,inf,65.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
_W_L_,2.42,31.5,63.0,21.0,31.5,21.0,63.0,63.0,15.75,31.5,inf,inf,31.5,inf,10.5,inf,inf,inf,31.5,inf,63.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
_>M_,30.5,10.17,20.33,inf,30.5,4.36,20.33,inf,10.17,4.36,15.25,inf,inf,30.5,inf,inf,inf,61.0,inf,inf,inf,inf,inf,inf,inf,61.0,inf,30.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,61.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
