,prose,prose,prophetic,prose,prophetic,poetry,prophetic,prose,poetry,poetry,prose,prose,list,instruction,list,poetry,prophetic,prose,instruction,instruction,prophetic,prophetic,prophetic,instruction,prophetic,prophetic,prose,poetry,prose,poetry,poetry,prose,poetry,poetry,prose,prophetic,prophetic,prose,prophetic,poetry,poetry,instruction,poetry,list,prose,instruction,prose,prophetic,prophetic,prose,poetry,poetry,poetry,instruction,instruction,prose,list,prophetic,prose,prophetic,prose,prose,prophetic,prose,instruction,prose,list,prophetic,prophetic,prophetic,instruction,prose,poetry,instruction,list,poetry,prose,prose,list,prophetic,prose,prose,list,prophetic,prophetic,prophetic,prophetic,poetry,poetry,instruction,instruction,prophetic,prose,list,list,list,list,list,poetry,prophetic,poetry,poetry,prose,poetry,prose,prophetic,prophetic,prophetic,instruction
,N,Q,Q,Q,Q,Q,Q,N,Q,Q,Q,?,N,Q,?,?,?,Q,N,Q,N,?,Q,Q,N,Q,?,Q,N,?,D,Q,D,?,N,N,?,D,D,Q,N,D,D,N,Q,D,Q,Q,D,Q,Q,Q,Q,N,?,N,Q,Q,D,Q,N,N,Q,N,D,Q,Q,D,?,N,?,?,N,Q,?,N,Q,D,Q,D,N,Q,N,D,?,Q,Q,?,N,D,N,N,N,N,N,N,N,Q,?,N,D,D,?,Q,Q,D,N,N,?
,PAST..IND,PRES.PERF.IND,PRES..IND,PAST..IND,PRES.PERF.IND,PRES..IND,PAST..IND,PAST.PERF.IND,PAST..IND,PRES.PERF.IND,PRES..IND,PAST..IND,PAST..IND,PRES.PERF.IND,PAST..IND,PRES..IND,PRES..IND,PAST.PERF.IND,PAST..IND,PAST..IND,PAST..IND,PAST..IND,FUT..IND,PRES..IND,PAST.PERF.IND,PAST.PERF.IND,PAST.PERF.IND,PAST.PERF.IND,PRES..MOD,PAST..IND,PRES..IND,PAST..SUBJ,PRES.PERF.IND,PRES.PERF.IND,PAST..SUBJ,PRES..IND,PRES.PERF.IND,PAST..IND,PRES..IND,PAST..SUBJ,PAST..IND,PAST..IND,PAST..IND,PAST.PERF.IND,PRES.PROG.IND,PRES.PERF.IND,FUT..IND,PRES..,PRES.PERF.IND,PRES..MOD,PRES..MOD,FUT..IND,PRES..,PAST.PERF.IND,PRES.PERF.IND,PRES..,PRES.PERF.IND,PAST..SUBJ,PAST.PERF.IND,PRES..MOD,PAST.PROG.IND,PRES..IND,PRES.PROG.IND,PRES.PERF.IND,PRES..IND,PAST.PROG.IND,PAST..IND,PAST..IND,FUT..IND,PRES.PERF.IND,PRES..IND,PRES..MOD,PRES.PERF.IND,FUT..IND,PAST.PERF.IND,PRES..IND,PRES..,PRES.PERF.IND,PAST.PERF.IND,PAST.PERF.IND,past.PERF_PROG.IND,..,PRES..MOD,FUT..IND,PAST.PERF.IND,..,FUT.PERF.IND,PAST.PERF.IND,PAST.PERF.IND,PAST..SUBJ,PRES..IND,PAST.PROG.IND,..,PAST..SUBJ,PRES..,PRES..IND,PRES.PERF.IND,PRES..MOD,PRES..,PAST..SUBJ,FUT..IND,PAST.PERF.IND,PAST.PROG.IND,PRES.PROG.IND,PRES.PERF_PROG.IND,PAST..SUBJ,PRES..MOD,PRES..,PAST..IND
Ø,0.29,0.82,1.3,0.52,1.38,3.25,1.06,0.1,3.32,2.77,1.16,0.27,0.4,1.11,0.47,5.06,2.95,0.3,0.76,0.11,1.35,0.48,1.61,0.86,0.0,0.0,0.0,0.28,0.0,2.93,3.94,1.15,25.9,6.46,0.0,0.2,3.63,0.21,4.15,1.17,0.49,0.0,7.26,0.0,2.3,0.0,1.21,1.84,1.61,0.4,0.4,0.92,1.07,0.46,0.0,1.29,0.54,3.22,0.0,3.22,0.64,0.0,0.0,2.14,0.8,0.8,0.8,0.8,9.66,3.22,0.0,0.0,inf,6.44,0.0,inf,1.61,0.0,0.0,0.0,0.0,inf,0.0,3.22,0.0,3.22,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_>CR_,0.49,1.47,0.16,3.6,0.84,0.22,1.33,5.05,0.3,0.34,0.39,1.06,0.68,1.76,0.9,0.06,0.0,1.04,1.31,3.23,0.99,8.55,0.0,0.77,11.2,3.57,2.42,0.96,0.0,1.19,0.27,0.6,0.0,0.0,0.0,0.0,0.67,0.34,0.0,0.36,0.0,1.38,0.42,3.62,0.46,2.9,0.0,0.51,0.0,0.0,0.63,0.0,0.0,8.46,30.49,0.0,2.03,0.0,1.01,0.0,0.0,5.07,1.27,0.0,1.27,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,0.0,2.53,0.0,inf,0.0,inf,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_,3.85,0.55,0.49,0.39,0.57,0.55,0.78,0.66,0.68,0.48,0.37,3.11,2.07,0.8,4.61,1.79,0.25,0.16,1.16,0.11,2.34,0.11,0.54,0.36,0.39,1.4,2.28,0.57,44.14,0.33,0.72,2.33,0.38,0.38,inf,0.41,0.0,0.93,0.0,1.0,0.47,0.0,0.0,0.0,1.3,0.0,0.65,0.65,0.0,0.81,3.27,1.86,6.54,0.0,0.0,1.09,1.09,3.26,3.26,0.0,3.26,1.3,0.0,1.63,0.0,9.8,0.0,1.63,2.17,2.17,6.53,19.6,0.0,0.0,0.0,0.0,0.0,6.52,0.0,6.52,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,6.52,inf,0.0,inf,0.0,inf,inf,0.0,0.0,inf,0.0,inf,inf,0.0,inf,0.0,0.0,inf,inf,0.0,0.0
_KJ_,0.99,1.7,0.74,0.65,2.07,1.16,0.3,2.45,0.48,1.18,0.97,0.13,0.48,0.6,0.5,0.44,0.11,0.57,0.0,1.5,0.3,0.0,1.01,1.04,1.14,0.0,2.13,0.77,0.84,0.0,0.46,0.0,0.0,1.1,0.0,1.18,2.72,4.03,2.04,0.63,0.0,3.54,0.0,0.0,0.0,0.0,0.88,0.88,11.09,2.53,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,8.85,0.0,4.42,0.0,2.21,2.21,0.0,2.21,2.21,0.0,0.0,2.94,0.0,0.0,0.0,4.42,17.69,0.0,0.0,0.0,0.0,8.84,0.0,0.0,0.0,8.84,0.0,0.0,0.0,8.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_KH_,0.03,0.0,30.42,0.05,0.0,0.0,0.23,0.0,0.0,0.0,9.86,0.0,0.0,0.0,0.0,0.0,10.06,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_K_>CR_,1.78,0.57,0.04,3.98,0.72,0.05,1.02,2.72,0.13,0.32,0.41,0.0,1.38,1.36,0.38,0.0,0.0,0.0,2.64,4.62,1.21,0.59,0.0,0.96,1.05,2.23,2.46,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.96,0.0,7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09,0.0,0.0,5.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_>T_,7.05,0.67,0.37,0.79,0.27,0.1,1.4,0.35,0.62,0.0,0.18,0.31,2.54,0.0,0.0,0.0,0.0,0.0,2.78,1.05,1.07,0.0,0.0,0.0,0.0,1.95,0.0,0.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_B_,0.94,0.35,0.86,0.54,0.95,1.55,2.38,0.0,2.07,1.41,0.18,1.65,0.0,1.21,0.0,1.58,0.8,0.0,1.83,1.06,1.08,2.21,5.47,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82,3.82,0.0,0.0,0.0,0.0,4.33,0.0,4.64,0.0,11.89,0.0,0.0,6.49,6.49,6.49,0.0,0.0,0.0,8.12,0.0,0.0,0.0,10.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
