bhsa_node,lxx,lxx_tense,lxx_voice,lxx_mood,lxx_person,lxx_number,lxx_verse,lxx_tm
27,ἐπεφέρετο,imperfect,middle,indc,3,sg,GEN 1:2,imperfect indc
90,διαχωρίζον,present,active,ptcp,,sg,GEN 1:6,present ptcp
187,σπεῖρον,present,active,ptcp,,sg,GEN 1:11,present ptcp
191,ποιοῦν,present,active,ptcp,,sg,GEN 1:11,present ptcp
210,σπεῖρον,present,active,ptcp,,sg,GEN 1:12,present ptcp
216,ποιοῦν,present,active,ptcp,,sg,GEN 1:12,present ptcp
395,,,,,,,,
530,ἑρπόντων,present,active,ptcp,,pl,GEN 1:26,present ptcp
586,,,,,,,,
599,σπεῖρον,present,active,ptcp,,sg,GEN 1:29,present ptcp
616,σπεῖρον,present,active,ptcp,,sg,GEN 1:29,present ptcp
841,,,,,,,,
865,ἐκπορεύεται,present,middle,indc,3,sg,GEN 2:10,present indc
888,κυκλῶν,present,active,ptcp,,sg,GEN 2:11,present ptcp
921,κυκλῶν,present,active,ptcp,,sg,GEN 2:13,present ptcp
935,πορευόμενος,present,middle,ptcp,,sg,GEN 2:14,present ptcp
1243,ᾔδει,pluperfect,active,indc,3,sg,GEN 3:5,pluperfect indc
1279,ἐστιν,present,active,indc,3,sg,GEN 3:6,present indc
1321,περιπατοῦντος,present,active,ptcp,,sg,GEN 3:8,present ptcp
1435,,,,,,,,
1519,,,,,,,,
1659,στρεφομένην,present,middle,ptcp,,sg,GEN 3:24,present ptcp
1779,ἡσύχασον,aorist,active,impv,2,sg,GEN 4:7,aorist impv
1821,,,,,,,,
1831,βοᾷ,present,active,indc,3,sg,GEN 4:10,present indc
1838,,,,,,,,
1905,εὑρίσκων,present,active,ptcp,,sg,GEN 4:14,present ptcp
1913,ἀποκτείνας,aorist,active,ptcp,,sg,GEN 4:15,aorist ptcp
1956,οἰκοδομῶν,present,active,ptcp,,sg,GEN 4:17,present ptcp
2846,καταφθείρω,present,active,indc,1,sg,GEN 6:13,present indc
2916,ἐπάγω,present,active,indc,1,sg,GEN 6:17,present indc
3111,ἐπάγω,present,active,indc,1,sg,GEN 7:4,present indc
3193,,,,,,,,
3320,κινούμενον,present,middle,ptcp,,sg,GEN 7:14,present ptcp
3355,,,,,,,,
3453,κινουμένη,present,middle,ptcp,,sg,GEN 7:21,present ptcp
3474,κινούμενον,present,middle,ptcp,,sg,GEN 7:21,present ptcp
3893,κινούμενον,present,middle,ptcp,,sg,GEN 8:17,present ptcp
3933,κινούμενον,present,middle,ptcp,,sg,GEN 8:19,present ptcp
4178,ἀνίστημι,present,active,indc,1,sg,GEN 9:9,present indc
4209,ἐξελθόντων,aorist,active,ptcp,,pl,GEN 9:10,aorist ptcp
4250,δίδωμι,present,active,indc,1,sg,GEN 9:12,present indc
4375,ἐξελθόντες,aorist,active,ptcp,,pl,GEN 9:18,aorist ptcp
4482,,,,,,,,
4491,,,,,,,,
5631,ὀφθέντι,aorist,passsive,ptcp,,sg,GEN 12:7,aorist ptcp
5944,συμπορευομένῳ,present,middle,ptcp,,sg,GEN 13:5,present ptcp
5991,κατῴκουν,imperfect,active,indc,3,pl,GEN 13:7,imperfect indc
6151,ὁρᾷς,present,active,indc,2,sg,GEN 13:15,present indc
6339,κατοικοῦντας,present,active,ptcp,,pl,GEN 14:7,present ptcp
6438,κατοικῶν,present,active,ptcp,,sg,GEN 14:12,present ptcp
6453,κατῴκει,imperfect,active,indc,3,sg,GEN 14:13,imperfect indc
6574,εὐλογημένος,perfect,passsive,ptcp,,sg,GEN 14:19,perfect ptcp
6584,,,,,,,,
6704,ἀπολύομαι,present,middle,indc,1,sg,GEN 15:2,present indc
6725,κληρονομήσει,future,active,indc,3,sg,GEN 15:3,future indc
6877,ἐπιπίπτει,present,active,indc,3,sg,GEN 15:12,present indc
6908,κρινῶ,future,active,indc,1,sg,GEN 15:14,future indc
7197,ἀποδιδράσκω,present,active,indc,1,sg,GEN 16:8,present indc
7232,τέξῃ,future,middle,indc,2,sg,GEN 16:11,future indc
7267,λαλοῦντος,present,active,ptcp,,sg,GEN 16:13,present ptcp
7279,ὀφθέντα,aorist,passsive,ptcp,,sg,GEN 16:13,aorist ptcp
7639,τέξεταί,future,middle,indc,3,sg,GEN 17:19,future indc
7810,καθημένου,present,middle,ptcp,,sg,GEN 18:1,present ptcp
7827,εἱστήκεισαν,pluperfect,active,indc,3,pl,GEN 18:2,pluperfect indc
7949,παρειστήκει,pluperfect,active,indc,3,sg,GEN 18:8,pluperfect indc
7985,ἤκουσεν,aorist,active,indc,3,sg,GEN 18:10,aorist indc
7997,προβεβηκότες,perfect,active,ptcp,,pl,GEN 18:11,perfect ptcp
8088,συνεπορεύετο,imperfect,middle,indc,3,sg,GEN 18:16,imperfect indc
8096,,,,,,,,
8102,ποιῶ,present,active,indc,1,sg,GEN 18:17,present indc
8190,ἑστηκὼς,perfect,active,ptcp,,sg,GEN 18:22,perfect ptcp
8435,ἐκάθητο,imperfect,middle,indc,3,sg,GEN 19:1,imperfect indc
8695,ἀπόλλυμεν,present,active,indc,1,pl,GEN 19:13,present indc
8732,ἐκτρίβει,present,active,indc,3,sg,GEN 19:14,present indc
8766,ἔχεις,present,active,indc,2,sg,GEN 19:15,present indc
9295,ἀποθνῄσκεις,present,active,indc,2,sg,GEN 20:3,present indc
9389,ἀποδίδως,present,active,indc,2,sg,GEN 20:7,present indc
9588,ἀλήθευσον,aorist,active,impv,2,sg,GEN 20:16,aorist impv
9703,ἀκούσῃ,aorist,active,subj,3,sg,GEN 21:6,aorist subj
9748,παίζοντα,present,active,ptcp,,sg,GEN 21:9,present ptcp
9841,ἐπέθηκεν,aorist,active,indc,3,sg,GEN 21:14,aorist indc
10029,ποιῇς,present,active,subj,2,sg,GEN 21:22,present subj
10893,ἐκάθητο,imperfect,middle,indc,3,sg,GEN 23:10,imperfect indc
11020,,,,,,,,
11131,,,,,,,,
11164,οἰκῶ,present,active,indc,1,sg,GEN 24:3,present indc
11370,ἕστηκα,perfect,active,indc,1,sg,GEN 24:13,perfect indc
11380,ἐκπορεύονται,present,middle,indc,3,pl,GEN 24:13,present indc
11427,ἐξεπορεύετο,imperfect,middle,indc,3,sg,GEN 24:15,imperfect indc
11528,κατεμάνθανεν,imperfect,active,indc,3,sg,GEN 24:21,imperfect indc
11615,,,,,,,,
11705,ἑστηκότος,perfect,active,ptcp,,sg,GEN 24:30,perfect ptcp
11842,παροικῶ,present,active,indc,1,sg,GEN 24:37,present indc
11928,εὐοδοῖς,present,active,indc,2,sg,GEN 24:42,present indc
11932,πορεύομαι,present,middle,indc,1,sg,GEN 24:42,present indc
11936,ἐφέστηκα,perfect,active,indc,1,sg,GEN 24:43,perfect indc
11946,ἐξελεύσονται,future,middle,indc,3,pl,GEN 24:43,future indc
11988,ἐξεπορεύετο,imperfect,middle,indc,3,sg,GEN 24:45,imperfect indc
12084,ποιεῖτε,present,active,indc,2,pl,GEN 24:49,present indc
12321,κατῴκει,imperfect,active,indc,3,sg,GEN 24:62,imperfect indc
12345,ἐρχομένας,present,middle,ptcp,,pl,GEN 24:63,present ptcp
12372,πορευόμενος,present,middle,ptcp,,sg,GEN 24:65,present ptcp
12831,ἐπειλημμένη,perfect,middle,ptcp,,sg,GEN 25:26,perfect ptcp
12855,εἰδὼς,perfect,active,ptcp,,sg,GEN 25:27,perfect ptcp
12863,οἰκῶν,present,active,ptcp,,sg,GEN 25:27,present ptcp
12876,ἠγάπα,imperfect,active,indc,3,sg,GEN 25:28,imperfect indc
12929,πορεύομαι,present,middle,indc,1,sg,GEN 25:32,present indc
13144,παίζοντα,present,active,ptcp,,sg,GEN 26:8,present ptcp
13202,ἁπτόμενος,present,middle,ptcp,,sg,GEN 26:11,present ptcp
13706,ἤκουσεν,aorist,active,indc,3,sg,GEN 27:5,aorist indc
13735,λαλοῦντος,present,active,ptcp,,sg,GEN 27:6,present ptcp
13767,ἐντέλλομαι,present,middle,indc,1,sg,GEN 27:8,present indc
14124,,,,,,,,
14127,εὐλογημένος,perfect,passsive,ptcp,,sg,GEN 27:29,perfect ptcp
14205,θηρεύσας,aorist,active,ptcp,,sg,GEN 27:33,aorist ptcp
14420,ἀπειλεῖ,present,active,indc,3,sg,GEN 27:42,present indc
14484,λήμψεται,future,middle,indc,3,sg,GEN 27:46,future indc
14711,ἐστηριγμένη,perfect,middle,ptcp,,sg,GEN 28:12,perfect ptcp
14715,ἀφικνεῖτο,imperfect,middle,indc,3,sg,GEN 28:12,imperfect indc
14722,ἀνέβαινον,imperfect,active,indc,3,pl,GEN 28:12,imperfect indc
14724,κατέβαινον,imperfect,active,indc,3,pl,GEN 28:12,imperfect indc
14729,ἐπεστήρικτο,pluperfect,passsive,indc,3,sg,GEN 28:13,pluperfect indc
14745,καθεύδεις,present,active,indc,2,sg,GEN 28:13,present indc
14906,πορεύομαι,present,middle,indc,1,sg,GEN 28:20,present indc
14972,ἀναπαυόμενα,present,middle,ptcp,,pl,GEN 29:2,present ptcp
15061,ἤρχετο,imperfect,middle,indc,3,sg,GEN 29:6,imperfect indc
15108,λαλοῦντος,present,active,ptcp,,sg,GEN 29:9,present ptcp
16150,κεκλεμμένον,perfect,middle,ptcp,,sg,GEN 30:33,perfect ptcp
16212,ἐποίμαινεν,imperfect,active,indc,3,sg,GEN 30:36,imperfect indc
16217,ὑπολειφθέντα,aorist,passsive,ptcp,,pl,GEN 30:36,aorist ptcp
16452,ὁρῶ,present,active,indc,1,sg,GEN 31:5,present indc
16548,ἀναβαίνοντες,present,active,ptcp,,pl,GEN 31:10,present ptcp
16580,ἀναβαίνοντας,present,active,ptcp,,pl,GEN 31:12,present ptcp
16594,ποιεῖ,present,active,indc,3,sg,GEN 31:12,present indc
16741,ἀποδιδράσκει,present,active,indc,3,sg,GEN 31:20,present indc
17215,ὁρᾷς,present,active,indc,2,sg,GEN 31:43,present indc
17553,ἔρχεται,present,middle,indc,3,sg,GEN 32:7,present indc
17621,εἴπας,aorist,active,indc,2,sg,GEN 32:10,aorist indc
17670,φοβοῦμαι,present,middle,indc,1,sg,GEN 32:12,present indc
17711,ἔφερεν,imperfect,active,indc,3,sg,GEN 32:14,imperfect indc
17802,ἀπέσταλκεν,perfect,active,indc,3,sg,GEN 32:19,perfect indc
17826,προπορευομένοις,present,middle,ptcp,,pl,GEN 32:20,present ptcp
17858,προπορευομένοις,present,middle,ptcp,,pl,GEN 32:21,present ptcp
17877,ἐκοιμήθη,aorist,passsive,indc,3,sg,GEN 32:22,aorist indc
18043,ἐπέσκαζεν,imperfect,active,indc,3,sg,GEN 32:32,imperfect indc
18085,ἐρχόμενος,present,middle,ptcp,,sg,GEN 33:1,present ptcp
18299,γινώσκει,present,active,indc,3,sg,GEN 33:13,present indc
18310,λοχεύονται,present,middle,indc,3,pl,GEN 33:13,present indc
18856,περιτέτμηνται,perfect,middle,indc,3,pl,GEN 34:22,perfect indc
19064,ὀφθέντι,aorist,passsive,ptcp,,sg,GEN 35:1,aorist ptcp
19108,ἐπακούσαντί,aorist,active,ptcp,,sg,GEN 35:3,aorist ptcp
20059,ἐκκόψας,aorist,active,ptcp,,sg,GEN 36:35,aorist ptcp
20183,ποιμαίνων,present,active,ptcp,,sg,GEN 37:2,present ptcp
20273,δεσμεύειν,present,active,infv,,,GEN 37:7,present infv
20343,προσεκύνουν,imperfect,active,indc,3,pl,GEN 37:9,imperfect indc
20406,ποιμαίνουσιν,present,active,indc,3,pl,GEN 37:13,present indc
20447,πλανώμενον,present,middle,ptcp,,sg,GEN 37:15,present ptcp
20464,ζητῶ,present,active,indc,1,sg,GEN 37:16,present indc
20470,βόσκουσιν,present,active,indc,3,pl,GEN 37:16,present indc
20480,λεγόντων,present,active,ptcp,,pl,GEN 37:17,present ptcp
20518,ἔρχεται,present,middle,indc,3,sg,GEN 37:19,present indc
20632,ἤρχοντο,imperfect,middle,indc,3,pl,GEN 37:25,imperfect indc
20637,ἔγεμον,imperfect,active,indc,3,pl,GEN 37:25,imperfect indc
20643,ἐπορεύοντο,imperfect,middle,indc,3,pl,GEN 37:25,imperfect indc
20739,πορεύομαι,present,middle,indc,1,sg,GEN 37:30,present indc
21057,ἀναβαίνει,present,active,indc,3,sg,GEN 38:13,present indc
21301,ἀγομένη,present,middle,ptcp,,sg,GEN 38:25,present ptcp
21387,,,,,,,,
21463,ποιῇ,present,active,subj,3,sg,GEN 39:3,present subj
21465,εὐοδοῖ,present,active,indc,3,sg,GEN 39:3,present indc
21547,ἤσθιεν,imperfect,active,indc,3,sg,GEN 39:6,imperfect indc
21840,κατέχονται,present,middle,indc,3,pl,GEN 39:20,present indc
21888,ποιοῦσιν,present,active,indc,3,pl,GEN 39:22,present indc
21892,,,,,,,,
21898,γινώσκων,present,active,ptcp,,sg,GEN 39:23,present ptcp
21911,ἐποίει,imperfect,active,indc,3,sg,GEN 39:23,imperfect indc
21913,εὐώδου,imperfect,active,indc,3,sg,GEN 39:23,imperfect indc
21964,ἀπῆκτο,pluperfect,middle,indc,3,sg,GEN 40:3,pluperfect indc
22005,ὄντες,present,active,ptcp,,pl,GEN 40:5,present ptcp
22022,τεταραγμένοι,perfect,passsive,ptcp,,pl,GEN 40:6,perfect ptcp
