bhsa_node,esv_tags,esv_VBtags,esv_TAM,esv_TAMsimp,niv_tags,niv_VBtags,niv_TAM,niv_TAMsimp,eng_fullparse,eng_TAM,eng_TAMsimp,eng_agree,eng_simp_agree,is_progressive
27,VBD|VBG,VBD|VBG,PAST PROG,PAST PROG,VBD|VBG,VBD|VBG,PAST PROG,PAST PROG,1,PAST PROG,PAST PROG,1,1,1
90,VB,VB,MOD let,MOD let,VB,VB,TO INF,TO INF,1,MOD let ~ TO INF,MOD let ~ TO INF,0,0,0
187,VBG,VBG,PRES PART,PRES PART,NN|HYPH|VBG,VBG,PRES PART,PRES PART,1,PRES PART,PRES PART,1,1,0
191,VBG,VBG,PRES PART,PRES PART,WDT|VBP,VBP,PRES,PRES,1,PRES ~ PRES PART,PRES ~ PRES PART,0,0,0
210,VBG,VBG,PRES PART,PRES PART,VBG,VBG,PRES PART,PRES PART,1,PRES PART,PRES PART,1,1,0
216,VBG,VBG,PRES PART,PRES PART,VBG,VBG,PRES PART,PRES PART,1,PRES PART,PRES PART,1,1,0
395,WDT|VBZ,VBZ,PRES,PRES,VBG,VBG,PRES PART,PRES PART,1,PRES ~ PRES PART,PRES ~ PRES PART,0,0,0
530,WDT|VBZ,VBZ,PRES,PRES,NNS|WDT|VBP,VBP,PRES,PRES,1,PRES,PRES,1,1,0
586,WDT|VBZ,VBZ,PRES,PRES,WDT|VBZ,VBZ,PRES,PRES,1,PRES,PRES,1,1,0
599,VBG,VBG,PRES PART,PRES PART,NN|HYPH|VBG,VBG,PRES PART,PRES PART,1,PRES PART,PRES PART,1,1,0
616,,,,,,,,,0,,,0,0,0
841,WDT|VBZ|JJ,VBZ,PRES,PRES,WDT|VBD|JJ,VBD,PAST,PAST,1,PAST ~ PRES,PAST ~ PRES,0,0,0
865,VBD,VBD,PAST,PAST,VBN,VBN,,,0,,,0,0,0
888,WDT|VBD|IN,VBD,PAST,PAST,VBZ|IN,VBZ,PRES,PRES,1,PAST ~ PRES,PAST ~ PRES,0,0,0
921,WDT|VBD|IN,VBD,PAST,PAST,VBZ|IN,VBZ,PRES,PRES,1,PAST ~ PRES,PAST ~ PRES,0,0,0
935,VBZ,VBZ,PRES,PRES,VBZ|IN,VBZ,PRES,PRES,1,PRES,PRES,1,1,0
1243,VBZ,VBZ,PRES,PRES,VBZ,VBZ,PRES,PRES,1,PRES,PRES,1,1,0
1279,VBD|TO|VB|VBN,VBD|VB|VBN,MOD was to,MOD was to,JJ,,,,0,,,0,0,0
1321,VBG,VBG,PRES PART,PRES PART,IN|VBD|VBG,VBD|VBG,PAST PROG,PAST PROG,1,PAST PROG ~ PRES PART,PAST PROG ~ PRES PART,0,0,1
1435,VBN,VBN,,,VBN,VBN,,,0,,,0,0,0
1519,NNP,,,,VBN,VBN,,,0,,,0,0,0
1659,WDT|VBD|DT|NN,VBD,PAST,PAST,VBG|RB|CC|RB,VBG,PRES PART,PRES PART,1,PAST ~ PRES PART,PAST ~ PRES PART,0,0,0
1779,VBZ|VBG,VBZ|VBG,PRES PROG,PRES PROG,VBZ|VBG,VBZ|VBG,PRES PROG,PRES PROG,1,PRES PROG,PRES PROG,1,1,1
1821,NN,,,,NN,,,,0,,,0,0,0
1831,VBZ|VBG,VBZ|VBG,PRES PROG,PRES PROG,VBZ|RP,VBZ,PRES,PRES,1,PRES ~ PRES PROG,PRES ~ PRES PROG,0,0,1
1838,VBP|VBN,VBP|VBN,PRES,PRES,VBP|IN|DT|NN,VBP,PRES,PRES,1,PRES,PRES,1,1,0
1905,VBZ,VBZ,PRES,PRES,VBZ,VBZ,PRES,PRES,1,PRES,PRES,1,1,0
1913,VBZ,VBZ,PRES,PRES,VBZ,VBZ,PRES,PRES,1,PRES,PRES,1,1,0
1956,VBD,VBD,PAST,PAST,VBG,VBG,PRES PART,PRES PART,1,PAST ~ PRES PART,PAST ~ PRES PART,0,0,0
2846,MD|VB,VB,FUT,FUT,VBP|VBG|TO|VB,VBP|VBG|VB,FUT going-to,FUT going-to,1,FUT ~ FUT going-to,FUT ~ FUT going-to,0,0,0
2916,MD|VB,VB,FUT,FUT,VBP|VBG|TO|VB,VBP|VBG|VB,FUT going-to,FUT going-to,1,FUT ~ FUT going-to,FUT ~ FUT going-to,0,0,0
3111,MD|VB|NN,VB,FUT,FUT,MD|VB|NN,VB,FUT,FUT,1,FUT,FUT,1,1,0
