bhsa_node,french_tense
27,imparfait
90,
187,
191,
210,
216,
395,
530,
586,
599,
616,
841,
865,imparfait
888,
921,
935,
1243,
1279,
1321,imparfait
1435,
1519,
1659,
1779,passé_comp
1821,
1831,
1838,
1905,
1913,
1956,passé_simp
2846,
2916,
3111,
3193,
3320,
3355,passé_simp
3453,imparfait
3474,imparfait
3893,
3933,
4178,
4209,passé_comp
4250,
4375,passé_simp
4482,
4491,
5631,
5944,imparfait
5991,imparfait
6151,
6339,imparfait
6438,imparfait
6453,imparfait
6574,
6584,
6704,
6725,
6877,imparfait
6908,
7197,
7232,
7267,
7279,
7639,
7810,
7827,
7949,passé_simp
7985,imparfait
7997,
8088,imparfait
8096,
8102,
8190,imparfait
8435,
8695,
8732,
8766,
9295,
9389,
9588,
9703,
9748,
9841,
10029,
10893,
11020,
11131,imparfait
11164,
11370,
11380,
11427,imparfait
11528,imparfait
11615,
11705,imparfait
11842,
11928,
11932,passé_comp
11936,
11946,
11988,
12084,
12321,
12345,imparfait
12372,
12831,imparfait
12855,
12863,imparfait
12876,imparfait
12929,
13144,imparfait
13202,
13706,imparfait
13735,
13767,
14124,
14127,
14205,passé_comp
14420,
14484,
14711,
14715,imparfait
14722,imparfait
14724,imparfait
14729,imparfait
14745,
14906,
14972,
15061,
15108,imparfait
16150,
16212,imparfait
16217,
16452,
16548,imparfait
16580,
16594,passé_comp
16741,
17215,
17553,
17621,
17670,
17711,
17802,
17826,imparfait
17858,
17877,passé_simp
18043,imparfait
18085,
18299,
18310,
18856,
19064,passé_comp
19108,passé_comp
20059,passé_simp
20183,imparfait
20273,
20343,imparfait
20406,
20447,
20464,
20470,
20480,
20518,
20632,imparfait
20637,
20643,imparfait
20739,
21057,
21301,imparfait
21387,passé_simp
21463,imparfait
21465,imparfait
21547,
21840,
21888,imparfait
21892,
21898,imparfait
21911,
21913,imparfait
21964,
22005,
22022,imparfait
22239,imparfait
22360,passé_simp
22363,imparfait
22372,passé_simp
22390,passé_simp
22442,imparfait
22457,
22508,passé_simp
22524,
22661,imparfait
22671,passé_comp
22689,passé_comp
22756,imparfait
22771,passé_comp
22792,passé_comp
22807,
22840,imparfait
22868,
22875,
22932,passé_comp
22940,
23501,imparfait
23519,imparfait
23583,
23660,
23701,
23727,
23812,passé_comp
23818,imparfait
23947,
23963,
24031,
24048,passé_simp
24117,passé_comp
24122,
24190,
24202,
24365,
24501,
24508,
24773,imparfait
25371,
25461,imparfait
25686,
25694,
25887,
25894,
25941,
26129,passé_simp
26382,passé_simp
26386,
26554,
26837,imparfait
26850,
27310,
27331,
27362,
27387,passé_comp
27598,
27610,
27747,
27859,
27920,
27967,
28008,
28039,
28076,
28095,
28162,
28337,
28527,
28702,
28770,
29196,imparfait
29349,imparfait
29409,
29627,
29667,
29675,imparfait
29732,
29843,
29917,
30014,
30274,
30462,
30579,imparfait
30666,
30962,imparfait
30971,
30976,
31016,
31029,
31050,imparfait
31109,
31114,
31126,
31128,
31132,
31175,imparfait
31328,
31381,
31722,imparfait
31767,
32036,
32093,
32333,
32339,
32739,
32755,
32759,
32799,
32940,
33045,
33051,
33056,
33203,
33230,
33314,
33375,
33382,
33442,
33540,imparfait
33861,
33868,
33894,passé_comp
33906,
33995,
34052,
34537,
34552,passé_comp
34850,
34872,
34885,
35002,
35119,
35356,
35395,
35453,
35463,
35725,
35823,
36070,
36192,imparfait
36371,
36382,imparfait
36411,
36557,
36598,imparfait
36758,
36803,passé_simp
36833,
36882,
36990,passé_comp
37057,
37061,
37444,
37553,
37746,
37749,
37759,imparfait
37762,imparfait
37968,
38253,
38333,
38562,imparfait
38574,
38654,
38750,imparfait
38763,
38769,
38776,
38828,
39226,
39317,
39466,imparfait
39525,
39666,
39679,
39803,
39842,
40188,
40228,
40235,
40246,
40285,
40697,passé_comp
40798,
40895,
40900,
41104,
41112,
41346,
42072,
42255,
42462,
42509,
42549,
42602,passé_comp
42658,
42665,
42720,
42863,
42872,
42890,
42959,
43160,
43224,
43623,
44006,
44057,
44568,
44575,
44775,
45009,
45356,
45398,
45736,
45759,
46020,
46383,
46393,
46399,
46428,
46500,
46905,
47432,imparfait
47498,
47550,
47618,
47910,
47915,
47925,
47979,
48015,
48022,
48026,
48058,
48540,
48913,
49266,imparfait
49278,imparfait
49285,
49466,imparfait
49609,
49633,
50073,
50233,imparfait
50278,imparfait
50318,imparfait
50363,
50455,
50723,
50860,
50923,imparfait
51179,
51182,
51239,
51282,
51495,
52955,
52962,
52974,
53121,
53168,
53215,
53296,
53352,
53444,
53684,
54500,
55077,
55241,
55365,
55440,
55464,
55475,
55482,
55518,
55525,
55533,
55561,passé_comp
55600,
55605,
55635,passé_comp
55646,
55770,
55786,
55832,
55900,
56794,
56950,
57638,
57875,
57878,
57881,
57912,
57955,
58164,
58180,
58241,
58251,
58267,
58272,
58276,
58282,
58287,
58295,
58303,
58312,
58334,
58373,
58481,
58524,
58533,
58545,
58560,
58569,
58574,
58579,
58586,
58604,
58634,
58642,
58671,
58680,
58698,
58833,
60147,
60325,
60335,
60445,
60642,
60675,
60711,
60726,
60900,
60992,
61266,
61280,
61289,
61530,
61590,
61613,
61664,
61676,
61871,
61885,
61908,
61926,
61957,passé_comp
62044,
62160,
62559,
62787,
62850,
62899,
63103,
63159,
63220,
63234,
63287,
63304,
63349,
63425,
63703,
63743,
63797,
63891,
63914,
64114,
64329,
64416,
64513,
64571,
64834,
64849,
65062,
65074,
65091,
65099,
65111,
65213,
65342,
65383,
65428,
65430,
65441,
65535,
65653,
65928,
65930,
66091,
66144,
67038,
67069,
67109,
67113,
67186,
67269,
67455,
67657,
67715,
67951,
68403,
68406,
68434,
68556,
68676,
68733,
68790,
69305,
69322,passé_comp
69667,
70263,
70458,
70487,
70579,
70782,
71055,
71056,
71493,imparfait
71509,imparfait
71677,
71713,
71725,
71808,
72230,
72380,
72485,
72511,imparfait
72549,
72579,imparfait
72614,
72681,imparfait
72769,
72865,
73016,
73671,
73678,
73933,
74113,passé_simp
74146,
74148,
74158,
74228,
74230,
74240,
74309,
74311,
74321,
74390,
74392,
74402,
74471,
74473,
74483,
74552,
74554,
74564,
74633,
74635,
74645,
74714,
74716,
74726,
74795,
74797,
74807,
74876,
74878,
74888,
74957,
74959,
74969,
75038,
75040,
75050,
75143,
75226,imparfait
75362,
75507,passé_comp
75508,
76328,
76339,
76381,
76613,
76663,
76747,passé_simp
76973,imparfait
77091,
77418,
77441,
77704,
77749,
77760,
77880,
78043,
78061,
78074,
78272,
78290,
78304,
78311,
78379,
78464,
78522,
78706,
78713,
78781,
78789,
78847,
78914,
78949,
78957,
79111,
79152,
79178,
79231,
