bhsa_node,ref,book,book_super,canon_part,period,genre,domain2,text_full,text_plain,lex,lex_etcbc,gloss,verb_form,stem,person,gender,number,valence,clause_atom,clause,sentence,txt_type,clause_type,cltype_simp,clause_rela,is_question,prec_lexes,prec_pos,prec_part,ref_sbl,ref_abbr,has_objc,objc_pos,has_loca,loca_type,loca_heads,has_time
27,Genesis 1:2,Genesis,Genesis,Law,SBH,prose,?,מְרַחֶ֖פֶת,מרחפת,רחף,RXP[,shake,ptcp,piel,unknown,f,sg,,וְר֣וּחַ אֱלֹהִ֔ים מְרַחֶ֖פֶת עַל־פְּנֵ֥י הַמָּֽיִם׃ ,וְר֣וּחַ אֱלֹהִ֔ים מְרַחֶ֖פֶת עַל־פְּנֵ֥י הַמָּֽיִם׃ ,וְר֣וּחַ אֱלֹהִ֔ים מְרַחֶ֖פֶת עַל־פְּנֵ֥י הַמָּֽיִם׃ ,?,Ptcp,Wx,Main,0,_W_RWX/_>LHJM/_,_conj_subs_subs_,_W_,Gen 1:2,Gen. 1:2,0,,0,,,0
90,Genesis 1:6,Genesis,Genesis,Law,SBH,prose,Q,מַבְדִּ֔יל,מבדיל,בדל,BDL[,separate,ptcp,hif,unknown,m,sg,,וִיהִ֣י מַבְדִּ֔יל בֵּ֥ין מַ֖יִם לָמָֽיִם׃ ,וִיהִ֣י מַבְדִּ֔יל בֵּ֥ין מַ֖יִם לָמָֽיִם׃ ,וִיהִ֣י מַבְדִּ֔יל בֵּ֥ין מַ֖יִם לָמָֽיִם׃ ,?NQ,WYq0,W,Main,0,_W_HJH[_,_conj_verb_,_W_,Gen 1:6,Gen. 1:6,0,,0,,,0
187,Genesis 1:11,Genesis,Genesis,Law,SBH,prose,Q,מַזְרִ֣יעַ,מזריע,זרע,ZR<[,sow,ptcp,hif,unknown,m,sg,,מַזְרִ֣יעַ זֶ֔רַע ,מַזְרִ֣יעַ זֶ֔רַע ,תַּֽדְשֵׁ֤א הָאָ֨רֶץ֙ דֶּ֔שֶׁא עֵ֚שֶׂב מַזְרִ֣יעַ זֶ֔רַע עֵ֣ץ פְּרִ֞י עֹ֤שֶׂה פְּרִי֙ לְמִינֹ֔ו אֲשֶׁ֥ר זַרְעֹו־בֹ֖ו עַל־הָאָ֑רֶץ ,?NQ,Ptcp,Ø,SubMod,0,Ø,Ø,Ø,Gen 1:11,Gen. 1:11,1,VO,0,,,0
191,Genesis 1:11,Genesis,Genesis,Law,SBH,prose,Q,עֹ֤שֶׂה,עשׂה,עשׂה,<FH[,make,ptcp,qal,unknown,m,sg,dp,עֹ֤שֶׂה פְּרִי֙ לְמִינֹ֔ו ,עֹ֤שֶׂה פְּרִי֙ לְמִינֹ֔ו עַל־הָאָ֑רֶץ ,תַּֽדְשֵׁ֤א הָאָ֨רֶץ֙ דֶּ֔שֶׁא עֵ֚שֶׂב מַזְרִ֣יעַ זֶ֔רַע עֵ֣ץ פְּרִ֞י עֹ֤שֶׂה פְּרִי֙ לְמִינֹ֔ו אֲשֶׁ֥ר זַרְעֹו־בֹ֖ו עַל־הָאָ֑רֶץ ,?NQ,Ptcp,Ø,SubMod,0,Ø,Ø,Ø,Gen 1:11,Gen. 1:11,1,VO,1,PP,>RY/,0
210,Genesis 1:12,Genesis,Genesis,Law,SBH,prose,N,מַזְרִ֤יעַ,מזריע,זרע,ZR<[,sow,ptcp,hif,unknown,m,sg,,מַזְרִ֤יעַ זֶ֨רַע֙ לְמִינֵ֔הוּ ,מַזְרִ֤יעַ זֶ֨רַע֙ לְמִינֵ֔הוּ ,וַתֹּוצֵ֨א הָאָ֜רֶץ דֶּ֠שֶׁא עֵ֣שֶׂב מַזְרִ֤יעַ זֶ֨רַע֙ לְמִינֵ֔הוּ וְעֵ֧ץ עֹ֥שֶׂה פְּרִ֛י אֲשֶׁ֥ר זַרְעֹו־בֹ֖ו לְמִינֵ֑הוּ ,?N,Ptcp,Ø,SubMod,0,Ø,Ø,Ø,Gen 1:12,Gen. 1:12,1,VO,0,,,0
216,Genesis 1:12,Genesis,Genesis,Law,SBH,prose,N,עֹ֥שֶׂה,עשׂה,עשׂה,<FH[,make,ptcp,qal,unknown,m,sg,d-,עֹ֥שֶׂה פְּרִ֛י ,עֹ֥שֶׂה פְּרִ֛י לְמִינֵ֑הוּ ,וַתֹּוצֵ֨א הָאָ֜רֶץ דֶּ֠שֶׁא עֵ֣שֶׂב מַזְרִ֤יעַ זֶ֨רַע֙ לְמִינֵ֔הוּ וְעֵ֧ץ עֹ֥שֶׂה פְּרִ֛י אֲשֶׁ֥ר זַרְעֹו־בֹ֖ו לְמִינֵ֑הוּ ,?N,Ptcp,Ø,SubMod,0,Ø,Ø,Ø,Gen 1:12,Gen. 1:12,1,VO,0,,,0
395,Genesis 1:21,Genesis,Genesis,Law,SBH,prose,N,רֹמֶ֡שֶׂת,רמשׂת,רמשׂ,RMF[,creep,ptcp,qal,unknown,f,sg,--,הָֽרֹמֶ֡שֶׂת ,הָֽרֹמֶ֡שֶׂת ,וַיִּבְרָ֣א אֱלֹהִ֔ים אֶת־הַתַּנִּינִ֖ם הַגְּדֹלִ֑ים וְאֵ֣ת כָּל־נֶ֣פֶשׁ הַֽחַיָּ֣ה׀ הָֽרֹמֶ֡שֶׂת אֲשֶׁר֩ שָׁרְצ֨וּ הַמַּ֜יִם לְמִֽינֵהֶ֗ם וְאֵ֨ת כָּל־עֹ֤וף כָּנָף֙ לְמִינֵ֔הוּ ,?N,Ptcp,Ø,SubMod,0,_H_,_conj_,_H_,Gen 1:21,Gen. 1:21,0,,0,,,0
530,Genesis 1:26,Genesis,Genesis,Law,SBH,prose,Q,רֹמֵ֥שׂ,רמשׂ,רמשׂ,RMF[,creep,ptcp,qal,unknown,m,sg,-p,הָֽרֹמֵ֥שׂ עַל־הָאָֽרֶץ׃ ,הָֽרֹמֵ֥שׂ עַל־הָאָֽרֶץ׃ ,וְיִרְדּוּ֩ בִדְגַ֨ת הַיָּ֜ם וּבְעֹ֣וף הַשָּׁמַ֗יִם וּבַבְּהֵמָה֙ וּבְכָל־הָאָ֔רֶץ וּבְכָל־הָרֶ֖מֶשׂ הָֽרֹמֵ֥שׂ עַל־הָאָֽרֶץ׃ ,?NQ,Ptcp,Ø,SubMod,0,_H_,_conj_,_H_,Gen 1:26,Gen. 1:26,0,,0,,,0
586,Genesis 1:28,Genesis,Genesis,Law,SBH,prose,Q,רֹמֶ֥שֶׂת,רמשׂת,רמשׂ,RMF[,creep,ptcp,qal,unknown,f,sg,-p,הָֽרֹמֶ֥שֶׂת עַל־הָאָֽרֶץ׃ ,הָֽרֹמֶ֥שֶׂת עַל־הָאָֽרֶץ׃ ,וּרְד֞וּ בִּדְגַ֤ת הַיָּם֙ וּבְעֹ֣וף הַשָּׁמַ֔יִם וּבְכָל־חַיָּ֖ה הָֽרֹמֶ֥שֶׂת עַל־הָאָֽרֶץ׃ ,?NQ,Ptcp,Ø,SubMod,0,_H_,_conj_,_H_,Gen 1:28,Gen. 1:28,0,,0,,,0
599,Genesis 1:29,Genesis,Genesis,Law,SBH,prose,Q,זֹרֵ֣עַ,זרע,זרע,ZR<[,sow,ptcp,qal,unknown,m,sg,d-,זֹרֵ֣עַ זֶ֗רַע ,זֹרֵ֣עַ זֶ֗רַע ,הִנֵּה֩ נָתַ֨תִּי לָכֶ֜ם אֶת־כָּל־עֵ֣שֶׂב׀ זֹרֵ֣עַ זֶ֗רַע אֲשֶׁר֙ עַל־פְּנֵ֣י כָל־הָאָ֔רֶץ וְאֶת־כָּל־הָעֵ֛ץ אֲשֶׁר־בֹּ֥ו פְרִי־עֵ֖ץ זֹרֵ֣עַ זָ֑רַע וּֽלְכָל־חַיַּ֣ת הָ֠אָרֶץ וּלְכָל־עֹ֨וף הַשָּׁמַ֜יִם וּלְכֹ֣ל׀ רֹומֵ֣שׂ עַל־הָאָ֗רֶץ אֲשֶׁר־בֹּו֙ נֶ֣פֶשׁ חַיָּ֔ה אֶת־כָּל־יֶ֥רֶק עֵ֖שֶׂב לְאָכְלָ֑ה ,?NQ,Ptcp,Ø,SubMod,0,Ø,Ø,Ø,Gen 1:29,Gen. 1:29,1,VO,0,,,0
