bhsa_node,mother_clause,mother_cl_atom,mother_clause_atom,mother_rela,mother_domain2,mother_verbtype,mother_type,mother_verb_ps,mother_verb_lex,mother_verbplain,mother_intertext,daught_clause,daught_cl_atom,daught_clause_atom,daught_rela,daught_domain2,daught_verbtype,daught_type,daught_verb_ps,daught_verb_lex,daught_verbplain,daught_intertext
27,וְחֹ֖שֶׁךְ עַל־פְּנֵ֣י תְהֹ֑ום ,515676,וְחֹ֖שֶׁךְ עַל־פְּנֵ֣י תְהֹ֑ום ,Main,?,Ø,NmCl,,,,וְחֹ֖שֶׁךְ עַל־פְּנֵ֣י תְהֹ֑ום ,,,,,,,,,,,
90,יְהִ֥י רָקִ֖יעַ בְּתֹ֣וךְ הַמָּ֑יִם ,515690,יְהִ֥י רָקִ֖יעַ בְּתֹ֣וךְ הַמָּ֑יִם ,Main,Q,jussF,ZYqX,p3,HJH[,יהי,יְהִ֥י רָקִ֖יעַ בְּתֹ֣וךְ הַמָּ֑יִם ,,,,,,,,,,,
187,תַּֽדְשֵׁ֤א הָאָ֨רֶץ֙ דֶּ֔שֶׁא עֵ֚שֶׂב עֵ֣ץ פְּרִ֞י ,515711,תַּֽדְשֵׁ֤א הָאָ֨רֶץ֙ דֶּ֔שֶׁא עֵ֚שֶׂב ,Main,Q,jussF,ZYqX,p3,DC>[,תדשׁא,תַּֽדְשֵׁ֤א הָאָ֨רֶץ֙ דֶּ֔שֶׁא עֵ֚שֶׂב ,,,,,,,,,,,
191,תַּֽדְשֵׁ֤א הָאָ֨רֶץ֙ דֶּ֔שֶׁא עֵ֚שֶׂב עֵ֣ץ פְּרִ֞י ,515713,עֵ֣ץ פְּרִ֞י ,Main,Q,Ø,Defc,,,,עֵ֣ץ פְּרִ֞י ,אֲשֶׁ֥ר זַרְעֹו־בֹ֖ו ,515715,אֲשֶׁ֥ר זַרְעֹו־בֹ֖ו ,SubMod,Q,Ø,NmCl,,,,אֲשֶׁ֥ר זַרְעֹו־בֹ֖ו 
210,וַתֹּוצֵ֨א הָאָ֜רֶץ דֶּ֠שֶׁא עֵ֣שֶׂב וְעֵ֧ץ ,515718,וַתֹּוצֵ֨א הָאָ֜רֶץ דֶּ֠שֶׁא עֵ֣שֶׂב ,Main,N,wayq,WayX,p3,JY>[,תוצא,וַתֹּוצֵ֨א הָאָ֜רֶץ דֶּ֠שֶׁא עֵ֣שֶׂב ,,,,,,,,,,,
216,וַתֹּוצֵ֨א הָאָ֜רֶץ דֶּ֠שֶׁא עֵ֣שֶׂב וְעֵ֧ץ ,515720,וְעֵ֧ץ ,Main,N,Ø,Defc,,,,וְעֵ֧ץ ,אֲשֶׁ֥ר זַרְעֹו־בֹ֖ו ,515722,אֲשֶׁ֥ר זַרְעֹו־בֹ֖ו ,SubMod,N,Ø,NmCl,,,,אֲשֶׁ֥ר זַרְעֹו־בֹ֖ו 
395,וַיִּבְרָ֣א אֱלֹהִ֔ים אֶת־הַתַּנִּינִ֖ם הַגְּדֹלִ֑ים וְאֵ֣ת כָּל־נֶ֣פֶשׁ לְמִֽינֵהֶ֗ם ,515749,וַיִּבְרָ֣א אֱלֹהִ֔ים אֶת־הַתַּנִּינִ֖ם הַגְּדֹלִ֑ים וְאֵ֣ת כָּל־נֶ֣פֶשׁ ,Main,N,wayq,WayX,p3,BR>[,יברא,וַיִּבְרָ֣א אֱלֹהִ֔ים אֶת־הַתַּנִּינִ֖ם הַגְּדֹלִ֑ים וְאֵ֣ת כָּל־נֶ֣פֶשׁ הַֽחַיָּ֣ה׀ ,,,,,,,,,,,
530,וְיִרְדּוּ֩ בִדְגַ֨ת הַיָּ֜ם וּבְעֹ֣וף הַשָּׁמַ֗יִם וּבַבְּהֵמָה֙ וּבְכָל־הָאָ֔רֶץ וּבְכָל־הָרֶ֖מֶשׂ ,515777,וְיִרְדּוּ֩ בִדְגַ֨ת הַיָּ֜ם וּבְעֹ֣וף הַשָּׁמַ֗יִם וּבַבְּהֵמָה֙ וּבְכָל־הָאָ֔רֶץ וּבְכָל־הָרֶ֖מֶשׂ ,Main,Q,yqtl,WYq0,p3,RDH[,ירדו,וְיִרְדּוּ֩ בִדְגַ֨ת הַיָּ֜ם וּבְעֹ֣וף הַשָּׁמַ֗יִם וּבַבְּהֵמָה֙ וּבְכָל־הָאָ֔רֶץ וּבְכָל־הָרֶ֖מֶשׂ ,,,,,,,,,,,
586,וּרְד֞וּ בִּדְגַ֤ת הַיָּם֙ וּבְעֹ֣וף הַשָּׁמַ֔יִם וּבְכָל־חַיָּ֖ה ,515788,וּרְד֞וּ בִּדְגַ֤ת הַיָּם֙ וּבְעֹ֣וף הַשָּׁמַ֔יִם וּבְכָל־חַיָּ֖ה ,Main,Q,impv,WIm0,p2,RDH[,רדו,וּרְד֞וּ בִּדְגַ֤ת הַיָּם֙ וּבְעֹ֣וף הַשָּׁמַ֔יִם וּבְכָל־חַיָּ֖ה ,,,,,,,,,,,
599,הִנֵּה֩ נָתַ֨תִּי לָכֶ֜ם אֶת־כָּל־עֵ֣שֶׂב׀ וְאֶת־כָּל־הָעֵ֛ץ ,515791,הִנֵּה֩ נָתַ֨תִּי לָכֶ֜ם אֶת־כָּל־עֵ֣שֶׂב׀ ,Main,Q,qtl,xQt0,p1,NTN[,נתתי,הִנֵּה֩ נָתַ֨תִּי לָכֶ֜ם אֶת־כָּל־עֵ֣שֶׂב׀ ,,,,,,,,,,,
