eng_TAMsimp,prose,prophetic,poetry,instruction,list
PRES,-0.32,0.02,0.28,0.03,-0.02
PAST,0.25,-0.13,-0.15,-0.03,0.06
PRES PART,0.08,-0.09,-0.07,0.08,-0.01
PRES ~ PRES PART,-0.08,0.07,-0.01,0.04,-0.01
FUT,-0.15,0.36,-0.13,-0.06,-0.02
PAST PROG,0.37,-0.12,-0.19,-0.05,-0.01
PRES PROG,0.1,0.13,-0.19,-0.02,-0.02
PAST ~ PAST PROG,0.4,-0.13,-0.19,-0.07,-0.02
PAST ~ PRES PART,0.22,-0.04,-0.17,-0.07,0.06
PRES ~ PRES PROG,0.08,0.06,-0.15,0.02,-0.01
PAST ~ PRES,-0.16,0.01,0.14,-0.02,0.02
FUT ~ PRES,-0.1,0.21,-0.12,0.03,-0.02
FUT ~ MOD shall,0.22,0.06,-0.19,-0.07,-0.02
PRES ~ PRES PERF,-0.14,0.04,0.15,-0.02,-0.02
PRES PERF,0.1,0.08,-0.1,-0.07,-0.02
TO INF,-0.11,0.26,-0.1,-0.07,0.01
PAST PERF,0.5,-0.25,-0.17,-0.07,-0.02
PAST PROG ~ PRES PART,0.39,-0.14,-0.16,-0.07,-0.02
FUT ~ FUT going-to,0.1,0.18,-0.19,-0.06,-0.02
PAST ~ PRES PERF,0.05,0.06,-0.06,-0.03,-0.02
PAST ~ PAST PERF,0.42,-0.22,-0.19,-0.03,0.02
PRES PART ~ PRES PROG,0.29,-0.06,-0.15,-0.06,-0.02
FUT ~ PRES PROG,-0.21,0.48,-0.19,-0.06,-0.02
FUT ~ PRES PART,-0.27,0.32,-0.02,-0.01,-0.02
PAST ~ TO INF,0.44,-0.24,-0.19,-0.06,0.04
FUT ~ TO INF,-0.18,0.37,-0.11,-0.06,-0.02
MOD may ~ PRES,-0.02,-0.05,0.06,0.02,-0.02
FUT going-to ~ PRES,0.11,-0.02,-0.19,0.12,-0.02
MOD could ~ PAST,0.02,-0.3,-0.19,-0.06,0.53
PRES PART ~ TO INF,-0.13,0.2,-0.09,0.04,-0.02
FUT going-to ~ PRES PROG,-0.23,0.3,-0.19,0.14,-0.02
PRES ~ TO INF,-0.13,-0.1,0.31,-0.06,-0.02
IMPV ~ PRES,-0.06,0.08,-0.06,0.06,-0.02
MOD is to ~ PRES,-0.18,-0.05,0.06,0.19,-0.02
MOD can ~ PRES,-0.0,-0.15,-0.19,0.22,0.13
MOD could,0.43,-0.3,-0.05,-0.06,-0.02
PRES PART ~ PRES PERF,-0.1,0.37,-0.19,-0.06,-0.02
MOD shall ~ PRES,-0.23,0.1,0.01,0.14,-0.02
MOD should,0.37,-0.1,-0.19,-0.06,-0.02
IMPV,0.17,-0.1,0.01,-0.06,-0.02
MOD can,-0.43,0.5,-0.19,0.14,-0.02
PAST PERF ~ PAST PROG,0.17,0.1,-0.19,-0.06,-0.02
IMPV ~ MOD may,0.57,-0.3,-0.19,-0.06,-0.02
FUT going-to ~ MOD shall,0.07,0.2,-0.19,-0.06,-0.02
MOD would ~ PRES,0.57,-0.3,-0.19,-0.06,-0.02
MOD would ~ PAST,0.57,-0.3,-0.19,-0.06,-0.02
MOD would,0.07,-0.3,0.06,0.19,-0.02
FUT ~ MOD must,0.07,-0.3,0.31,-0.06,-0.02
MOD is to ~ MOD shall,-0.18,-0.3,-0.19,0.44,0.23
PAST PROG ~ PRES,-0.43,-0.05,0.31,0.19,-0.02
PAST ~ PRES PROG,-0.43,0.7,-0.19,-0.06,-0.02
PAST ~ PAST PERF PROG,0.57,-0.3,-0.19,-0.06,-0.02
MOD shall ~ TO INF,-0.43,0.37,-0.19,0.27,-0.02
PRES PERF PROG,0.24,0.04,-0.19,-0.06,-0.02
MOD is to ~ PRES PART,-0.43,0.37,-0.19,0.27,-0.02
PRES PERF ~ PRES PROG,0.24,0.04,-0.19,-0.06,-0.02
MOD may,-0.1,-0.3,0.14,0.27,-0.02
MOD let ~ PRES,-0.1,0.04,-0.19,0.27,-0.02
MOD is to,-0.1,-0.3,0.48,-0.06,-0.02
MOD should ~ MOD would,-0.1,0.37,-0.19,-0.06,-0.02
PRES PERF PROG ~ PRES PROG,0.24,-0.3,0.14,-0.06,-0.02
FUT PROG ~ PRES PART,0.57,-0.3,-0.19,-0.06,-0.02
MOD should ~ TO INF,0.57,-0.3,-0.19,-0.06,-0.02
MOD can ~ TO INF,-0.43,0.37,0.14,-0.06,-0.02
FUT ~ MOD is to,0.57,-0.3,-0.19,-0.06,-0.02
MOD was to ~ PAST,0.24,-0.3,-0.19,-0.06,0.32
PRES ~ PRES PERF PROG,-0.1,0.37,-0.19,-0.06,-0.02
MOD can ~ MOD shall,-0.1,0.37,-0.19,-0.06,-0.02
MOD can ~ PRES PART,0.57,-0.3,-0.19,-0.06,-0.02
MOD is to ~ TO INF,-0.43,-0.3,-0.19,0.94,-0.02
MOD let,-0.43,0.2,0.31,-0.06,-0.02
PRES ~ PRES PROG keep,-0.43,0.7,-0.19,-0.06,-0.02
MOD may ~ PAST,0.07,-0.3,0.31,-0.06,-0.02
PAST PERF PROG ~ PAST PROG,0.57,-0.3,-0.19,-0.06,-0.02
MOD was to ~ TO INF,0.57,-0.3,-0.19,-0.06,-0.02
FUT ~ MOD may,-0.43,-0.3,0.81,-0.06,-0.02
MOD must ~ MOD shall,0.57,-0.3,-0.19,-0.06,-0.02
MOD must ~ PRES,0.57,-0.3,-0.19,-0.06,-0.02
PAST PERF ~ PAST PERF PROG,0.57,-0.3,-0.19,-0.06,-0.02
PRES PART ~ PRES PERF PROG,0.57,-0.3,-0.19,-0.06,-0.02
FUT going-to ~ PRES PART,0.57,-0.3,-0.19,-0.06,-0.02
FUT ~ PAST PROG,-0.43,0.7,-0.19,-0.06,-0.02
PAST PERF ~ PRES PART,0.57,-0.3,-0.19,-0.06,-0.02
MOD may ~ TO INF,-0.43,-0.3,0.81,-0.06,-0.02
MOD was to ~ PAST PROG,0.57,-0.3,-0.19,-0.06,-0.02
PAST PERF ~ PRES,0.07,0.2,-0.19,-0.06,-0.02
FUT ~ FUT PROG,0.57,-0.3,-0.19,-0.06,-0.02
IMPV ~ PRES PROG,0.57,-0.3,-0.19,-0.06,-0.02
FUT ~ MOD can,-0.43,-0.3,0.81,-0.06,-0.02
HAB used to ~ PAST PERF,0.57,-0.3,-0.19,-0.06,-0.02
FUT PROG ~ MOD is to,0.57,-0.3,-0.19,-0.06,-0.02
IMPV ~ PAST,-0.43,-0.3,-0.19,-0.06,0.98
FUT ~ MOD would,-0.43,-0.3,0.81,-0.06,-0.02
FUT ~ VB,0.57,-0.3,-0.19,-0.06,-0.02
HAB used to ~ PAST,0.57,-0.3,-0.19,-0.06,-0.02
FUT ~ PAST,0.57,-0.3,-0.19,-0.06,-0.02
TO INF ~ VB,0.57,-0.3,-0.19,-0.06,-0.02
MOD can ~ MOD may,-0.43,0.7,-0.19,-0.06,-0.02
MOD could ~ PRES PART,-0.43,-0.3,-0.19,0.94,-0.02
PRES PROG ~ TO INF,-0.43,0.7,-0.19,-0.06,-0.02
PRES PROG ~ PRES PROG keep,-0.43,0.7,-0.19,-0.06,-0.02
PRES PERF ~ TO INF,0.57,-0.3,-0.19,-0.06,-0.02
PRES PERF ~ PRES PERF PROG,0.57,-0.3,-0.19,-0.06,-0.02
PAST ~ VB,-0.43,0.7,-0.19,-0.06,-0.02
PAST PROG ~ TO INF,0.57,-0.3,-0.19,-0.06,-0.02
MOD would ~ PRES PROG,0.57,-0.3,-0.19,-0.06,-0.02
MOD would ~ PRES PERF,-0.43,0.7,-0.19,-0.06,-0.02
MOD was to ~ PRES PART,0.57,-0.3,-0.19,-0.06,-0.02
MOD was to,0.57,-0.3,-0.19,-0.06,-0.02
MOD that VB ~ PRES PART,0.57,-0.3,-0.19,-0.06,-0.02
MOD should ~ PRES PERF,-0.43,0.7,-0.19,-0.06,-0.02
MOD should ~ PRES,-0.43,0.7,-0.19,-0.06,-0.02
MOD should ~ PAST,0.57,-0.3,-0.19,-0.06,-0.02
MOD should ~ MOD was to,0.57,-0.3,-0.19,-0.06,-0.02
MOD shall ~ PRES PART,-0.43,0.7,-0.19,-0.06,-0.02
MOD shall ~ PAST,0.57,-0.3,-0.19,-0.06,-0.02
MOD shall,0.57,-0.3,-0.19,-0.06,-0.02
MOD need not ~ TO INF,-0.43,0.7,-0.19,-0.06,-0.02
MOD must ~ PRES PART,0.57,-0.3,-0.19,-0.06,-0.02
MOD must,0.57,-0.3,-0.19,-0.06,-0.02
MOD might,0.57,-0.3,-0.19,-0.06,-0.02
MOD may ~ PRES PART,-0.43,-0.3,0.81,-0.06,-0.02
MOD let ~ TO INF,0.57,-0.3,-0.19,-0.06,-0.02
MOD is to ~ MOD would,0.57,-0.3,-0.19,-0.06,-0.02
MOD shall ~ PRES PERF,-0.43,0.7,-0.19,-0.06,-0.02
