,prose,prophetic,poetry,instruction,list
MOD can ~ MOD may,0.0,0.53,0.0,0.0,0.0
IMPV ~ PRES PROG,0.36,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.0,0.0,0.0,0.0,1.75
HAB used to ~ PAST PERF,0.36,0.0,0.0,0.0,0.0
FUT ~ VB,0.36,0.0,0.0,0.0,0.0
MOD would ~ PRES PERF,0.0,0.53,0.0,0.0,0.0
FUT ~ PAST,0.36,0.0,0.0,0.0,0.0
FUT ~ MOD would,0.0,0.0,0.72,0.0,0.0
FUT ~ MOD can,0.0,0.0,0.72,0.0,0.0
FUT ~ FUT PROG,0.36,0.0,0.0,0.0,0.0
FUT going-to ~ PRES PART,0.36,0.0,0.0,0.0,0.0
FUT PROG ~ PRES PROG,0.36,0.0,0.0,0.0,0.0
MOD let ~ TO INF,0.36,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,0.0,0.0,0.72,0.0,0.0
MOD might,0.36,0.0,0.0,0.0,0.0
MOD must,0.36,0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,0.36,0.0,0.0,0.0,0.0
MOD need not ~ TO INF,0.0,0.53,0.0,0.0,0.0
MOD shall,0.36,0.0,0.0,0.0,0.0
MOD shall ~ PAST,0.36,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,0.0,0.53,0.0,0.0,0.0
FUT PROG ~ MOD is to,0.36,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,0.36,0.0,0.0,0.0,0.0
MOD should ~ PAST,0.36,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.0,0.53,0.0,0.0,0.0
MOD should ~ PRES PERF,0.0,0.53,0.0,0.0,0.0
MOD that VB ~ PRES PART,0.36,0.0,0.0,0.0,0.0
MOD was to,0.36,0.0,0.0,0.0,0.0
MOD was to ~ PRES PART,0.36,0.0,0.0,0.0,0.0
TO INF ~ VB,0.36,0.0,0.0,0.0,0.0
