,V,_W_V,AV,CV,_W_SV,SV,_W_AV,RV,_W_OV,OV,QV,CAV,_W_SAV,SAV,_W_CV,CSV,_W_QV,ASV,QAV,COV,_W_OAV,_W_CAV,OAV,IV,AOV,_W_ASV,CSAV,QSV,_W_SOV,SOV,QOV,CQV,ACV,IAV,ISV,_W_RV,_W_COV,_W_CSV,_W_AOV,ASAV,_W_OSV,CASV,RSV,ISAV,CSOV,RAV,CCV,ROV,CISV,CAOV,OOV,IOV,COSV,COAV,ACAV,_W_OOV,_W_OQV,_W_ACV,_W_IV,RASV,_W_ASAV,CQAV,QSAV,OSV,ACSV,AOAV,_W_QOV,_W_SOAV,ARV,_W_QAV,ASOV,OASV,_W_ASOV,CAQV,_W_ISV,_W_IAV,IISOAV,CISAV,_W_AOAV,SOAV,SAOV,QAOV,OQV,QSAOV
FUT,-10.66,2.06,10.07,-14.5,26.78,16.43,2.56,-25.79,0.14,-0.79,-25.64,5.89,10.51,1.13,-15.51,0.73,-6.15,0.7,-6.96,0.11,1.21,-5.98,0.96,-0.9,0.13,0.56,2.59,-3.75,2.22,0.18,-1.74,-1.74,-0.53,0.0,0.79,0.4,-0.92,-0.92,-0.12,0.46,1.44,0.0,0.14,0.55,0.0,-0.36,-0.74,-0.74,0.18,0.0,0.0,0.0,0.0,0.61,-0.0,-0.26,-0.26,-0.26,-0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.49,0.0,0.0,0.49,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0
PRES,-14.81,-58.66,-0.8,58.76,-1.55,0.12,-4.45,70.83,-5.6,-1.12,-15.24,0.91,0.85,2.44,20.91,0.89,-5.57,1.25,-0.05,1.63,-0.85,11.92,0.44,0.07,3.55,0.28,0.3,0.51,-0.1,1.45,-1.48,0.42,1.97,0.71,-0.0,0.29,3.03,3.97,0.52,0.58,-0.0,1.16,1.16,1.16,2.2,0.76,2.06,1.16,1.16,0.69,-0.23,-0.0,1.48,0.0,0.29,0.93,0.0,0.93,0.29,0.42,0.0,0.0,0.42,1.34,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.67,0.67,0.0,0.0,0.67,0.0,0.0,0.0,0.67
IMPV do not,119.63,3.91,-23.08,-20.88,-11.58,-11.85,0.49,-15.68,1.49,1.43,-9.33,-7.92,-4.61,-3.56,-1.3,-2.01,-1.04,-1.48,-1.48,-1.12,0.0,-0.76,-0.76,6.13,-0.14,-0.58,-0.39,0.0,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,1.4,26.89,-6.37,4.67,-0.2,0.78,-2.38,-3.9,-4.55,-0.73,-3.96,-3.89,-2.93,0.07,0.46,0.2,-0.71,0.0,-1.1,-0.28,-0.94,-0.56,-0.56,0.36,-0.58,-0.39,-0.4,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,-1.16,-5.38,16.6,-15.21,-1.0,-3.17,8.47,-11.34,16.77,23.05,-8.75,-1.21,-2.03,-0.91,-1.97,-0.88,-1.47,-0.11,-1.12,0.48,3.79,-0.57,0.34,-0.58,0.16,1.2,0.0,-0.2,-0.2,-0.21,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,64.93,28.71,-9.23,-17.96,-5.69,-0.61,-6.82,-14.14,-3.13,-3.25,-7.41,-2.93,-2.03,-0.91,-1.97,-1.44,-1.47,-0.43,-1.12,-0.73,0.0,-0.57,-0.57,0.0,-0.37,-0.39,-0.19,-0.21,0.57,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST,0.91,-6.39,2.82,-0.38,0.0,-0.39,6.7,0.6,0.08,0.09,-5.11,-0.17,-0.14,0.07,-0.78,-0.72,-1.27,-0.0,-0.43,0.13,-0.75,0.14,1.95,0.16,-0.38,0.76,-0.2,-0.2,-0.2,0.62,0.28,0.0,0.3,0.34,0.0,0.34,0.0,0.0,0.0,0.42,0.0,0.53,0.0,0.0,0.0,0.58,0.0,0.71,0.0,0.8,0.8,0.0,0.0,0.91,0.0,0.0,0.0,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0
MOD can,-2.84,3.35,-5.25,-0.3,-2.17,-3.25,-2.05,2.36,-2.72,-3.57,33.66,-0.56,-0.65,-1.17,-0.09,0.26,31.74,-0.76,0.0,0.36,-0.58,-0.39,0.18,-0.19,-0.19,-0.2,-0.2,0.0,0.0,0.0,0.37,7.69,0.39,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0
MOD must,-0.88,-1.6,7.76,-15.33,2.27,-0.17,0.47,-5.29,7.6,5.48,-3.86,0.13,0.17,0.19,-1.78,0.12,-0.28,-0.56,0.32,0.59,0.61,-0.19,0.0,-0.2,0.0,-0.2,0.22,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to,-5.14,-10.44,17.18,-8.84,-0.04,2.54,5.82,3.86,0.91,0.2,-2.46,0.45,-0.2,0.1,-1.26,-0.55,-0.57,0.0,-0.38,-0.19,0.0,-0.2,0.0,0.0,0.22,1.38,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
