,V,_W_V,AV,CV,_W_SV,SV,_W_AV,RV,_W_OV,OV,QV,CAV,_W_SAV,SAV,_W_CV,CSV,_W_QV,ASV,QAV,COV,_W_OAV,_W_CAV,OAV,IV,AOV,_W_ASV,CSAV,QSV,_W_SOV,SOV,QOV,CQV,ACV,IAV,ISV,_W_RV,_W_COV,_W_CSV,_W_AOV,ASAV,_W_OSV,CASV,RSV,ISAV,CSOV,RAV,CCV,ROV,CISV,CAOV,OOV,IOV,COSV,COAV,ACAV,_W_OOV,_W_OQV,_W_ACV,_W_IV,RASV,_W_ASAV,CQAV,QSAV,OSV,ACSV,AOAV,_W_QOV,_W_SOAV,ARV,_W_QAV,ASOV,OASV,_W_ASOV,CAQV,_W_ISV,_W_IAV,IISOAV,CISAV,_W_AOAV,SOAV,SAOV,QAOV,OQV,QSAOV
FUT,0.74,1.14,1.39,0.58,2.12,1.88,1.26,0.36,1.03,0.86,0.26,1.72,2.59,1.35,0.12,1.32,0.21,1.4,0.13,1.1,1.69,0.05,1.68,0.52,1.13,1.47,3.15,0.0,3.26,1.2,0.13,0.13,0.48,0.84,2.09,1.57,0.19,0.19,0.7,1.74,4.19,0.7,1.26,2.09,0.84,0.35,0.0,0.0,1.4,0.7,0.7,0.7,0.7,4.19,1.05,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0,inf,0.0,0.0,inf,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PRES,0.65,0.33,0.92,2.85,0.82,1.03,0.67,4.19,0.58,0.8,0.29,1.22,1.28,1.67,4.78,1.43,0.13,1.69,0.92,1.94,0.52,9.13,1.34,1.07,3.34,1.32,1.34,1.61,0.77,2.55,0.0,1.53,3.68,2.04,1.0,1.47,7.36,11.05,1.84,2.1,1.05,3.68,3.68,3.68,9.2,2.76,14.71,5.51,5.51,3.68,0.0,1.22,11.03,0.0,1.84,7.35,0.0,7.35,1.84,3.67,0.0,0.0,3.67,inf,0.0,inf,inf,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,0.0,0.0,0.0,inf
IMPV do not,5.94,1.45,0.19,0.09,0.18,0.13,1.16,0.02,1.43,1.48,0.04,0.0,0.0,0.0,0.34,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,7.65,0.45,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,1.21,2.72,0.5,1.69,0.91,1.24,0.54,0.39,0.3,0.7,0.26,0.18,0.1,1.06,1.36,1.15,0.23,0.9,0.0,0.35,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,0.82,0.54,2.33,0.13,0.73,0.46,2.33,0.06,3.47,4.61,0.0,0.51,0.21,0.4,0.13,0.23,0.0,0.63,0.0,1.59,4.72,0.0,1.53,0.0,1.13,2.87,0.74,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,4.24,2.87,0.39,0.08,0.34,0.79,0.24,0.0,0.39,0.32,0.05,0.25,0.21,0.41,0.14,0.0,0.0,0.31,0.0,0.0,0.8,0.0,0.0,0.55,0.0,0.0,0.0,0.0,2.05,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST,1.17,0.5,1.43,0.87,0.99,0.83,2.18,1.22,1.03,1.06,0.15,0.83,0.81,1.03,0.43,0.24,0.0,1.01,0.33,1.23,0.0,1.05,3.5,1.19,0.0,2.19,0.0,0.0,0.0,2.26,1.41,0.0,1.51,1.74,0.0,1.74,0.0,0.0,0.0,2.26,0.0,3.23,0.0,0.0,0.0,3.77,0.0,5.65,0.0,7.54,7.54,0.0,0.0,11.31,0.0,0.0,0.0,11.31,11.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD can,0.66,1.53,0.46,0.88,0.51,0.37,0.5,1.7,0.35,0.19,7.13,0.63,0.45,0.19,0.77,1.35,24.02,0.0,0.88,1.64,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,27.14,2.0,0.0,5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,30.09,0.0,0.0,30.09,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
MOD must,0.82,0.71,2.01,0.02,1.61,0.87,1.2,0.17,2.78,2.6,0.14,1.07,1.14,1.24,0.0,1.06,0.37,0.0,1.43,1.74,1.81,0.0,0.72,0.0,0.82,0.0,1.1,1.45,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to,0.47,0.21,3.09,0.1,0.95,1.84,2.5,2.2,1.44,1.13,0.18,1.31,0.64,1.09,0.0,0.0,0.0,0.62,0.0,0.0,0.78,0.0,0.97,0.0,1.1,4.18,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,0.56,3.89,0.42,1.68,0.45,0.35,0.23,1.39,1.23,0.4,1.52,0.14,0.71,0.29,0.91,1.58,0.55,0.68,0.0,0.0,0.86,1.07,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,7.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,0.81,1.12,0.91,0.87,0.79,0.25,0.95,1.68,1.14,0.86,2.2,1.63,0.66,2.16,2.19,1.47,1.57,0.0,0.97,0.0,1.21,1.52,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,0.98,1.32,1.12,0.7,0.72,0.67,0.77,0.55,0.44,0.86,3.09,1.63,0.33,1.27,0.42,0.72,4.13,3.01,0.97,0.0,0.0,0.0,0.0,3.53,1.71,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08,0.0,0.0,9.56,0.0,0.0,0.0,11.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
