cl_args,FUT,PRES,IMPV do not,MOD may,IMPV,MOD let,PAST,MOD can,MOD must,MOD is to,TO INF,PRES PART,MOD would,PRES do not,MOD shall,PRES PERF,MOD should,FUT question,PRES wh-question,PRES question,MOD could,MOD quest can,MOD might,MOD quest should,PAST did not,MOD quest shall,PRES PROG,FUT wh-question,MOD was to,MOD quest would,PAST PERF,FUT going-to,MOD lest,PAST PROG,HAB used to,MOD VB,PRES do-support,PRES PERF wh-question,PAST wh-question,PRES PERF question,MOD need not,MOD quest must,MOD that be,PAST question,MOD quest could,FUT PROG,FUT PERF,JJ,PAST do-support,VB
V,-0.06,-0.07,0.12,0.01,-0.01,0.08,0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.01,0.0,-0.0,-0.01,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
_W_V,0.03,-0.14,0.02,0.06,-0.02,0.06,-0.02,0.02,-0.01,-0.02,0.04,0.0,0.0,0.01,-0.01,-0.0,-0.0,-0.01,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
AV,0.08,-0.01,-0.05,-0.02,0.05,-0.03,0.02,-0.02,0.03,0.04,-0.01,-0.0,0.0,-0.01,0.0,-0.0,-0.01,-0.0,-0.0,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CV,-0.11,0.21,-0.05,0.03,-0.04,-0.04,-0.01,-0.0,-0.03,-0.02,0.01,-0.0,-0.0,0.01,-0.01,0.03,0.01,-0.0,-0.0,-0.0,0.01,0.0,0.01,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.01,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
_W_SV,0.18,-0.03,-0.05,-0.0,-0.01,-0.03,-0.0,-0.02,0.02,-0.0,-0.01,-0.0,-0.0,-0.01,-0.0,-0.01,-0.01,-0.01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SV,0.15,0.0,-0.05,0.01,-0.02,-0.01,-0.01,-0.02,-0.0,0.02,-0.01,-0.01,-0.0,-0.0,0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
_W_AV,0.05,-0.06,0.01,-0.02,0.05,-0.03,0.04,-0.02,0.01,0.03,-0.02,-0.0,-0.0,-0.0,-0.0,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RV,-0.18,0.31,-0.05,-0.03,-0.04,-0.05,0.01,0.02,-0.03,0.02,0.01,0.01,-0.01,0.0,-0.02,0.01,0.01,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.01,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OV,0.01,-0.08,0.02,-0.03,0.09,-0.03,0.0,-0.02,0.05,0.01,0.0,0.0,-0.01,0.0,0.01,-0.0,-0.01,-0.0,-0.0,0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
OV,-0.03,-0.03,0.02,-0.01,0.12,-0.03,0.0,-0.03,0.04,0.0,-0.01,-0.0,-0.0,0.0,-0.0,0.0,-0.01,-0.0,-0.01,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
