niv_TAM,V,_W_V,AV,CV,_W_SV,SV,_W_AV,RV,_W_OV,OV,QV,CAV,_W_SAV,SAV,_W_CV,CSV,_W_QV,ASV,QAV,COV,_W_OAV,_W_CAV,OAV,IV,AOV,_W_ASV,CSAV,QSV,_W_SOV,SOV,QOV,CQV,ACV,IAV,ISV,_W_RV,_W_COV,_W_CSV,_W_AOV,ASAV,_W_OSV,CASV,RSV,ISAV,CSOV,RAV,CCV,ROV,CISV,CAOV,OOV,IOV,COSV,COAV,ACAV,_W_OOV,_W_OQV,_W_ACV,_W_IV,RASV,_W_ASAV,CQAV,QSAV,OSV,ACSV,AOAV,_W_QOV,_W_SOAV,ARV,_W_QAV,ASOV,OASV,_W_ASOV,CAQV,_W_ISV,_W_IAV,IISOAV,CISAV,_W_AOAV,SOAV,SAOV,QAOV,OQV,QSAOV
FUT,6.1,6.37,6.42,17.33,10.52,13.09,16.38,44.13,24.19,34.54,93.45,31.36,42.94,75.65,529.56,132.39,595.75,170.21,1191.5,238.3,190.64,4766.0,238.3,595.75,340.43,340.43,264.78,inf,340.43,595.75,4766.0,4766.0,1588.67,1191.5,680.86,794.33,4766.0,4766.0,1588.67,953.2,794.33,2383.0,1588.67,1191.5,2383.0,4766.0,inf,inf,2383.0,4766.0,4766.0,4766.0,4766.0,2383.0,4766.0,inf,inf,inf,4766.0,inf,inf,inf,inf,inf,4766.0,inf,inf,4766.0,inf,inf,4766.0,inf,4766.0,inf,inf,inf,inf,inf,inf,inf,4766.0,inf,inf,inf
PRES,6.83,16.09,8.21,6.28,18.44,18.44,25.85,8.69,38.0,37.11,92.76,37.55,60.65,63.08,35.44,121.31,1051.33,143.36,225.29,157.7,450.57,98.56,262.83,350.44,166.0,350.44,394.25,450.57,788.5,350.44,inf,630.8,394.25,630.8,1051.33,788.5,394.25,350.44,788.5,788.5,1577.0,788.5,788.5,788.5,630.8,1051.33,788.5,1051.33,1051.33,1577.0,inf,3154.0,1051.33,inf,3154.0,1577.0,inf,1577.0,3154.0,3154.0,inf,inf,3154.0,1577.0,inf,3154.0,3154.0,inf,inf,inf,inf,3154.0,inf,inf,inf,3154.0,3154.0,inf,inf,3154.0,inf,inf,inf,3154.0
IMPV do not,1.8,5.14,34.43,113.14,79.2,132.0,16.5,792.0,18.0,22.0,792.0,inf,inf,inf,264.0,inf,792.0,inf,inf,inf,264.0,inf,inf,66.0,792.0,inf,inf,792.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,4.43,3.3,14.2,7.73,17.4,15.47,33.14,49.71,77.33,43.5,116.0,232.0,696.0,87.0,69.6,139.2,696.0,232.0,inf,696.0,inf,inf,inf,232.0,inf,inf,inf,inf,inf,696.0,inf,inf,inf,inf,inf,696.0,inf,inf,inf,inf,696.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV,5.97,11.53,4.03,82.12,21.19,38.65,9.12,328.5,8.53,8.53,inf,82.12,328.5,219.0,657.0,657.0,inf,328.5,inf,164.25,65.7,inf,219.0,inf,328.5,164.25,657.0,inf,inf,inf,inf,inf,657.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,657.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,2.06,3.17,17.68,130.8,43.6,23.36,72.67,inf,59.45,93.43,654.0,163.5,327.0,218.0,654.0,inf,inf,654.0,inf,inf,327.0,inf,inf,654.0,inf,inf,inf,inf,327.0,654.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,654.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST,4.56,12.5,5.79,13.59,16.03,22.32,9.62,17.36,24.04,29.76,208.33,52.08,89.29,89.29,208.33,625.0,inf,208.33,625.0,208.33,inf,312.5,104.17,312.5,inf,208.33,inf,inf,inf,312.5,625.0,inf,625.0,625.0,inf,625.0,inf,inf,inf,625.0,inf,625.0,inf,inf,inf,625.0,inf,625.0,inf,625.0,625.0,inf,inf,625.0,inf,inf,inf,625.0,625.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,625.0,inf,inf,inf,inf,inf
MOD can,7.2,4.9,15.32,13.57,29.69,47.5,36.54,12.84,67.86,158.33,6.17,67.86,158.33,475.0,118.75,118.75,12.84,inf,237.5,158.33,inf,inf,237.5,inf,inf,inf,inf,inf,inf,inf,475.0,59.38,475.0,inf,237.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,158.33,inf,inf,inf,inf,475.0,inf,inf,475.0,inf,inf,inf,inf,475.0,inf,inf,inf,475.0,inf,inf,inf,inf,inf,inf,inf,inf,475.0,inf
MOD must,5.99,9.16,4.45,449.0,10.44,21.38,16.04,112.25,9.98,13.21,224.5,40.82,64.14,74.83,inf,149.67,449.0,inf,149.67,149.67,149.67,inf,449.0,inf,449.0,inf,449.0,449.0,449.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,224.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,224.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to,9.6,28.0,3.26,112.0,16.8,10.84,8.4,10.18,17.68,28.0,168.0,33.6,112.0,84.0,inf,inf,inf,336.0,inf,inf,336.0,inf,336.0,inf,336.0,112.0,336.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,336.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
