prec_part,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
Ø,-0.13,0.07,0.15,-0.09,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
_>CR_,0.06,0.0,-0.19,0.15,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
_W_,0.2,-0.11,-0.11,-0.03,-0.0,0.02,0.02,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
_KJ_,-0.15,0.13,-0.03,0.06,-0.0,-0.01,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
_KH_,-0.42,-0.26,0.79,-0.09,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_K_>CR_,0.23,-0.1,-0.19,0.09,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_>T_,0.38,-0.15,-0.16,-0.06,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0
_B_,0.11,-0.04,-0.01,-0.08,0.03,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_B_,0.19,0.01,-0.13,-0.07,0.0,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_HNH_,-0.29,0.29,-0.03,-0.08,0.02,0.01,0.01,-0.0,0.08,-0.0,-0.0,-0.0,-0.0,-0.0
_W_L_,0.4,-0.15,-0.15,-0.07,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>M_,-0.25,0.16,0.13,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_W_,0.44,-0.18,-0.18,-0.05,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_KH_,-0.4,-0.25,0.75,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_GM_,0.18,0.0,-0.13,-0.06,0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_MN_,0.14,-0.16,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_H=_,-0.34,0.22,-0.06,0.21,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>T_>CR_,-0.0,0.03,-0.2,0.2,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_L_,-0.05,-0.15,0.25,-0.04,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_B_,-0.01,-0.01,0.02,0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_<L_KN_,-0.01,0.01,0.11,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_MN_,0.33,-0.19,-0.03,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>T_,0.15,0.13,-0.17,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_MH_,-0.36,0.57,-0.14,-0.08,0.02,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_MJ_,-0.11,0.24,-0.16,-0.08,0.05,0.02,0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_GM_,-0.12,0.0,0.17,-0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_K_,-0.21,-0.09,0.22,0.01,-0.01,0.02,0.03,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KN_,0.25,-0.05,-0.15,-0.05,-0.01,-0.01,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_LMH_,-0.43,0.34,-0.15,0.27,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>Z_,0.4,-0.21,-0.18,-0.08,0.03,0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_<L_,0.33,-0.18,-0.08,-0.08,0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_<L_,0.02,-0.07,0.03,-0.05,0.03,-0.01,-0.01,0.07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
