,sum
FUT,0.36
PRES,0.28
IMPV,0.06
PAST,0.05
MOD can,0.04
MOD must,0.03
MOD is to,0.03
MOD may,0.02
MOD shall,0.02
TO INF,0.02
MOD would,0.02
PRES PART,0.02
PRES PERF,0.01
MOD should,0.01
MOD could,0.01
MOD let,0.0
MOD might,0.0
PRES PROG,0.0
PAST PERF,0.0
MOD was to,0.0
FUT going-to,0.0
MOD lest,0.0
PAST PROG,0.0
HAB used to,0.0
MOD VB,0.0
MOD need not,0.0
FUT PROG,0.0
MOD quest must,0.0
MOD that be,0.0
JJ,0.0
FUT PERF,0.0
