period,SBH,SBH,LBH,SBH,LBH,SBH,SBH,SBH,SBH,LBH,SBH,LBH,LBH,SBH,SBH,LBH,SBH,LBH,SBH,LBH,SBH
genre,prose,prose,prose,instruction,prose,prose,poetry,instruction,prose,list,list,list,prose,instruction,instruction,poetry,list,list,list,prose,list
domain2,Q,N,N,Q,Q,?,Q,D,D,N,N,?,?,N,?,Q,Q,Q,D,D,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,
MOD can ~ PRES,-0.0,-0.24,-0.12,0.24,0.08,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,0.16,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES,-0.0,-0.24,-0.12,0.07,0.25,-0.02,0.15,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PART,0.16,-0.24,-0.12,-0.1,-0.09,-0.02,0.32,0.15,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PROG,0.66,-0.24,-0.12,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to ~ PRES PROG,0.16,-0.24,-0.12,0.41,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD shall,-0.09,-0.24,-0.12,0.41,-0.09,-0.02,-0.02,-0.01,-0.01,0.24,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES,0.16,-0.24,-0.12,0.41,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES,-0.09,-0.24,-0.12,0.16,0.41,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PAST,-0.34,-0.24,0.88,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES,0.41,-0.24,-0.12,-0.1,0.16,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should,0.41,-0.24,0.13,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PERF PROG,-0.34,0.26,0.38,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ TO INF,-0.09,-0.24,0.38,0.16,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ TO INF,-0.34,-0.24,-0.12,-0.1,0.91,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ TO INF,0.33,-0.24,-0.12,-0.1,0.25,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PAST PROG,-0.0,-0.24,0.55,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would,-0.0,-0.24,-0.12,-0.1,-0.09,-0.02,-0.02,0.32,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.33,-0.0
FUT ~ MOD is to,0.33,-0.24,-0.12,-0.1,0.25,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
