eng_TAM,xQt0,xQtX,WXQt,XQtl,ZQt0,WxQ0,ZQtX,WxQX,CPen,Voct
PAST..IND,0.31,0.18,0.16,0.09,0.07,0.12,0.03,0.06,0.0,0.0
PRES.PERF.IND,0.42,0.14,0.05,0.13,0.12,0.06,0.06,0.02,0.01,0.0
PRES..IND,0.22,0.31,0.06,0.12,0.13,0.04,0.11,0.01,0.0,0.0
PAST.PERF.IND,0.42,0.37,0.08,0.05,0.01,0.05,0.0,0.01,0.0,0.0
FUT..IND,0.38,0.04,0.06,0.16,0.17,0.09,0.06,0.04,0.0,0.0
PAST..SUBJ,0.31,0.06,0.03,0.05,0.06,0.32,0.02,0.15,0.0,0.0
PRES..MOD,0.18,0.05,0.05,0.13,0.02,0.35,0.04,0.18,0.0,0.0
PRES..,0.56,0.03,0.06,0.0,0.12,0.19,0.0,0.03,0.0,0.0
PRES.PROG.IND,0.39,0.11,0.0,0.22,0.0,0.11,0.17,0.0,0.0,0.0
PAST.PROG.IND,0.08,0.23,0.46,0.15,0.0,0.08,0.0,0.0,0.0,0.0
..,0.2,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0
past.PERF_PROG.IND,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
