lex,stem,person,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
אמר,qal,p3,0.18,0.01,0.79,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
היה,qal,p3,0.72,0.15,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
עשׂה,qal,p3,0.44,0.24,0.05,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
בוא,qal,p3,0.55,0.23,0.09,0.11,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
נתן,qal,p3,0.48,0.35,0.06,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
דבר,piel,p3,0.51,0.27,0.05,0.15,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
צוה,piel,p3,0.63,0.15,0.01,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
נתן,qal,p1,0.34,0.45,0.11,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
מלך,qal,p3,0.89,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
עשׂה,qal,p2,0.18,0.78,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁלח,qal,p3,0.53,0.32,0.01,0.12,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁמע,qal,p3,0.34,0.39,0.09,0.04,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ראה,qal,p1,0.38,0.44,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
יצא,qal,p3,0.6,0.18,0.11,0.1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
ידע,qal,p1,0.13,0.03,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
הלך,qal,p3,0.64,0.14,0.09,0.1,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
