genre,domain2,TOTAL,0
prose,N,543,543
prose,Q,139,139
prophetic,Q,129,129
poetry,Q,99,99
prophetic,N,41,41
instruction,N,24,24
poetry,N,18,18
list,N,17,17
instruction,Q,12,12
list,Q,1,1
