,prose,prose,prophetic,poetry,prophetic,instruction,poetry,list,instruction,list
,N,Q,Q,Q,N,N,N,N,Q,Q
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
