genre,domain2,0
prose,N,0.0
prose,Q,0.0
prophetic,Q,0.0
poetry,Q,0.0
prophetic,N,0.0
instruction,N,0.0
poetry,N,0.0
list,N,0.0
instruction,Q,0.0
list,Q,0.0
