eng_TAMsimp,Main,SubAdv,SubMod,SubArg
PRES,-0.26,0.17,0.09,0.0
FUT,0.08,-0.04,-0.03,-0.0
FUT ~ MOD shall,0.13,-0.08,-0.04,-0.01
IMPV,0.23,-0.15,-0.06,-0.02
IMPV ~ MOD shall,0.21,-0.14,-0.05,-0.02
PAST,0.01,-0.03,0.03,-0.01
FUT ~ PRES,-0.02,0.03,-0.0,0.0
MOD let,0.21,-0.14,-0.05,-0.02
MOD must ~ MOD shall,0.19,-0.12,-0.05,-0.02
MOD may,-0.04,0.08,-0.03,-0.01
MOD is to ~ MOD shall,0.11,-0.12,0.03,-0.01
MOD can,-0.08,0.02,0.04,0.01
MOD shall,0.16,-0.1,-0.05,-0.02
MOD shall ~ PRES,-0.01,-0.07,0.09,-0.0
FUT ~ MOD may,-0.1,0.16,-0.05,-0.01
MOD would,-0.01,-0.04,-0.03,0.07
IMPV ~ MOD let,0.2,-0.14,-0.05,-0.01
PAST ~ PRES,-0.04,0.02,-0.01,0.03
MOD let ~ MOD may,0.23,-0.16,-0.05,-0.02
PRES ~ PRES PART,-0.15,0.07,0.09,-0.01
PRES ~ PRES PERF,-0.32,0.22,0.11,-0.01
MOD should,-0.16,0.09,0.06,0.02
FUT ~ MOD lest,-0.44,0.52,-0.05,-0.02
MOD can ~ PRES,-0.14,0.1,0.05,-0.0
TO INF,-0.09,-0.04,-0.03,0.15
FUT ~ MOD can,0.07,-0.04,-0.02,-0.0
MOD may ~ PRES,-0.21,0.19,0.04,-0.02
PRES PERF,-0.33,0.29,0.05,-0.0
MOD may ~ MOD shall,0.16,-0.12,-0.04,-0.0
IMPV ~ PRES,-0.18,0.21,-0.05,0.02
MOD can ~ MOD may,0.03,-0.01,0.01,-0.02
PRES PART,0.02,-0.03,0.01,0.0
PRES ~ TO INF,-0.38,0.14,0.17,0.07
MOD should ~ PRES,-0.11,0.14,-0.03,0.0
MOD can ~ MOD shall,0.13,-0.09,-0.03,-0.02
FUT ~ MOD would,0.01,0.04,-0.03,-0.02
MOD must,0.07,-0.02,-0.03,-0.02
MOD shall ~ TO INF,0.01,-0.08,-0.0,0.06
MOD could,-0.28,-0.02,0.26,0.03
PAST ~ PRES PERF,0.01,-0.0,0.01,-0.02
MOD may ~ TO INF,0.04,-0.0,-0.05,0.01
MOD shall ~ MOD should,-0.1,-0.03,0.01,0.11
IMPV ~ MOD may,0.16,-0.09,-0.05,-0.02
FUT ~ TO INF,-0.02,0.02,-0.05,0.05
MOD would ~ PAST,0.09,-0.09,0.02,-0.02
MOD would ~ PRES,-0.08,-0.07,-0.01,0.16
FUT ~ IMPV,0.1,-0.02,-0.05,-0.02
MOD let ~ PRES,0.23,-0.15,-0.05,-0.02
PAST ~ PRES PART,-0.01,0.04,-0.01,-0.02
FUT ~ MOD let,0.13,-0.06,-0.05,-0.02
MOD shall ~ PRES PART,0.08,-0.1,-0.0,0.03
MOD should ~ TO INF,-0.62,0.27,0.05,0.3
MOD must ~ PRES,-0.16,0.01,0.06,0.09
FUT ~ PRES PART,0.05,0.02,-0.05,-0.02
MOD let ~ TO INF,0.23,-0.15,-0.05,-0.02
MOD lest ~ MOD may,-0.53,0.6,-0.05,-0.02
PRES ~ PRES PROG,-0.28,0.16,0.07,0.04
MOD let ~ MOD shall,0.23,-0.15,-0.05,-0.02
FUT ~ PAST,0.23,-0.15,-0.05,-0.02
IMPV ~ MOD must,0.15,-0.08,-0.05,-0.02
MOD lest ~ PRES,-0.56,0.63,-0.05,-0.02
MOD shall ~ PAST,0.01,0.06,-0.05,-0.02
MOD should ~ MOD would,-0.13,0.13,0.02,-0.02
PAST ~ TO INF,-0.08,-0.08,0.02,0.14
FUT ~ MOD should,-0.02,-0.07,0.03,0.07
HAB used to ~ PAST,-0.02,-0.15,0.2,-0.02
MOD might,-0.5,0.39,0.04,0.07
MOD may ~ MOD must,0.23,-0.15,-0.05,-0.02
IMPV ~ MOD can,0.23,-0.15,-0.05,-0.02
MOD is to,-0.27,-0.05,0.15,0.18
PAST ~ PAST PERF,-0.07,-0.05,-0.05,0.18
MOD let ~ MOD must,0.23,-0.15,-0.05,-0.02
MOD was to ~ PAST,-0.11,-0.04,0.17,-0.02
MOD is to ~ MOD let,0.23,-0.15,-0.05,-0.02
MOD can ~ MOD should,-0.53,0.47,-0.05,0.11
MOD let ~ PAST,0.23,-0.15,-0.05,-0.02
MOD let ~ MOD should,0.23,-0.15,-0.05,-0.02
MOD can ~ MOD could,-0.53,0.35,0.2,-0.02
IMPV ~ PAST,0.23,-0.15,-0.05,-0.02
MOD could ~ MOD would,-0.06,0.13,-0.05,-0.02
IMPV ~ MOD should,0.23,-0.15,-0.05,-0.02
FUT ~ MOD must,0.23,-0.15,-0.05,-0.02
MOD lest,-0.49,0.56,-0.05,-0.02
MOD should ~ MOD was to,-0.49,-0.01,0.38,0.13
PAST PERF,-0.2,-0.01,0.23,-0.02
IMPV ~ PRES PART,0.23,-0.15,-0.05,-0.02
MOD might ~ MOD would,-0.2,0.27,-0.05,-0.02
IMPV ~ TO INF,0.23,-0.15,-0.05,-0.02
FUT ~ FUT going-to,0.06,0.01,-0.05,-0.02
PRES PART ~ TO INF,-0.11,-0.15,0.28,-0.02
MOD lest ~ MOD might,-0.44,0.51,-0.05,-0.02
MOD could ~ PAST,0.06,0.01,-0.05,-0.02
FUT ~ PRES PERF,-0.27,0.35,-0.05,-0.02
MOD can ~ TO INF,0.23,-0.15,-0.05,-0.02
MOD is to ~ MOD may,-0.27,0.01,0.28,-0.02
MOD may ~ PRES PART,-0.11,0.18,-0.05,-0.02
MOD could ~ MOD might,-0.11,0.18,-0.05,-0.02
FUT going-to ~ MOD shall,0.06,0.01,-0.05,-0.02
MOD shall ~ MOD would,0.06,0.01,-0.05,-0.02
?VB ~ MOD let,0.23,-0.15,-0.05,-0.02
PAST ~ PAST PROG,0.06,0.01,-0.05,-0.02
MOD can ~ PRES PART,0.03,0.05,-0.05,-0.02
MOD VB ~ MOD may,-0.17,0.25,-0.05,-0.02
MOD is to ~ MOD must,-0.37,-0.15,0.35,0.18
MOD might ~ TO INF,-0.37,0.45,-0.05,-0.02
MOD can ~ MOD let,0.23,-0.15,-0.05,-0.02
MOD lest ~ TO INF,-0.77,0.85,-0.05,-0.02
MOD would ~ TO INF,-0.37,-0.15,0.15,0.38
MOD let ~ PRES PART,0.23,-0.15,-0.05,-0.02
MOD might ~ PAST,0.03,0.05,-0.05,-0.02
MOD was to,0.03,-0.15,0.15,-0.02
MOD might ~ MOD should,0.03,-0.15,-0.05,0.18
MOD should ~ PAST,-0.52,0.6,-0.05,-0.02
MOD VB ~ PRES,-0.77,0.85,-0.05,-0.02
