eng_TAMsimp,person,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
PRES,p3,-0.06,-0.05,0.09,0.03,0.0,0.01,-0.05,0.0,0.02,-0.01,0.0
FUT ~ MOD shall,p3,-0.2,-0.03,0.04,0.11,0.14,-0.06,-0.04,-0.0,0.03,0.0,-0.0
FUT,p1,0.05,0.05,-0.1,-0.05,-0.02,0.1,0.06,-0.04,-0.03,-0.01,-0.0
FUT,p3,-0.17,-0.05,0.12,0.08,0.04,-0.04,-0.02,0.02,0.01,0.01,-0.0
IMPV,p2,0.31,0.14,-0.1,-0.09,-0.05,-0.06,-0.07,-0.04,-0.03,-0.02,-0.0
IMPV ~ MOD shall,p2,0.3,0.2,-0.1,-0.09,-0.08,-0.07,-0.08,-0.04,-0.03,-0.01,-0.0
PRES,p2,0.37,0.01,-0.1,-0.07,-0.08,-0.0,-0.04,-0.04,-0.02,-0.01,-0.0
MOD let,p3,-0.29,-0.1,-0.03,-0.01,-0.04,0.11,0.05,0.26,-0.01,0.07,-0.0
PAST,p3,-0.12,0.01,0.06,0.0,0.01,0.09,-0.06,0.01,0.01,-0.01,0.0
FUT ~ PRES,p3,-0.12,-0.03,0.04,0.11,0.09,-0.04,-0.03,-0.01,0.01,0.0,-0.0
FUT ~ MOD shall,p2,0.15,0.11,-0.08,-0.05,0.05,-0.06,-0.04,-0.04,-0.02,-0.01,-0.0
MOD may,p3,-0.25,-0.09,0.07,0.02,-0.04,-0.05,0.11,0.11,0.01,0.12,-0.0
PRES,p1,0.28,-0.05,-0.1,-0.06,-0.07,0.07,-0.02,-0.03,-0.02,-0.01,0.01
FUT,p2,0.25,0.03,-0.08,-0.06,-0.06,0.03,-0.03,-0.04,-0.03,-0.01,-0.0
MOD must ~ MOD shall,p3,0.03,0.06,-0.03,0.01,0.09,-0.06,-0.07,-0.03,0.0,-0.01,-0.0
MOD is to ~ MOD shall,p3,-0.03,0.03,0.06,0.05,0.01,-0.05,-0.06,-0.03,0.04,-0.01,-0.0
MOD let,p1,-0.28,-0.12,-0.1,-0.09,-0.08,0.39,0.35,-0.03,-0.03,-0.01,-0.0
MOD can,p3,-0.13,-0.03,0.15,0.1,0.04,-0.05,-0.07,-0.04,0.04,-0.01,-0.0
MOD let ~ MOD may,p3,-0.28,-0.13,-0.06,-0.0,-0.01,0.04,0.04,0.35,-0.01,0.07,-0.0
MOD shall,p3,-0.15,-0.0,0.12,0.18,0.01,-0.05,-0.07,-0.02,0.01,-0.01,-0.0
IMPV ~ MOD let,p3,-0.28,-0.1,0.06,0.0,-0.01,0.03,0.03,0.16,0.03,0.08,-0.0
MOD must ~ MOD shall,p2,0.29,0.16,-0.09,-0.08,-0.05,-0.08,-0.07,-0.04,-0.03,-0.01,-0.0
MOD shall ~ PRES,p3,-0.04,-0.06,-0.0,0.09,0.1,-0.02,-0.06,-0.01,0.0,0.0,-0.0
FUT ~ MOD may,p3,-0.18,-0.03,0.02,-0.04,-0.03,-0.02,0.13,0.02,0.04,0.1,-0.0
MOD is to ~ MOD shall,p2,0.36,0.04,-0.08,-0.07,-0.04,-0.07,-0.06,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD shall,p1,0.28,0.02,-0.09,-0.05,-0.06,-0.03,0.0,-0.04,-0.03,-0.01,-0.0
FUT ~ PRES,p1,0.08,-0.04,-0.1,-0.04,0.02,0.12,0.04,-0.04,-0.03,-0.01,-0.0
PAST,p1,-0.05,0.04,-0.1,-0.08,-0.08,0.17,0.18,-0.04,-0.03,-0.01,-0.0
PRES ~ PRES PART,p3,0.06,0.02,-0.02,0.02,-0.07,0.05,-0.02,-0.04,0.01,-0.01,-0.0
MOD would,p3,-0.06,-0.11,0.01,0.16,-0.04,-0.02,0.03,-0.01,0.01,0.03,-0.0
FUT ~ PRES,p2,0.25,0.15,-0.1,-0.09,-0.07,-0.01,-0.05,-0.04,-0.03,-0.01,-0.0
MOD may,p1,-0.28,-0.11,-0.1,-0.09,-0.08,-0.05,0.78,-0.04,-0.01,-0.01,-0.0
PAST ~ PRES,p3,-0.01,-0.04,0.02,0.06,0.03,0.02,-0.03,-0.02,-0.01,-0.01,-0.0
MOD may,p2,0.37,0.04,-0.06,-0.09,-0.08,-0.07,-0.02,-0.04,-0.03,-0.01,-0.0
MOD can,p1,0.32,0.11,-0.1,-0.08,-0.07,-0.03,-0.07,-0.04,-0.03,-0.01,-0.0
MOD shall,p1,0.48,-0.08,-0.1,-0.09,-0.08,-0.01,-0.04,-0.04,-0.03,-0.01,-0.0
MOD may ~ PRES,p3,-0.18,-0.07,0.19,0.06,-0.06,-0.04,-0.02,0.08,-0.01,0.06,-0.0
PRES ~ PRES PERF,p3,-0.07,-0.09,0.2,0.03,-0.02,-0.04,-0.05,0.02,0.05,-0.01,-0.0
TO INF,p3,-0.16,0.0,-0.1,-0.05,-0.08,0.02,0.4,-0.04,-0.0,0.01,-0.0
FUT ~ MOD can,p3,-0.09,0.0,-0.01,0.19,0.09,-0.06,-0.05,-0.04,-0.03,-0.01,-0.0
MOD can ~ PRES,p3,-0.06,-0.04,0.21,0.04,0.03,-0.06,-0.07,-0.04,-0.0,-0.01,-0.0
FUT ~ MOD lest,p3,-0.12,0.01,0.33,-0.07,-0.06,-0.08,-0.07,-0.04,0.13,-0.01,-0.0
MOD should,p3,-0.12,-0.1,0.29,-0.02,-0.04,-0.08,0.02,0.01,0.07,-0.01,-0.0
MOD can,p2,0.38,0.03,-0.1,-0.07,-0.06,-0.04,-0.07,-0.04,-0.03,-0.01,-0.0
FUT ~ MOD may,p1,-0.32,-0.06,-0.1,-0.09,-0.06,0.1,0.59,-0.04,-0.03,0.01,-0.0
IMPV,p3,-0.26,-0.13,0.04,0.02,-0.02,-0.04,0.02,0.24,0.07,0.05,-0.0
MOD shall,p2,0.19,0.08,-0.03,-0.02,-0.01,-0.06,-0.07,-0.04,-0.03,-0.01,-0.0
MOD may ~ MOD shall,p3,-0.35,-0.15,0.02,0.27,0.23,-0.08,-0.0,0.04,0.02,0.01,-0.0
MOD would,p1,-0.03,0.05,-0.1,-0.07,-0.08,0.21,0.1,-0.04,-0.03,-0.01,-0.0
PAST,p2,0.05,0.15,-0.1,-0.09,-0.03,0.14,-0.05,-0.04,-0.03,-0.01,-0.0
IMPV ~ MOD shall,p3,-0.05,-0.04,0.09,0.02,0.08,-0.06,-0.07,-0.01,0.06,-0.01,-0.0
MOD can ~ MOD may,p1,-0.26,-0.12,-0.1,-0.09,-0.08,-0.08,0.79,-0.04,-0.03,0.01,-0.0
PRES PART,p3,0.02,0.05,-0.04,-0.03,0.03,0.06,-0.05,-0.04,0.0,-0.01,-0.0
PRES ~ TO INF,p3,0.02,0.05,-0.04,-0.09,-0.05,0.03,0.1,-0.04,0.0,-0.01,0.03
PRES PERF,p3,-0.14,-0.09,0.37,-0.03,-0.05,-0.02,-0.04,-0.04,0.03,-0.01,0.03
MOD should,p1,0.47,-0.09,-0.07,-0.06,-0.08,-0.08,-0.04,-0.04,0.0,-0.01,-0.0
IMPV ~ PRES,p2,0.03,0.29,-0.1,0.0,-0.05,-0.05,-0.04,-0.04,-0.03,-0.01,-0.0
MOD could,p3,0.25,-0.05,0.07,-0.06,-0.05,-0.08,-0.07,-0.04,0.04,-0.01,-0.0
PRES ~ PRES PERF,p2,0.38,0.02,-0.1,-0.09,-0.08,0.02,-0.07,-0.04,-0.03,-0.01,-0.0
MOD shall ~ PRES,p2,0.39,0.04,-0.1,-0.05,-0.08,-0.05,-0.07,-0.04,-0.03,-0.01,-0.0
IMPV ~ PRES,p3,-0.31,0.04,-0.02,0.06,-0.01,-0.04,-0.07,0.27,0.05,-0.01,0.04
MOD would ~ PAST,p3,-0.04,0.2,-0.06,-0.01,0.07,-0.08,-0.07,0.0,0.01,-0.01,-0.0
MOD can ~ MOD may,p3,-0.07,0.05,0.1,-0.01,-0.0,-0.08,0.05,-0.04,-0.03,0.03,-0.0
