eng_TAMsimp,person,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
PRES,p3,598,217,354,237,168,183,62,82,73,16,9
FUT ~ MOD shall,p3,235,168,186,264,297,37,40,79,43,20,0
FUT,p3,209,109,228,185,134,51,34,41,62,13,0
FUT,p1,430,215,2,46,77,105,53,0,3,0,0
IMPV ~ MOD shall,p2,298,162,0,0,4,5,0,0,0,0,0
PRES,p2,296,64,1,8,2,33,15,1,0,0,0
PAST,p3,75,51,52,31,30,57,5,12,14,3,1
FUT ~ MOD shall,p2,140,74,4,11,38,8,10,1,0,0,0
FUT ~ PRES,p3,66,33,37,56,48,11,11,9,8,3,0
FUT,p2,151,45,5,9,5,27,12,0,0,0,0
PRES,p1,158,27,0,7,5,34,8,1,1,0,3
MOD must ~ MOD shall,p3,83,46,15,23,39,5,1,5,1,1,0
MOD is to ~ MOD shall,p3,65,36,33,27,20,6,2,13,2,0,0
IMPV,p2,75,73,0,1,16,11,7,0,0,0,0
MOD can,p3,37,20,41,32,20,5,0,11,0,1,0
MOD shall,p3,24,18,26,33,11,4,0,4,2,0,0
MOD may,p3,26,12,29,25,9,2,5,7,1,2,0
MOD must ~ MOD shall,p2,73,36,1,1,4,0,0,0,0,0,0
MOD shall ~ PRES,p3,32,9,10,18,18,6,1,3,1,2,0
MOD is to ~ MOD shall,p2,63,17,2,2,4,1,1,0,0,0,0
PRES ~ PRES PART,p3,32,13,6,9,1,10,4,3,0,0,0
PAST,p1,24,15,0,1,0,18,19,0,0,0,0
FUT ~ PRES,p2,44,21,0,0,1,5,2,0,0,0,0
FUT ~ MOD shall,p1,48,14,1,2,2,2,3,0,0,0,0
FUT ~ MOD may,p3,17,12,12,5,5,5,3,7,3,3,0
PAST ~ PRES,p3,24,8,8,11,8,7,3,1,1,0,0
MOD would,p3,22,3,8,19,3,5,5,3,2,0,0
MOD may,p2,42,11,2,0,0,1,3,0,0,0,0
FUT ~ PRES,p1,30,9,0,4,6,8,2,0,0,0,0
MOD can,p1,38,15,0,1,1,3,0,0,0,0,0
MOD shall,p1,46,4,0,0,0,4,0,0,0,0,0
PRES ~ PRES PERF,p3,14,3,15,6,3,2,1,4,3,0,0
FUT ~ MOD can,p3,12,7,4,13,8,1,1,0,0,0,0
MOD can ~ PRES,p3,13,5,14,6,5,1,0,1,0,0,0
MOD can,p2,32,8,0,1,1,2,0,0,0,0,0
FUT ~ MOD lest,p3,10,6,19,1,1,0,0,7,0,0,0
MOD shall,p2,23,10,3,3,3,1,0,0,0,0,0
MOD should,p3,10,2,17,3,2,0,1,4,1,0,0
PAST,p2,16,11,0,0,2,9,1,0,0,0,0
MOD may ~ MOD shall,p3,0,0,5,14,13,0,1,1,2,1,0
IMPV ~ MOD shall,p3,11,2,7,4,6,1,0,3,1,0,0
PRES PART,p3,13,7,2,2,4,5,1,1,0,0,0
MOD may ~ PRES,p3,9,4,9,7,0,2,2,1,0,0,0
PRES PERF,p3,7,2,16,2,1,2,1,2,0,0,1
MOD should,p1,27,2,1,1,0,0,0,1,0,0,0
PRES ~ TO INF,p3,13,7,2,0,1,4,2,1,0,0,1
MOD could,p3,18,3,5,1,1,0,0,2,0,0,0
IMPV ~ PRES,p2,11,12,0,3,1,1,1,0,0,0,0
PRES ~ PRES PERF,p2,21,5,0,0,0,3,0,0,0,0,0
MOD shall ~ PRES,p2,20,5,0,1,0,1,0,0,0,0,0
MOD would ~ PAST,p3,8,9,1,2,4,0,0,1,1,0,0
MOD let,p3,4,8,2,1,0,3,3,1,2,2,0
MOD would,p1,11,7,0,1,0,5,1,0,0,0,0
TO INF,p3,8,6,0,2,0,4,2,1,0,0,0
PAST ~ PRES,p2,12,2,0,0,0,8,0,0,0,0,0
MOD shall ~ PRES,p1,11,4,0,2,2,2,0,0,0,0,0
MOD can ~ MOD shall,p1,17,1,0,0,0,0,2,1,0,0,0
TO INF,p2,10,5,0,0,1,4,0,0,0,0,0
MOD should ~ PRES,p3,5,3,7,4,1,0,0,0,0,0,0
MOD can ~ MOD may,p3,6,5,5,2,2,0,0,0,0,0,0
MOD would,p2,14,1,0,0,2,2,1,0,0,0,0
FUT ~ MOD may,p2,18,0,0,0,0,0,0,1,0,0,0
PAST ~ PRES PART,p3,5,5,2,1,1,1,3,0,0,0,0
MOD shall ~ PRES PART,p3,7,3,2,0,3,0,1,2,0,0,0
MOD can ~ MOD shall,p3,5,0,3,4,3,0,0,2,0,0,0
MOD can ~ PRES,p2,13,3,0,0,0,1,0,0,0,0,0
IMPV ~ PRES,p3,1,5,2,3,2,1,0,2,0,0,1
MOD shall ~ TO INF,p3,3,5,0,4,2,0,1,1,0,1,0
MOD should ~ PRES,p2,10,4,1,0,1,0,1,0,0,0,0
MOD shall ~ MOD should,p1,16,1,0,0,0,0,0,0,0,0,0
PAST ~ PRES,p1,8,3,0,0,0,2,4,0,0,0,0
FUT ~ MOD lest,p2,9,7,1,0,0,0,0,0,0,0,0
FUT ~ MOD would,p3,7,0,2,3,2,0,0,2,0,0,0
FUT ~ IMPV,p2,4,5,1,1,1,3,1,0,0,0,0
FUT ~ TO INF,p3,2,4,3,3,0,2,2,0,0,0,0
MOD must,p3,5,3,1,2,1,1,1,0,1,0,0
MOD may ~ MOD shall,p2,9,4,0,0,1,0,0,1,0,0,0
PRES ~ PRES PART,p2,12,3,0,0,0,0,0,0,0,0,0
PRES PERF,p2,9,3,0,0,0,2,0,0,0,0,0
MOD shall ~ TO INF,p2,8,3,0,3,0,0,0,0,0,0,0
PAST ~ PRES PERF,p3,4,0,4,1,0,0,0,1,4,0,0
MOD let ~ MOD shall,p3,3,2,2,1,2,1,0,1,1,0,0
PRES PERF,p1,10,1,0,0,0,1,1,0,0,0,0
IMPV ~ MOD may,p2,7,5,0,0,0,0,1,0,0,0,0
MOD should ~ MOD would,p3,2,3,0,3,0,0,2,1,1,0,0
MOD must,p2,6,3,0,2,1,0,0,0,0,0,0
MOD shall ~ MOD should,p3,1,2,6,2,0,0,0,1,0,0,0
FUT ~ MOD would,p1,6,3,0,1,1,0,1,0,0,0,0
FUT ~ MOD may,p1,1,3,0,0,1,3,3,0,0,1,0
FUT ~ MOD would,p2,9,1,0,0,0,2,0,0,0,0,0
PRES PART,p2,7,3,0,0,0,2,0,0,0,0,0
PAST ~ PRES PERF,p2,3,1,0,0,0,7,0,0,0,0,0
IMPV ~ MOD must,p2,7,2,0,0,1,0,0,0,1,0,0
MOD shall ~ PAST,p3,4,0,2,2,2,0,0,1,0,0,0
HAB used to ~ PAST,p3,3,2,4,1,0,0,0,1,0,0,0
MOD let ~ PRES,p3,1,1,1,1,0,3,1,0,2,1,0
MOD lest ~ MOD may,p3,6,1,1,0,3,0,0,0,0,0,0
MOD would ~ PRES,p2,6,1,0,1,0,1,1,0,1,0,0
MOD may,p1,4,3,0,0,0,0,3,1,0,0,0
FUT ~ PRES PART,p3,5,2,1,1,0,0,0,0,0,1,0
PRES ~ PRES PROG,p3,3,0,3,1,1,0,0,1,1,0,0
FUT ~ MOD lest,p1,9,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD can,p2,6,3,0,0,0,0,1,0,0,0,0
MOD must,p1,8,0,0,0,0,0,1,0,0,0,0
MOD may ~ PRES,p2,6,3,0,0,0,0,0,0,0,0,0
MOD should ~ TO INF,p3,5,0,3,1,0,0,0,0,0,0,0
PRES ~ TO INF,p2,7,0,0,0,0,2,0,0,0,0,0
IMPV ~ MOD can,p3,0,9,0,0,0,0,0,0,0,0,0
MOD is to,p3,4,0,2,3,0,0,0,0,0,0,0
MOD can ~ PRES,p1,5,3,1,0,0,0,0,0,0,0,0
FUT ~ PAST,p3,2,1,1,1,3,0,0,0,0,1,0
MOD was to ~ PAST,p3,5,0,3,0,0,0,1,0,0,0,0
FUT ~ MOD should,p3,3,0,1,2,2,0,0,0,0,0,0
PRES ~ PRES PERF,p1,4,0,0,1,0,2,1,0,0,0,0
MOD must ~ PRES,p2,6,2,0,0,0,0,0,0,0,0,0
