eng_TAMsimp,person,TOTAL,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
MOD quest must,p3,1,0,1,0,0,0,0,0,0,0,0,0
MOD must ~ MOD quest must,p3,1,0,0,0,0,1,0,0,0,0,0,0
MOD must ~ MOD quest must,p1,1,0,0,0,0,0,1,0,0,0,0,0
MOD quest must ~ MOD shall,p3,1,0,0,1,0,0,0,0,0,0,0,0
MOD might ~ PRES PERF,p2,1,0,0,0,0,0,0,1,0,0,0,0
MOD might ~ MOD would,p2,1,0,1,0,0,0,0,0,0,0,0,0
MOD might ~ MOD would,p1,1,0,0,0,0,0,0,1,0,0,0,0
MOD shall ~ PAST,p1,1,1,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES PERF,p1,1,0,0,0,0,0,1,0,0,0,0,0
MOD may ~ MOD would,p3,1,0,0,1,0,0,0,0,0,0,0,0
MOD may ~ MOD should,p3,1,1,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,p3,1,1,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD should,p1,1,1,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD must,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD may,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PART,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PART,p3,1,1,0,0,0,0,0,0,0,0,0,0
MOD VB ~ TO INF,p3,1,1,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD shall,p3,1,0,0,0,0,1,0,0,0,0,0,0
MOD VB ~ MOD can,p1,1,1,0,0,0,0,0,0,0,0,0,0
JJ ~ PRES,p3,1,0,0,0,0,0,0,1,0,0,0,0
IMPV ~ PRES PERF,p3,1,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PART,p3,1,0,1,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PART,p1,1,0,1,0,0,0,0,0,0,0,0,0
MOD would ~ TO INF,p2,1,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES,p1,1,1,0,0,0,0,0,0,0,0,0,0
MOD ~ MOD let,p1,1,0,0,0,0,0,0,1,0,0,0,0
MOD ~ PRES,p3,1,1,0,0,0,0,0,0,0,0,0,0
PAST PERF,p1,1,0,0,0,0,0,1,0,0,0,0,0
IMPV ~ MOD need not,p2,1,1,0,0,0,0,0,0,0,0,0,0
PAST PERF ~ PRES,p1,1,0,0,0,0,0,0,1,0,0,0,0
PAST PERF ~ PRES,p2,1,0,0,0,0,0,1,0,0,0,0,0
MOD would ~ PRES PART,p1,1,0,0,0,0,0,1,0,0,0,0,0
MOD can ~ MOD could,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD lest,p3,1,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD should,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD lest,p3,1,1,0,0,0,0,0,0,0,0,0,0
MOD is to,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ TO INF,p3,1,0,0,0,0,1,0,0,0,0,0,0
MOD could ~ TO INF,p1,1,0,1,0,0,0,0,0,0,0,0,0
MOD could ~ PRES PERF,p3,1,0,0,0,0,1,0,0,0,0,0,0
MOD could ~ PAST PERF,p3,1,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ PAST,p1,1,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD shall,p1,1,0,0,0,0,1,0,0,0,0,0,0
MOD can ~ MOD must,p1,1,0,0,0,0,0,1,0,0,0,0,0
MOD that be ~ TO INF,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD can ~ PRES PART,p1,1,0,0,0,0,0,1,0,0,0,0,0
MOD was to ~ PRES,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD should,p1,1,1,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST PERF,p3,1,0,0,0,0,1,0,0,0,0,0,0
MOD would ~ PAST PROG,p3,1,1,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD must,p2,1,1,0,0,0,0,0,0,0,0,0,0
?VB ~ PAST,p1,1,1,0,0,0,0,0,0,0,0,0,0
