eng_TAMsimp,person,TOTAL,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
MOD shall ~ MOD should,p1,17,16,1,0,0,0,0,0,0,0,0,0
MOD let ~ TO INF,p3,16,0,0,0,0,2,1,12,1,0,0,0
FUT ~ MOD would,p3,16,7,0,2,3,2,0,0,0,2,0,0
FUT ~ IMPV,p2,16,4,5,1,1,1,3,1,0,0,0,0
MOD must,p3,15,5,3,1,2,1,1,1,1,0,0,0
PRES ~ PRES PART,p2,15,12,3,0,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,p2,15,9,4,0,0,1,0,0,0,1,0,0
MOD shall ~ TO INF,p2,14,8,3,0,3,0,0,0,0,0,0,0
PAST ~ PRES PERF,p3,14,4,0,4,1,0,0,0,4,1,0,0
PRES PERF,p2,14,9,3,0,0,0,2,0,0,0,0,0
IMPV ~ MOD let,p2,14,8,6,0,0,0,0,0,0,0,0,0
FUT ~ MOD let,p3,13,3,0,1,0,0,2,2,2,0,3,0
MOD must,p1,13,10,0,0,0,0,2,1,0,0,0,0
IMPV ~ MOD may,p2,13,7,5,0,0,0,0,1,0,0,0,0
PRES PERF,p1,13,10,1,0,0,0,1,1,0,0,0,0
PRES PART,p2,12,7,3,0,0,0,2,0,0,0,0,0
MOD shall ~ MOD should,p3,12,1,2,6,2,0,0,0,0,1,0,0
MOD must,p2,12,6,3,0,2,1,0,0,0,0,0,0
FUT ~ MOD would,p2,12,9,1,0,0,0,2,0,0,0,0,0
IMPV ~ MOD must,p2,12,8,2,0,0,1,0,0,1,0,0,0
MOD should ~ MOD would,p3,12,2,3,0,3,0,0,2,1,1,0,0
PAST ~ PRES PERF,p2,11,3,1,0,0,0,7,0,0,0,0,0
MOD shall ~ PAST,p3,11,4,0,2,2,2,0,0,0,1,0,0
TO INF,p1,11,2,1,0,0,0,1,7,0,0,0,0
HAB used to ~ PAST,p3,11,3,2,4,1,0,0,0,0,1,0,0
