eng_TAMsimp,person,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
PRES,p3,3.34,9.21,5.65,8.43,11.9,10.92,32.24,24.38,27.38,124.94,222.11
FUT ~ MOD shall,p3,5.83,8.15,7.36,5.19,4.61,37.0,34.22,17.33,31.84,68.45,inf
FUT,p3,5.1,9.78,4.68,5.76,7.96,20.9,31.35,26.0,17.19,82.0,inf
FUT,p1,2.17,4.33,465.5,20.24,12.09,8.87,17.57,inf,310.33,inf,inf
IMPV ~ MOD shall,p2,1.57,2.9,inf,inf,117.25,93.8,inf,inf,inf,inf,inf
PRES,p2,1.42,6.56,420.0,52.5,210.0,12.73,28.0,420.0,inf,inf,inf
PAST,p3,4.41,6.49,6.37,10.68,11.03,5.81,66.2,27.58,23.64,110.33,331.0
FUT ~ MOD shall,p2,2.04,3.86,71.5,26.0,7.53,35.75,28.6,286.0,inf,inf,inf
FUT ~ PRES,p3,4.27,8.55,7.62,5.04,5.88,25.64,25.64,31.33,35.25,94.0,inf
FUT,p2,1.68,5.64,50.8,28.22,50.8,9.41,21.17,inf,inf,inf,inf
PRES,p1,1.54,9.04,inf,34.86,48.8,7.18,30.5,244.0,244.0,inf,81.33
MOD must ~ MOD shall,p3,2.64,4.76,14.6,9.52,5.62,43.8,219.0,43.8,219.0,219.0,inf
MOD is to ~ MOD shall,p3,3.14,5.67,6.18,7.56,10.2,34.0,102.0,15.69,102.0,inf,inf
IMPV,p2,2.44,2.51,inf,183.0,11.44,16.64,26.14,inf,inf,inf,inf
MOD can,p3,4.51,8.35,4.07,5.22,8.35,33.4,inf,15.18,inf,167.0,inf
MOD shall,p3,5.08,6.78,4.69,3.7,11.09,30.5,inf,30.5,61.0,inf,inf
MOD may,p3,4.54,9.83,4.07,4.72,13.11,59.0,23.6,16.86,118.0,59.0,inf
MOD must ~ MOD shall,p2,1.58,3.19,115.0,115.0,28.75,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,p3,3.12,11.11,10.0,5.56,5.56,16.67,100.0,33.33,100.0,50.0,inf
MOD is to ~ MOD shall,p2,1.43,5.29,45.0,45.0,22.5,90.0,90.0,inf,inf,inf,inf
PRES ~ PRES PART,p3,2.44,6.0,13.0,8.67,78.0,7.8,19.5,26.0,inf,inf,inf
PAST,p1,3.21,5.13,inf,77.0,inf,4.28,4.05,inf,inf,inf,inf
FUT ~ PRES,p2,1.66,3.48,inf,inf,73.0,14.6,36.5,inf,inf,inf,inf
FUT ~ MOD shall,p1,1.5,5.14,72.0,36.0,36.0,36.0,24.0,inf,inf,inf,inf
FUT ~ MOD may,p3,4.24,6.0,6.0,14.4,14.4,14.4,24.0,10.29,24.0,24.0,inf
PAST ~ PRES,p3,2.96,8.88,8.88,6.45,8.88,10.14,23.67,71.0,71.0,inf,inf
MOD would,p3,3.18,23.33,8.75,3.68,23.33,14.0,14.0,23.33,35.0,inf,inf
MOD may,p2,1.4,5.36,29.5,inf,inf,59.0,19.67,inf,inf,inf,inf
FUT ~ PRES,p1,1.97,6.56,inf,14.75,9.83,7.38,29.5,inf,inf,inf,inf
MOD can,p1,1.53,3.87,inf,58.0,58.0,19.33,inf,inf,inf,inf,inf
MOD shall,p1,1.17,13.5,inf,inf,inf,13.5,inf,inf,inf,inf,inf
PRES ~ PRES PERF,p3,3.64,17.0,3.4,8.5,17.0,25.5,51.0,12.75,17.0,inf,inf
FUT ~ MOD can,p3,3.83,6.57,11.5,3.54,5.75,46.0,46.0,inf,inf,inf,inf
MOD can ~ PRES,p3,3.46,9.0,3.21,7.5,9.0,45.0,inf,45.0,inf,inf,inf
MOD can,p2,1.38,5.5,inf,44.0,44.0,22.0,inf,inf,inf,inf,inf
FUT ~ MOD lest,p3,4.4,7.33,2.32,44.0,44.0,inf,inf,6.29,inf,inf,inf
MOD shall,p2,1.87,4.3,14.33,14.33,14.33,43.0,inf,inf,inf,inf,inf
MOD should,p3,4.0,20.0,2.35,13.33,20.0,inf,40.0,10.0,40.0,inf,inf
PAST,p2,2.44,3.55,inf,inf,19.5,4.33,39.0,inf,inf,inf,inf
MOD may ~ MOD shall,p3,inf,inf,7.4,2.64,2.85,inf,37.0,37.0,18.5,37.0,inf
IMPV ~ MOD shall,p3,3.18,17.5,5.0,8.75,5.83,35.0,inf,11.67,35.0,inf,inf
PRES PART,p3,2.69,5.0,17.5,17.5,8.75,7.0,35.0,35.0,inf,inf,inf
