,,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
MOD would,p1,0.27,0.78,-0.99,-0.29,-0.78,1.66,0.24,0.0,0.0,0.0,0.0
TO INF,p3,-0.08,0.6,-0.78,0.0,-0.79,1.21,0.75,0.31,0.0,0.0,0.0
PAST ~ PRES,p2,0.91,-0.25,-0.79,-0.8,-0.58,4.31,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,p1,0.75,0.12,-0.8,0.0,-0.0,0.19,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,p1,3.96,-0.63,-0.8,-0.8,-0.59,-0.4,0.81,0.33,0.0,0.0,0.0
TO INF,p2,0.59,0.45,-0.8,-0.59,0.0,1.41,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,p3,-0.45,0.0,2.43,0.84,0.0,-0.19,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,p3,-0.19,0.45,1.24,0.0,0.15,-0.19,0.0,0.0,0.0,0.0,0.0
MOD would,p2,2.36,-0.63,-0.8,-0.59,0.15,0.42,0.31,0.0,0.0,0.0,0.0
FUT ~ MOD may,p2,6.58,-1.23,-0.59,-0.6,-0.6,-0.2,0.0,0.37,0.0,0.0,0.0
PAST ~ PRES PART,p3,-0.33,0.71,-0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,p3,-0.0,-0.0,-0.0,-0.61,0.62,-0.2,0.34,1.02,0.0,0.0,0.0
MOD can ~ MOD shall,p3,-0.21,-1.03,0.38,1.04,0.67,-0.21,0.0,1.06,0.0,0.0,0.0
MOD can ~ PRES,p2,2.8,0.13,-0.61,-0.61,-0.4,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,p3,-2.3,0.75,0.15,0.39,0.17,0.0,0.0,1.06,0.0,0.0,1.65
MOD shall ~ TO INF,p3,-0.88,0.75,-0.61,1.04,0.17,-0.21,0.36,0.4,0.0,1.01,0.0
MOD should ~ PRES,p2,1.09,0.3,0.0,-0.61,0.0,-0.21,0.36,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,p1,5.77,-0.47,-0.61,-0.61,-0.4,-0.21,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,p1,0.34,0.13,-0.61,-0.61,-0.4,0.51,2.69,0.0,0.0,0.0,0.0
FUT ~ MOD lest,p2,0.67,1.9,0.0,-0.61,-0.4,-0.21,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,p3,0.21,-1.04,0.16,0.65,0.18,-0.21,0.0,1.11,0.0,0.0,0.0
FUT ~ IMPV,p2,-0.36,0.79,0.0,0.0,0.0,1.07,0.38,0.0,0.0,0.0,0.0
FUT ~ TO INF,p3,-1.4,0.5,0.61,0.65,-0.41,0.54,1.01,0.0,0.0,0.0,0.0
MOD must,p3,-0.1,0.14,0.0,0.18,0.0,-0.0,0.4,0.0,0.57,0.0,0.0
MOD may ~ MOD shall,p2,0.97,0.54,-0.4,-0.41,0.0,-0.21,0.0,0.45,0.0,0.0,0.0
PRES ~ PRES PART,p2,2.73,0.14,-0.4,-0.41,-0.41,-0.21,0.0,0.0,0.0,0.0,0.0
PRES PERF,p2,1.29,0.31,-0.41,-0.41,-0.2,0.63,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,p2,0.78,0.31,-0.41,0.77,-0.2,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,p3,-0.23,-0.84,1.25,0.0,-0.2,0.0,0.0,0.47,3.83,0.0,0.0
MOD let ~ MOD shall,p3,-0.4,0.0,0.19,0.0,0.45,0.23,0.0,0.5,0.62,0.0,0.0
PRES PERF,p1,2.17,-0.15,-0.41,-0.41,-0.2,0.23,0.45,0.0,0.0,0.0,0.0
IMPV ~ MOD may,p2,0.59,1.34,-0.41,-0.41,-0.2,0.0,0.45,0.0,0.0,0.0,0.0
MOD should ~ MOD would,p3,-0.64,0.37,-0.2,0.92,-0.21,0.0,1.23,0.52,0.66,0.0,0.0
MOD must,p2,0.41,0.37,-0.2,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,p3,-1.42,-0.0,3.09,0.45,-0.21,0.0,0.0,0.52,0.0,0.0,0.0
FUT ~ MOD would,p1,0.41,0.37,-0.2,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0
FUT ~ MOD may,p1,-1.42,0.37,-0.2,-0.2,0.0,1.39,2.19,0.0,0.0,1.15,0.0
FUT ~ MOD would,p2,1.89,-0.15,-0.2,-0.2,-0.21,0.73,0.0,0.0,0.0,0.0,0.0
PRES PART,p2,0.83,0.37,-0.2,-0.2,-0.21,0.73,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,p2,-0.26,0.0,-0.21,-0.21,-0.21,5.86,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD must,p2,0.94,0.16,-0.21,-0.21,0.0,0.0,0.0,0.0,0.69,0.0,0.0
MOD shall ~ PAST,p3,0.0,-0.64,0.47,0.5,0.55,0.0,0.0,0.56,0.0,0.0,0.0
HAB used to ~ PAST,p3,-0.26,0.16,1.62,0.0,-0.21,0.0,0.0,0.56,0.0,0.0,0.0
MOD let ~ PRES,p3,-1.21,0.0,0.0,0.0,-0.21,1.5,0.51,0.0,1.69,1.19,0.0
MOD lest ~ MOD may,p3,0.46,0.0,0.0,-0.21,1.11,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,p2,0.46,0.0,-0.21,0.0,-0.21,0.28,0.51,0.0,0.69,0.0,0.0
MOD may,p1,0.0,0.4,-0.21,-0.21,-0.21,0.0,2.3,0.56,0.0,0.0,0.0
FUT ~ PRES PART,p3,0.29,0.17,0.0,0.0,-0.21,0.0,0.0,0.0,0.0,1.23,0.0
PRES ~ PRES PROG,p3,-0.12,-0.42,1.07,0.0,-0.0,0.0,0.0,0.59,0.73,0.0,0.0
FUT ~ MOD lest,p1,3.01,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,p2,0.72,0.67,-0.21,-0.21,-0.21,0.0,0.54,0.0,0.0,0.0,0.0
MOD must,p1,2.63,-0.43,-0.21,-0.21,0.0,0.0,0.58,0.0,0.0,0.0,0.0
MOD may ~ PRES,p2,1.05,0.78,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,p3,0.51,-0.43,1.19,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,p2,1.5,-0.43,-0.21,-0.21,0.0,0.94,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD can,p3,-1.77,7.12,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to,p3,0.13,-0.43,0.6,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,p1,0.51,0.78,-0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,p3,-0.3,0.0,-0.0,-0.0,1.34,0.0,0.0,0.0,0.0,1.27,0.0
MOD was to ~ PAST,p3,0.51,-0.43,1.19,-0.21,0.0,0.0,0.58,0.0,0.0,0.0,0.0
FUT ~ MOD should,p3,0.0,-0.43,0.22,0.71,0.77,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,p1,0.32,-0.43,0.0,0.24,0.0,1.03,0.62,0.0,0.0,0.0,0.0
MOD must ~ PRES,p2,1.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,p3,0.79,-0.43,0.68,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,p1,-0.14,0.2,0.0,0.0,0.0,0.38,2.74,0.0,0.0,0.0,0.0
FUT ~ MOD can,p1,0.32,0.9,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,p3,1.23,-0.43,0.0,0.24,0.26,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,p3,-0.14,-0.43,0.0,0.71,0.26,0.38,0.0,0.68,0.81,0.0,0.0
MOD lest ~ PRES,p2,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,p2,0.79,0.2,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,p1,0.32,0.2,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0
MOD should,p2,0.36,0.5,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,p1,-0.0,0.0,0.0,0.0,0.3,0.0,1.68,0.0,0.0,0.0,0.0
MOD might,p3,-0.14,0.0,0.77,0.27,0.0,0.0,0.0,0.0,0.87,0.0,0.0
PAST ~ PAST PERF,p3,-0.0,0.0,0.26,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,p3,-0.0,-0.22,0.0,0.0,0.0,0.42,0.0,0.0,2.08,1.38,0.0
FUT ~ TO INF,p1,-1.3,1.8,0.0,0.0,0.3,1.13,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,p1,-0.14,0.5,0.0,0.0,0.3,0.42,0.0,0.0,0.87,0.0,0.0
MOD may ~ TO INF,p3,-0.38,-0.0,0.3,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.0
MOD must ~ PRES,p3,-0.38,-0.0,0.0,0.92,0.0,0.0,0.0,1.93,0.0,0.0,0.0
PAST PERF,p3,-1.05,-0.22,0.88,0.0,0.98,0.0,0.0,1.93,0.0,0.0,0.0
MOD can ~ MOD may,p1,0.17,-0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,p1,1.51,-0.22,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,p2,0.17,0.6,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,p3,-0.18,0.73,0.36,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,p3,0.43,0.0,0.36,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0
