eng_TAMsimp,person,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
PAST ~ PRES,p2,0.83,10.0,inf,inf,inf,1.75,inf,inf,inf,inf,inf
IMPV ~ PRES,p3,21.0,3.4,10.0,4.5,10.0,21.0,inf,4.5,10.0,inf,21.0
MOD may ~ TO INF,p3,20.0,20.0,20.0,inf,inf,inf,0.24,inf,inf,20.0,inf
MOD should ~ PRES,p3,3.2,6.0,2.0,4.25,9.5,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,p1,0.91,4.25,inf,9.5,9.5,9.5,inf,inf,inf,inf,inf
MOD can ~ MOD shall,p1,0.24,20.0,inf,inf,inf,inf,9.5,inf,20.0,inf,inf
TO INF,p2,0.91,3.2,inf,inf,20.0,4.25,inf,inf,inf,inf,inf
MOD would,p2,0.43,19.0,inf,inf,9.0,9.0,19.0,inf,inf,inf,inf
FUT ~ MOD may,p2,0.06,inf,inf,inf,inf,inf,inf,inf,18.0,inf,inf
MOD can ~ MOD may,p1,5.0,17.0,inf,inf,inf,inf,0.38,inf,inf,17.0,inf
PAST ~ PRES,p1,1.25,5.0,inf,inf,inf,8.0,2.6,inf,inf,inf,inf
MOD shall ~ TO INF,p3,5.0,2.6,inf,3.5,8.0,inf,8.0,inf,17.0,17.0,inf
MOD shall ~ PRES PART,p3,1.57,5.0,8.0,inf,5.0,inf,17.0,inf,8.0,inf,inf
PAST ~ PRES PART,p3,2.6,2.6,8.0,17.0,17.0,17.0,5.0,inf,inf,inf,inf
MOD let ~ PRES,p3,16.0,16.0,16.0,4.67,inf,3.25,16.0,2.4,inf,16.0,inf
MOD can ~ MOD shall,p3,2.4,inf,4.67,3.25,4.67,inf,inf,inf,7.5,inf,inf
MOD can ~ PRES,p2,0.31,4.67,inf,inf,inf,16.0,inf,inf,inf,inf,inf
MOD should ~ PRES,p2,0.7,3.25,16.0,inf,16.0,inf,16.0,inf,inf,inf,inf
MOD shall ~ MOD should,p1,0.06,16.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD lest,p2,0.89,1.43,16.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD may,p3,inf,15.0,3.0,4.33,15.0,15.0,3.0,7.0,inf,inf,inf
FUT ~ TO INF,p3,7.0,3.0,4.33,4.33,inf,7.0,7.0,inf,inf,inf,inf
FUT ~ MOD would,p3,1.29,inf,7.0,4.33,7.0,inf,inf,inf,7.0,inf,inf
FUT ~ IMPV,p2,3.0,2.2,15.0,15.0,15.0,4.33,15.0,inf,inf,inf,inf
MOD may ~ MOD shall,p2,0.67,2.75,inf,inf,14.0,inf,inf,inf,14.0,inf,inf
MOD let ~ MOD shall,p3,2.75,14.0,14.0,14.0,6.5,6.5,14.0,6.5,14.0,inf,inf
PRES ~ PRES PART,p2,0.25,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must,p3,2.0,4.0,14.0,6.5,14.0,14.0,14.0,14.0,inf,inf,inf
MOD shall ~ TO INF,p2,0.75,3.67,inf,3.67,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,p3,2.5,inf,2.5,13.0,inf,inf,inf,2.5,13.0,inf,inf
PRES PERF,p2,0.56,3.67,inf,inf,inf,6.0,inf,inf,inf,inf,inf
