,,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
MOD can ~ MOD shall,p1,7.09,0.26,0.0,0.0,0.0,0.0,3.06,1.67,0.0,0.0,0.0
TO INF,p2,1.67,1.72,0.0,0.0,0.5,3.55,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,p3,0.55,0.91,4.47,2.18,0.5,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,p3,0.71,1.72,2.76,0.97,1.06,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,p2,3.89,0.27,0.0,0.0,1.06,1.57,1.53,0.0,0.0,0.0,0.0
FUT ~ MOD may,p2,30.06,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0
PAST ~ PRES PART,p3,0.64,1.99,1.03,0.51,0.56,0.83,5.83,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,p3,1.06,1.03,1.03,0.0,1.92,0.0,1.71,4.19,0.0,0.0,0.0
MOD can ~ MOD shall,p3,0.69,0.0,1.77,2.68,2.05,0.0,0.0,4.47,0.0,0.0,0.0
MOD can ~ PRES,p2,5.42,1.11,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,p3,0.1,2.16,1.1,1.86,1.28,0.88,0.0,4.47,0.0,0.0,49.82
MOD shall ~ TO INF,p3,0.36,2.16,0.0,2.68,1.28,0.0,1.81,2.09,0.0,10.33,0.0
MOD should ~ PRES,p2,2.38,1.59,0.52,0.0,0.6,0.0,1.81,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,p1,26.71,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,p1,1.48,1.11,0.0,0.0,0.0,1.89,8.99,0.0,0.0,0.0,0.0
FUT ~ MOD lest,p2,1.87,3.63,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,p3,1.29,0.0,1.18,2.01,1.37,0.0,0.0,4.79,0.0,0.0,0.0
FUT ~ IMPV,p2,0.55,2.35,0.55,0.58,0.64,3.27,1.93,0.0,0.0,0.0,0.0
FUT ~ TO INF,p3,0.24,1.72,1.91,2.01,0.0,2.02,4.15,0.0,0.0,0.0,0.0
MOD must,p3,0.83,1.29,0.59,1.34,0.68,1.01,2.07,0.0,3.41,0.0,0.0
MOD may ~ MOD shall,p2,2.5,1.88,0.0,0.0,0.68,0.0,0.0,2.39,0.0,0.0,0.0
PRES ~ PRES PART,p2,6.67,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF,p2,3.0,1.41,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,p2,2.22,1.41,0.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,p3,0.67,0.0,3.31,0.67,0.0,0.0,0.0,2.57,19.31,0.0,0.0
MOD let ~ MOD shall,p3,0.5,0.94,1.5,0.72,1.74,1.18,0.0,2.78,3.97,0.0,0.0
PRES PERF,p1,5.56,0.43,0.0,0.0,0.0,1.18,2.42,0.0,0.0,0.0,0.0
IMPV ~ MOD may,p2,1.94,3.24,0.0,0.0,0.0,0.0,2.42,0.0,0.0,0.0,0.0
MOD should ~ MOD would,p3,0.33,1.72,0.0,2.9,0.0,0.0,5.82,3.04,4.34,0.0,0.0
MOD must,p2,1.66,1.72,0.0,1.74,0.87,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,p3,0.15,1.03,8.29,1.74,0.0,0.0,0.0,3.04,0.0,0.0,0.0
FUT ~ MOD would,p1,1.66,1.72,0.0,0.79,0.87,0.0,2.64,0.0,0.0,0.0,0.0
FUT ~ MOD may,p1,0.15,1.72,0.0,0.0,0.87,4.73,9.72,0.0,0.0,15.03,0.0
FUT ~ MOD would,p2,5.0,0.47,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0
PRES PART,p2,2.33,1.72,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0
