eng_TAMsimp,SBH,LBH
PRES,0.03,-0.03
FUT,-0.03,0.03
FUT ~ MOD shall,-0.09,0.09
IMPV ~ MOD shall,0.09,-0.09
MOD must ~ MOD shall,0.08,-0.08
MOD is to ~ MOD shall,0.07,-0.07
PAST,-0.08,0.08
MOD shall,0.05,-0.05
MOD may,0.06,-0.06
FUT ~ PRES,-0.01,0.01
IMPV,-0.03,0.03
MOD shall ~ PRES,0.05,-0.05
MOD can,0.02,-0.02
FUT ~ MOD may,0.02,-0.02
MOD should,-0.17,0.17
FUT ~ MOD lest,0.07,-0.07
MOD would,-0.13,0.13
PRES ~ PRES PERF,0.04,-0.04
MOD may ~ MOD shall,0.1,-0.1
PRES ~ PRES PART,-0.03,0.03
PAST ~ PRES,0.06,-0.06
MOD shall ~ TO INF,-0.14,0.14
MOD can ~ MOD may,-0.04,0.04
MOD could,0.0,-0.0
MOD must,0.09,-0.09
MOD should ~ PRES,-0.1,0.1
PRES PERF,-0.16,0.16
MOD can ~ MOD shall,-0.01,0.01
MOD can ~ PRES,0.04,-0.04
PRES ~ TO INF,-0.01,0.01
MOD may ~ PRES,0.04,-0.04
FUT ~ MOD can,-0.24,0.24
TO INF,-0.07,0.07
MOD would ~ PAST,-0.2,0.2
PRES PART,-0.04,0.04
MOD shall ~ MOD should,-0.04,0.04
FUT ~ TO INF,-0.21,0.21
MOD let,0.09,-0.09
FUT ~ MOD would,0.01,-0.01
PAST ~ PRES PERF,0.09,-0.09
PRES ~ PRES PROG,0.0,-0.0
MOD lest ~ PRES,0.09,-0.09
MOD must ~ PRES,-0.01,0.01
MOD lest ~ MOD may,0.09,-0.09
MOD may ~ MOD must,-0.01,0.01
IMPV ~ PRES,-0.01,0.01
IMPV ~ MOD must,0.09,-0.09
MOD should ~ TO INF,-0.41,0.41
MOD shall ~ PRES PART,0.09,-0.09
MOD let ~ MOD shall,-0.02,0.02
HAB used to ~ PAST,-0.02,0.02
MOD may ~ TO INF,-0.13,0.13
IMPV ~ MOD let,0.09,-0.09
IMPV ~ MOD may,0.09,-0.09
FUT ~ IMPV,0.09,-0.09
PAST ~ PRES PART,-0.16,0.16
MOD shall ~ PAST,-0.05,0.05
MOD is to,0.09,-0.09
MOD should ~ MOD was to,-0.48,0.48
PAST ~ PAST PERF,-0.07,0.07
MOD would ~ PRES,-0.07,0.07
PAST ~ TO INF,-0.41,0.41
MOD is to ~ MOD may,-0.07,0.07
MOD let ~ MOD must,0.09,-0.09
PAST PERF,-0.07,0.07
FUT ~ PAST,-0.31,0.31
FUT ~ MOD let,-0.11,0.11
FUT ~ FUT going-to,0.09,-0.09
FUT going-to ~ MOD shall,0.09,-0.09
MOD lest ~ TO INF,0.09,-0.09
MOD was to ~ PAST,0.09,-0.09
HAB used to,0.09,-0.09
MOD could ~ MOD might,-0.41,0.41
PRES PART ~ TO INF,0.09,-0.09
MOD is to ~ MOD must,0.09,-0.09
IMPV ~ PRES PART,0.09,-0.09
MOD might,0.09,-0.09
MOD should ~ MOD would,-0.16,0.16
MOD was to,-0.16,0.16
MOD lest ~ MOD might,0.09,-0.09
MOD can ~ MOD should,-0.24,0.24
MOD can ~ MOD let,0.09,-0.09
MOD can ~ MOD could,0.09,-0.09
