eng_TAMsimp,qal,hif,piel,nif,hit,hsht,hof,pual
PAST,0.12,-0.07,-0.04,-0.01,-0.0,-0.01,0.0,-0.0
PAST ~ PRES PART,-0.08,-0.01,0.04,0.01,0.01,0.04,-0.0,0.0
PAST ~ PAST PERF,-0.07,0.05,0.02,0.02,-0.01,-0.01,-0.0,-0.0
PRES PERF,-0.15,0.12,0.03,0.0,-0.01,-0.0,-0.0,-0.0
PRES,-0.11,0.04,0.03,0.04,0.0,0.0,-0.0,-0.0
?PAST ~ PAST,-0.26,0.28,0.02,-0.03,0.0,-0.01,-0.0,-0.0
PAST ~ PRES PERF,-0.14,-0.0,0.11,0.02,0.01,0.0,-0.0,-0.0
?PAST,0.01,0.08,-0.04,-0.03,-0.01,-0.01,-0.0,-0.0
PAST ~ PRES,0.05,-0.03,0.01,-0.01,-0.01,-0.01,-0.0,-0.0
PAST ~ TO INF,-0.3,0.08,0.14,0.01,0.0,0.06,-0.0,-0.0
PAST PERF,-0.01,0.01,0.06,-0.03,-0.01,-0.01,-0.0,-0.0
PRES ~ PRES PERF,-0.03,0.0,0.05,-0.03,0.01,-0.01,-0.0,-0.0
PAST ~ PAST PROG,0.02,-0.04,-0.03,-0.03,0.1,-0.01,-0.0,-0.0
PRES PART,-0.03,0.08,-0.07,-0.03,0.06,-0.01,-0.0,-0.0
FUT ~ PRES,-0.16,0.08,-0.0,0.1,-0.01,-0.01,-0.0,-0.0
?PRES,-0.45,0.11,0.24,-0.03,0.14,-0.01,-0.0,-0.0
?PRES ~ PRES,-0.07,-0.04,0.01,0.12,-0.01,-0.01,-0.0,-0.0
MOD would,-0.03,0.06,-0.07,0.06,-0.01,-0.01,-0.0,-0.0
MOD could ~ PAST,-0.12,-0.12,-0.07,0.33,-0.01,-0.01,-0.0,-0.0
TO INF,-0.09,-0.12,0.26,-0.03,-0.01,-0.01,-0.0,-0.0
?VB ~ PAST,-0.09,-0.01,0.04,0.08,-0.01,-0.01,-0.0,-0.0
?PRES ~ PAST,-0.19,0.17,-0.07,0.11,-0.01,-0.01,-0.0,-0.0
FUT ~ PAST,-0.09,-0.12,0.26,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST ~ PRES PART,-0.26,0.22,0.1,-0.03,-0.01,-0.01,-0.0,-0.0
PAST PROG,0.04,0.08,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?VB,-0.56,0.48,0.13,-0.03,-0.01,-0.01,-0.0,-0.0
PRES PART ~ PRES PERF,-0.36,0.08,0.33,-0.03,-0.01,-0.01,-0.0,-0.0
FUT ~ PRES PERF,-0.16,0.08,0.13,-0.03,-0.01,-0.01,-0.0,-0.0
PAST PERF ~ PRES PERF,-0.26,0.13,0.18,-0.03,-0.01,-0.01,-0.0,-0.0
MOD would ~ PAST,-0.01,-0.12,0.18,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST did not ~ PAST,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
PRES ~ PRES PART,-0.26,0.13,-0.07,0.22,-0.01,-0.01,-0.0,-0.0
PRES ~ PRES PROG,-0.26,-0.12,0.43,-0.03,-0.01,-0.01,-0.0,-0.0
?TO INF ~ PAST,-0.76,0.22,0.26,-0.03,-0.01,0.33,-0.0,-0.0
MOD let ~ PAST,-0.43,0.55,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST ~ PRES,-0.09,0.22,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST ~ ?VB,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
PRES ~ TO INF,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
IMPV ~ PAST,-0.09,0.22,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
MOD let,-0.76,-0.12,0.93,-0.03,-0.01,-0.01,-0.0,-0.0
FUT ~ MOD shall,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
PAST PERF ~ PRES PART,-0.09,-0.12,-0.07,0.3,-0.01,-0.01,-0.0,-0.0
PRES PERF ~ TO INF,-0.76,0.88,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
??PAST,-0.26,0.38,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PRES PERF ~ PRES,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
PRES PERF ~ PRES PROG,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST ~ IMPV,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?VB ~ PRES,-0.26,0.38,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?VB ~ PRES PERF,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
FUT,-0.26,0.38,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PRES ~ ?PRES PERF,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PRES ~ PRES PERF,-0.26,-0.12,0.43,-0.03,-0.01,-0.01,-0.0,-0.0
?FUT ~ PAST,-0.26,0.38,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PRES PERF,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
MOD can ~ PRES,-0.26,0.38,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
??VB ~ ?PAST question,-0.26,0.38,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
MOD may ~ PAST,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PRES ~ PRES PART,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST wh-question,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST wh-question ~ ?PRES,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST question,-0.76,-0.12,0.93,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST do-support ~ PAST,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST wh-question ~ MOD let,-0.76,-0.12,0.93,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST did not ~ TO INF,-0.76,0.88,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST wh-question ~ PAST,-0.76,0.88,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST wh-question ~ TO INF,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST ~ ?TO INF,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?MOD would ~ PAST,-0.76,0.88,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST did not ~ ?PAST question,-0.76,-0.12,0.93,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST PERF ~ PAST PERF,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?MOD would,-0.76,-0.12,0.93,-0.03,-0.01,-0.01,-0.0,-0.0
?MOD let ~ PAST,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?FUT ~ PRES PART,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?FUT ~ PRES,-0.76,0.88,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?FUT ~ ?PRES,-0.76,-0.12,-0.07,-0.03,-0.01,0.99,-0.0,-0.0
??VB ~ PRES PERF,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
??VB ~ PRES,-0.76,-0.12,0.93,-0.03,-0.01,-0.01,-0.0,-0.0
??VB ~ PAST,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
??PRES ~ PAST,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
??PAST ~ PAST,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
??PAST ~ ?TO INF,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
??PAST ~ ?PAST,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
PRES PERF PROG,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
MOD let ~ PRES PART,-0.76,0.88,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
PRES PART ~ TO INF,-0.76,-0.12,-0.07,-0.03,0.99,-0.01,-0.0,-0.0
?PAST ~ PAST PERF,-0.76,0.88,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
MOD may,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
MOD let ~ MOD may,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
MOD is to ~ PRES PERF,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
MOD may ~ PRES,-0.76,-0.12,-0.07,-0.03,0.99,-0.01,-0.0,-0.0
MOD could ~ MOD might,-0.76,-0.12,0.93,-0.03,-0.01,-0.01,-0.0,-0.0
IMPV ~ PRES PART,-0.76,0.88,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
IMPV ~ PRES,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
MOD might ~ PRES PERF,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
MOD must ~ PAST,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
MOD must ~ PRES,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
MOD should ~ MOD would,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
FUT ~ MOD would,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
MOD should ~ PRES,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
MOD should ~ TO INF,-0.76,-0.12,-0.07,0.97,-0.01,-0.01,-0.0,-0.0
MOD would ~ PRES,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?TO INF ~ PRES,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?TO INF,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PRES ~ TO INF,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
PAST PERF ~ TO INF,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
PAST PROG ~ PRES PART,-0.76,-0.12,-0.07,0.97,-0.01,-0.01,-0.0,-0.0
?PRES ~ FUT,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PRES ~ ?VB,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
?PRES PERF ~ PAST,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
MOD let ~ PRES,-0.76,-0.12,0.93,-0.03,-0.01,-0.01,-0.0,-0.0
?PAST ~ PRES PERF,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
PAST PROG ~ PRES PERF PROG,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
PAST ~ PAST PERF PROG,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
PAST PROG ~ PRES PERF,0.24,-0.12,-0.07,-0.03,-0.01,-0.01,-0.0,-0.0
