esv_TAM,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PRES..,PRES..MOD,PAST..SUBJ,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,PRES.PERF_PROG.IND,FUT.PERF.IND,FUT..MOD
PAST..IND,4116,180,130,275,9,51,17,5,5,24,17,1,0,0,0
PRES.PERF.IND,410,2354,293,38,95,22,9,0,25,4,8,0,4,1,1
PRES..IND,77,127,2062,2,109,13,16,1,19,1,7,0,0,0,0
PAST.PERF.IND,134,10,1,782,0,2,1,2,0,4,3,4,0,0,0
PRES..MOD,8,3,7,2,47,2,55,2,0,0,2,0,0,0,0
PAST..SUBJ,19,4,0,0,1,1,2,62,0,0,3,0,0,0,0
FUT..IND,1,0,7,0,69,3,1,0,0,0,1,0,0,0,2
PRES..,22,6,3,0,0,32,1,0,1,1,0,0,0,0,0
PAST.PROG.IND,6,0,0,2,0,2,0,0,0,13,0,1,0,0,0
PRES.PROG.IND,0,0,1,0,1,0,0,0,18,0,0,0,0,0,0
..,2,1,2,0,0,2,0,1,0,0,5,0,0,0,0
FUT.PERF.IND,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
PRES.PERF_PROG.IND,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
past.PERF_PROG.IND,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
