niv_TAM,sum
PAST..IND,4795
PRES.PERF.IND,2686
PRES..IND,2506
PAST.PERF.IND,1101
FUT..IND,333
PRES..,130
PRES..MOD,102
PAST..SUBJ,73
PRES.PROG.IND,69
PAST.PROG.IND,47
..,46
past.PERF_PROG.IND,8
PRES.PERF_PROG.IND,5
FUT.PERF.IND,3
FUT..MOD,3
