esv_TAM,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PRES..,PRES..MOD,PAST..SUBJ,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,PRES.PERF_PROG.IND,FUT.PERF.IND,FUT..MOD
PAST..IND,0.85,0.04,0.03,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,0.13,0.72,0.09,0.01,0.03,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,0.03,0.05,0.85,0.0,0.04,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,0.14,0.01,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,0.06,0.02,0.05,0.02,0.37,0.02,0.43,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0
PAST..SUBJ,0.21,0.04,0.0,0.0,0.01,0.01,0.02,0.67,0.0,0.0,0.03,0.0,0.0,0.0,0.0
FUT..IND,0.01,0.0,0.08,0.0,0.82,0.04,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02
PRES..,0.33,0.09,0.05,0.0,0.0,0.48,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,0.25,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.54,0.0,0.04,0.0,0.0,0.0
PRES.PROG.IND,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
..,0.15,0.08,0.15,0.0,0.0,0.15,0.0,0.08,0.0,0.0,0.38,0.0,0.0,0.0,0.0
FUT.PERF.IND,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PRES.PERF_PROG.IND,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0
past.PERF_PROG.IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
