bhsa_node,mother_clause,mother_cl_atom,mother_clause_atom,mother_rela,mother_domain2,mother_verbtype,mother_type,mother_verb_ps,mother_verb_lex,mother_verbplain,mother_intertext,daught_clause,daught_cl_atom,daught_clause_atom,daught_rela,daught_domain2,daught_verbtype,daught_type,daught_verb_ps,daught_verb_lex,daught_verbplain,daught_intertext
4997,הָ֚בָה ,516585,הָ֚בָה ,Main,Q,impv,ZIm0,p2,JHB[,הבה,הָ֚בָה ,וְנִשְׂרְפָ֖ה לִשְׂרֵפָ֑ה ,516587,וְנִשְׂרְפָ֖ה לִשְׂרֵפָ֑ה ,Main,Q,cohoF,WYq0,p1,FRP[,נשׂרפה,וְנִשְׂרְפָ֖ה לִשְׂרֵפָ֑ה 
5000,נִלְבְּנָ֣ה לְבֵנִ֔ים ,516586,נִלְבְּנָ֣ה לְבֵנִ֔ים ,Main,Q,cohoF,ZYq0,p1,LBN=[,נלבנה,נִלְבְּנָ֣ה לְבֵנִ֔ים ,,,,,,,,,,,
5086,הָ֚בָה ,516608,הָ֚בָה ,Main,Q,impv,ZIm0,p2,JHB[,הבה,הָ֚בָה ,וְנָבְלָ֥ה שָׁ֖ם שְׂפָתָ֑ם ,516610,וְנָבְלָ֥ה שָׁ֖ם שְׂפָתָ֑ם ,Main,Q,cohoF,WYq0,p1,BLL[,נבלה,וְנָבְלָ֥ה שָׁ֖ם שְׂפָתָ֑ם 
5088,נֵֽרְדָ֔ה ,516609,נֵֽרְדָ֔ה ,Main,Q,cohoF,ZYq0,p1,JRD[,נרדה,נֵֽרְדָ֔ה ,אֲשֶׁר֙ לֹ֣א יִשְׁמְע֔וּ ,516611,אֲשֶׁר֙ לֹ֣א יִשְׁמְע֔וּ ,SubAdv,Q,yqtl,xYq0,p3,CM<[,ישׁמעו,אֲשֶׁר֙ לֹ֣א יִשְׁמְע֔וּ 
5513,וַאֲבָ֣רֶכְךָ֔ ,516690,וַאֲבָ֣רֶכְךָ֔ ,Main,Q,yqtl,WYq0,p1,BRK[,אברכך,וַאֲבָ֣רֶכְךָ֔ ,,,,,,,,,,,
5519,וֶהְיֵ֖ה בְּרָכָֽה׃ ,516692,וֶהְיֵ֖ה בְּרָכָֽה׃ ,Main,Q,impv,WIm0,p2,HJH[,היה,וֶהְיֵ֖ה בְּרָכָֽה׃ ,וּמְקַלֶּלְךָ֖ אָאֹ֑ר ,516694,וּמְקַלֶּלְךָ֖ אָאֹ֑ר ,Main,Q,yqtl,WxY0,p1,>RR[,אאר,וּמְקַלֶּלְךָ֖ אָאֹ֑ר 
6032,אִם־הַשְּׂמֹ֣אל ,516793,אִם־הַשְּׂמֹ֣אל ,SubAdv,Q,Ø,Ellp,,,,אִם־הַשְּׂמֹ֣אל ,,,,,,,,,,,
6038,וְאִם־הַיָּמִ֖ין ,516795,וְאִם־הַיָּמִ֖ין ,SubAdv,Q,Ø,Ellp,,,,וְאִם־הַיָּמִ֖ין ,,,,,,,,,,,
7351,הִתְהַלֵּ֥ךְ לְפָנַ֖י ,517061,הִתְהַלֵּ֥ךְ לְפָנַ֖י ,Main,Q,impv,ZIm0,p2,HLK[,התהלך,הִתְהַלֵּ֥ךְ לְפָנַ֖י וֶהְיֵ֥ה תָמִֽים׃ ,וְאַרְבֶּ֥ה אֹותְךָ֖ בִּמְאֹ֥ד מְאֹֽד׃ ,517064,וְאַרְבֶּ֥ה אֹותְךָ֖ בִּמְאֹ֥ד מְאֹֽד׃ ,Main,Q,yqtl,WYq0,p1,RBH[,ארבה,וְאַרְבֶּ֥ה אֹותְךָ֖ בִּמְאֹ֥ד מְאֹֽד׃ 
7870,יֻקַּֽח־נָ֣א מְעַט־מַ֔יִם ,517153,יֻקַּֽח־נָ֣א מְעַט־מַ֔יִם ,Main,Q,yqtl,ZYqX,p3,LQX[,יקח,יֻקַּֽח־נָ֣א מְעַט־מַ֔יִם וְרַחֲצ֖וּ רַגְלֵיכֶ֑ם וְהִֽשָּׁעֲנ֖וּ תַּ֥חַת הָעֵֽץ׃ ,וְסַעֲד֤וּ לִבְּכֶם֙ ,517157,וְסַעֲד֤וּ לִבְּכֶם֙ ,Main,Q,impv,WIm0,p2,S<D[,סעדו,וְסַעֲד֤וּ לִבְּכֶם֙ 
