bhsa_node,lxx,lxx_tense,lxx_voice,lxx_mood,lxx_person,lxx_number,lxx_verse,lxx_tm
82878,παρελευσόμεθα,future,middle,indc,1,pl,NUM 20:17,future indc
82945,παρελευσόμεθα,future,middle,indc,1,pl,NUM 20:19,future indc
83459,δώσω,future,active,indc,1,sg,NUM 21:16,future indc
83526,παρελευσόμεθα,future,middle,indc,1,pl,NUM 21:22,future indc
84190,γνώσομαι,future,middle,indc,1,sg,NUM 22:19,future indc
84547,ἀποστραφήσομαι,future,passsive,indc,1,sg,NUM 22:34,future indc
84734,πορεύσομαι,future,middle,indc,1,sg,NUM 23:3,future indc
93257,ἀποστείλωμεν,aorist,active,subj,2,pl,DEU 1:22,aorist subj
94254,παρελεύσομαι,future,middle,indc,1,sg,DEU 2:27,future indc
94286,παρελεύσομαι,future,middle,indc,1,sg,DEU 2:28,future indc
95050,διαβὰς,aorist,active,ptcp,,sg,DEU 3:25,aorist ptcp
96900,λαλήσω,future,active,indc,1,sg,DEU 5:31,future indc
100750,φάγομαι,future,middle,indc,1,sg,DEU 12:20,future indc
101062,πορευθῶμεν,aorist,passsive,subj,1,pl,DEU 13:3,aorist subj
101197,βαδίσωμεν,aorist,active,subj,1,pl,DEU 13:7,aorist subj
101199,λατρεύσωμεν,aorist,active,subj,1,pl,DEU 13:7,aorist subj
101339,πορευθῶμεν,aorist,passsive,subj,1,pl,DEU 13:14,aorist subj
101341,λατρεύσωμεν,aorist,active,subj,1,pl,DEU 13:14,aorist subj
103286,καταστήσω,future,active,indc,1,sg,DEU 17:14,future indc
103732,προσθήσομεν,future,active,indc,1,pl,DEU 18:16,future indc
111372,λαλήσω,aorist,active,subj,1,sg,DEU 31:28,aorist subj
111381,διαμαρτύρωμαι,present,middle,subj,1,sg,DEU 31:28,present subj
111447,λαλήσω,future,active,indc,1,sg,DEU 32:1,future indc
111698,ἀποστρέψω,future,active,indc,1,sg,DEU 32:20,future indc
111790,παύσω,future,active,indc,1,sg,DEU 32:26,future indc
127500,πολεμήσωμεν,aorist,active,subj,1,pl,JDG_A 1:3,aorist subj
129989,ᾄσομαι,future,middle,indc,1,sg,JDG_A 5:3,future indc
131347,λαλήσω,future,active,indc,1,sg,JDG_A 6:39,future indc
132640,αἰτήσομαι,future,middle,indc,1,sg,JDG_A 8:24,future indc
133489,μεταστήσω,future,active,indc,1,sg,JDG_A 9:29,future indc
134579,πολεμήσωμεν,aorist,active,subj,1,pl,JDG_A 11:6,aorist subj
134814,παρελεύσομαι,future,middle,indc,1,sg,JDG_A 11:17,future indc
