bhsa_node,esv_tags,esv_VBtags,esv_TAM,esv_TAMsimp,niv_tags,niv_VBtags,niv_TAM,niv_TAMsimp,eng_fullparse,eng_TAM,eng_TAMsimp,eng_agree,eng_simp_agree,is_progressive
4997,VB|PRP|VB|NNS,VB|VB,MOD let,MOD let,VB|PRP|VB|NNS,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
5000,VB|RB,VB,MOD,MOD,VB|RB,VB,MOD let,MOD let,1,MOD ~ MOD let,MOD ~ MOD let,0,0,0
5086,VB|PRP|VB|RB,VB|VB,MOD let,MOD let,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
5088,VB,VB,MOD let,MOD let,VB,VB,MOD let,MOD let,1,MOD let,MOD let,1,1,0
5513,VB|JJ,VB,FUT,FUT,PRP|MD|VB|JJ,VB,FUT,FUT,1,FUT,FUT,1,1,0
5519,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
6032,PRP|MD|VB|IN|DT|NN,VB,FUT,FUT,PRP|MD|VB|IN|DT|NN,VB,FUT,FUT,1,FUT,FUT,1,1,0
6038,PRP|MD|VB|IN|DT|NN,VB,FUT,FUT,PRP|MD|VB|IN|DT|NN,VB,FUT,FUT,1,FUT,FUT,1,1,0
7351,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD may,FUT ~ MOD may,0,0,0
7870,PRP|VBP,VBP,PRES,PRES,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let ~ PRES,MOD let ~ PRES,0,0,0
8162,PRP|MD|VB|RP,VB,FUT,FUT,PRP|MD|VB|RP,VB,FUT,FUT,1,FUT,FUT,1,1,0
8177,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1,0
8351,PRP|MD|VB,VB,FUT,FUT,VB|PRP|VB,VB|VB,MOD let,MOD let,1,FUT ~ MOD let,FUT ~ MOD let,0,0,0
8393,PRP|MD|VB,VB,FUT,FUT,VB|PRP|VB,VB|VB,MOD let,MOD let,1,FUT ~ MOD let,FUT ~ MOD let,0,0,0
